id,Label
1088,'Fat Black Lady' (on the bus)
953,"""Northern colored folk"""
1687,3rd Person Narrator (TBE) as character
1068,A girl (that Maureen knows)
947,Ada Williams
961,All the world
1072,Audrey
1073,Audrey's hairdresser
1029,Aunt Jimmy
1051,Aunt Jimmy's Cousins
1038,Aunt Jimmy's Friends
941,Auntie Julia
1016,Bay Boy
1114,Bertha Reese
1069,Betty Grable
958,"Bill ""Bojangles"" Robinson"
1011,Black boys
1014,Black girls
1045,Black Men
962,Black women
1033,Blue Jack
981,Bobby
971,Boys (at the pizza parlor)
1063,Boys at the funeral
1001,Brother (of the woman Pauline used to work for)
1018,Buddy Wilson
1032,Charles Breedlove (Aunt Jimmy's Brother)
1002,Chicken
921,China
910,Cholly Breedlove
1031,Cholly's Father's Brother
1028,Cholly's Mother
1078,Church women
1007,Clark Gable
908,Claudia
1076,Claudia's Grandmother
935,Claudia's Mother's Friends
1086,Cook(s) and/or Mistress(that Cholly asks for a job
1027,Creditors and Service People
1110,Dante
974,Darlene
1075,Darlene's Mother
1105,De Gobineau
993,Dewey Prince
923,Dick
926,Dick and Jane's Father
927,Dick and Jane's Friend
925,Dick and Jane's Mother
1688,Dick and Jane's narrator as character
1116,Doreen
1111,Dostoyevsky
1093,Driver (of fruit wagon)
930,Drunken men
1052,Emma
1046,Essie Foster
1118,Families (that Claudia and Frieda sell seeds to)
998,"Family (""of slender means..."")"
1035,Family (breaking open a watermelon)
1036,Father (of the family breaking open the watermelon
1102,Fifteen-year-old Girl
948,Fowler Williams
965,Franklin D. Roosevelt
913,Frieda
1122,Friend (of Jane)
1000,Friends (of the woman that Pauline use to work for
1047,Funeral Attendees
1080,Geraldine
944,Ginger Rogers
1126,Girl (with blue eyes)
1064,Girls at the funeral
951,God (TBE)
1130,Greek landlord
943,Greta Garbo
933,Grown-ups
1129,Gypsy family
967,Half-blind lady
1109,Half-Chinese Girl
940,Hattie
1070,Hedy Lamarr
964,Henry Ford
987,Herbert Hoover
1128,Hungarian baker
1004,Husband (of the woman Pauline used to work for)
1059,Insurance Folks
1058,Isaley's in Akron
950,Ivy
1061,Jake
924,Jane
959,Jane Withers
1008,Jean Harlow
934,Jesus (TBE)
1123,Joanna
990,John Herbert Dillinger
988,Johnny
1019,Junie Bug
1053,L'il June
1125,Lady (with blue eyes)
989,Lady in Red (Ana Cumpanas)
945,Little Girl (Pauline looks after)
1096,Little girls
1119,Little old boys
1020,Little Old Doctor
1081,Louis
1082,Louis Junior
978,Luke Angelino
1040,M'Dear
1090,Man (in the pool hall)
1087,Man (selling bus tickets)
1127,Man (with blue eyes)
977,Marie Appolonaire
985,Mary Jane
1010,Maureen Peal
1067,Maureen's Father
1074,Maureen's girl friend
1071,Maureen's Mother
1057,Maureen's Uncle
1066,Maureen's Uncle's friend
1092,Melba
1089,Men (in the alley)
1124,Michelena
969,Mildred
1039,Miss Alice
1077,Miss Bertha
936,Miss Della Jones
937,Miss Della Jones' Ex-Husband
942,Miss Della Jones' Sister
982,Miss Dunion
1056,Miss Erkmeister
1055,Miss Forrester
986,Miss Marie
996,Miss Marie's children
991,Miss Marie's mother
992,Miss Marie's white lady
1115,Moses (TBE)
917,Mr. Buford
1026,Mr. Fisher
916,Mr. Henry
915,Mr. MacTeer (Claudia's Father)
983,Mr. Yacobowski
1079,Mrs. Cain
919,Mrs. Dunion
956,Mrs. Fisher
1042,Mrs. Gaines
1121,Mrs. Johnson
914,Mrs. MacTeer (Claudia's Mother)
973,Mysterious All-Knowing Master
929,Nuns
1048,O.V.
1050,O.V.'s children
1049,O.V.'s Wife
1021,Old Doctor
1034,Old Man Fuller
939,Old Slack Bessie
1091,Old White-Haired Man
960,Older girls
980,One of the girls at Pecola's school
1083,P.L.
909,Pauline Breedlove
946,Pauline's Siblings
912,Pecola Breedlove
928,Pecola's Baby
979,Pecola's teachers
938,Peggy
970,People (at the pizza parlor)
968,People at the Greek hotel
1003,Pie
922,Poland
994,Poland's aunt
1041,Preacher (who accompanied M'Dear)
949,Presence (imagined by Pauline)
1084,Ralph Nisensky
972,Realtor (owns the Breedlove's house)
1106,Religious fanatic (in the Whitcomb family)
918,Rosemary Villanucci
932,Rosemary Villanucci's Father
1054,Sally
955,Sammy Breedlove
1030,Samson Fuller (Cholly's Father)
966,Sandy Claus (TBE)
1120,School children
1108,Schoolmaster (son of the religious fanatic)
957,Shirley Temple
1098,Sir Whitcomb
1100,"Sir Whitcomb's ""mulatto bastard"""
1103,"Six children (of the ""mulatto bastard"")"
1104,"Sixteen Grandchildren (of the ""mulatto bastard"")"
911,Soaphead Church
1095,Soaphead's Clients
1131,Sofa delivery man
1015,Students
1117,Sugar Babe
1065,Suky
1101,"The ""bastard's mother"""
1037,The Devil
1024,The Fishers
1005,The Gas Man
1099,The King
1025,The little Fisher girl
920,The Maginot Line
1006,The Police
1085,Three infants
1107,Three sons (of the religious fanatic)
1094,Three Women (who give Cholly lemonade)
1097,Townspeople
1112,Velma
984,Virgin Mary (TBE)
1012,White boys
963,White girls
976,White man (flashlight)
975,White man (spirit lamp)
952,White People (TBE)
999,Woman (Pauline used to work for)
995,Women
1023,Women (giving birth in the hospital)
1113,"Women (in Lorain, Ohio)"
997,Women (who cast unfavorable glances toward Pauline
954,Women in town
1017,Woodrow Cain
1022,Young Doctors
