source,target,Char 1 Name,Char 2 Name,startPage,type,weight
5,6,Sophia Golosovsky,Alyona Golosovsky,3,Undirected,1
32,5,Marina Alexandrovna,Sophia Golosovsky,4,Undirected,1
32,6,Marina Alexandrovna,Alyona Golosovsky,4,Undirected,1
5,6,Sophia Golosovsky,Alyona Golosovsky,4,Undirected,1
58,5,"""the townspeople"" of past Zavoyko",Sophia Golosovsky,5,Undirected,1
5,31,Sophia Golosovsky,Yegor Gusakov,5,Undirected,1
6,31,Alyona Golosovsky,Yegor Gusakov,5,Undirected,1
58,6,"""the townspeople"" of past Zavoyko",Alyona Golosovsky,5,Undirected,1
5,6,Sophia Golosovsky,Alyona Golosovsky,5,Undirected,1
58,31,"""the townspeople"" of past Zavoyko",Yegor Gusakov,5,Undirected,1
58,5,"""the townspeople"" of past Zavoyko",Sophia Golosovsky,6,Undirected,1
58,6,"""the townspeople"" of past Zavoyko",Alyona Golosovsky,6,Undirected,1
5,6,Sophia Golosovsky,Alyona Golosovsky,6,Undirected,1
5,105,Sophia Golosovsky,"""people ... in Australia""",7,Undirected,1
6,105,Alyona Golosovsky,"""people ... in Australia""",7,Undirected,1
104,58,"""people ... in Hawaii""","""the townspeople"" of past Zavoyko",7,Undirected,1
105,58,"""people ... in Australia""","""the townspeople"" of past Zavoyko",7,Undirected,1
5,104,Sophia Golosovsky,"""people ... in Hawaii""",7,Undirected,1
6,104,Alyona Golosovsky,"""people ... in Hawaii""",7,Undirected,1
5,58,Sophia Golosovsky,"""the townspeople"" of past Zavoyko",7,Undirected,1
6,58,Alyona Golosovsky,"""the townspeople"" of past Zavoyko",7,Undirected,1
5,6,Sophia Golosovsky,Alyona Golosovsky,7,Undirected,1
104,105,"""people ... in Hawaii""","""people ... in Australia""",7,Undirected,1
58,5,"""the townspeople"" of past Zavoyko",Sophia Golosovsky,8,Undirected,1
58,6,"""the townspeople"" of past Zavoyko",Alyona Golosovsky,8,Undirected,1
5,6,Sophia Golosovsky,Alyona Golosovsky,8,Undirected,1
32,31,Marina Alexandrovna,Yegor Gusakov,9,Undirected,1
5,31,Sophia Golosovsky,Yegor Gusakov,9,Undirected,1
6,51,Alyona Golosovsky,Lenin,9,Undirected,1
32,5,Marina Alexandrovna,Sophia Golosovsky,9,Undirected,1
6,31,Alyona Golosovsky,Yegor Gusakov,9,Undirected,1
51,31,Lenin,Yegor Gusakov,9,Undirected,1
32,6,Marina Alexandrovna,Alyona Golosovsky,9,Undirected,1
5,6,Sophia Golosovsky,Alyona Golosovsky,9,Undirected,1
32,51,Marina Alexandrovna,Lenin,9,Undirected,1
5,51,Sophia Golosovsky,Lenin,9,Undirected,1
5,31,Sophia Golosovsky,Yegor Gusakov,10,Undirected,1
6,31,Alyona Golosovsky,Yegor Gusakov,10,Undirected,1
5,6,Sophia Golosovsky,Alyona Golosovsky,10,Undirected,1
5,31,Sophia Golosovsky,Yegor Gusakov,11,Undirected,1
6,31,Alyona Golosovsky,Yegor Gusakov,11,Undirected,1
59,6,"""an older boy in a fitted cap""",Alyona Golosovsky,11,Undirected,1
59,31,"""an older boy in a fitted cap""",Yegor Gusakov,11,Undirected,1
59,5,"""an older boy in a fitted cap""",Sophia Golosovsky,11,Undirected,1
5,6,Sophia Golosovsky,Alyona Golosovsky,11,Undirected,1
22,63,Oksana,Malysh (Oksana's dog),12,Undirected,1
5,59,Sophia Golosovsky,"""an older boy in a fitted cap""",12,Undirected,1
5,62,Sophia Golosovsky,"""a short haired woman""",12,Undirected,1
63,31,Malysh (Oksana's dog),Yegor Gusakov,12,Undirected,1
5,22,Sophia Golosovsky,Oksana,12,Undirected,1
5,31,Sophia Golosovsky,Yegor Gusakov,12,Undirected,1
6,63,Alyona Golosovsky,Malysh (Oksana's dog),12,Undirected,1
22,59,Oksana,"""an older boy in a fitted cap""",12,Undirected,1
22,62,Oksana,"""a short haired woman""",12,Undirected,1
59,63,"""an older boy in a fitted cap""",Malysh (Oksana's dog),12,Undirected,1
5,61,Sophia Golosovsky,cruise-ship tourists,12,Undirected,1
61,63,cruise-ship tourists,Malysh (Oksana's dog),12,Undirected,1
5,6,Sophia Golosovsky,Alyona Golosovsky,12,Undirected,1
62,31,"""a short haired woman""",Yegor Gusakov,12,Undirected,1
22,31,Oksana,Yegor Gusakov,12,Undirected,1
6,59,Alyona Golosovsky,"""an older boy in a fitted cap""",12,Undirected,1
6,62,Alyona Golosovsky,"""a short haired woman""",12,Undirected,1
59,62,"""an older boy in a fitted cap""","""a short haired woman""",12,Undirected,1
61,59,cruise-ship tourists,"""an older boy in a fitted cap""",12,Undirected,1
6,22,Alyona Golosovsky,Oksana,12,Undirected,1
5,63,Sophia Golosovsky,Malysh (Oksana's dog),12,Undirected,1
61,62,cruise-ship tourists,"""a short haired woman""",12,Undirected,1
6,31,Alyona Golosovsky,Yegor Gusakov,12,Undirected,1
61,22,cruise-ship tourists,Oksana,12,Undirected,1
59,31,"""an older boy in a fitted cap""",Yegor Gusakov,12,Undirected,1
6,61,Alyona Golosovsky,cruise-ship tourists,12,Undirected,1
61,31,cruise-ship tourists,Yegor Gusakov,12,Undirected,1
63,62,Malysh (Oksana's dog),"""a short haired woman""",12,Undirected,1
32,31,Marina Alexandrovna,Yegor Gusakov,13,Undirected,1
5,31,Sophia Golosovsky,Yegor Gusakov,13,Undirected,1
32,5,Marina Alexandrovna,Sophia Golosovsky,13,Undirected,1
6,31,Alyona Golosovsky,Yegor Gusakov,13,Undirected,1
32,106,Marina Alexandrovna,"""drivers""",13,Undirected,1
5,106,Sophia Golosovsky,"""drivers""",13,Undirected,1
32,6,Marina Alexandrovna,Alyona Golosovsky,13,Undirected,1
5,6,Sophia Golosovsky,Alyona Golosovsky,13,Undirected,1
6,106,Alyona Golosovsky,"""drivers""",13,Undirected,1
106,31,"""drivers""",Yegor Gusakov,13,Undirected,1
32,31,Marina Alexandrovna,Yegor Gusakov,14,Undirected,1
5,31,Sophia Golosovsky,Yegor Gusakov,14,Undirected,1
32,5,Marina Alexandrovna,Sophia Golosovsky,14,Undirected,1
6,31,Alyona Golosovsky,Yegor Gusakov,14,Undirected,1
32,6,Marina Alexandrovna,Alyona Golosovsky,14,Undirected,1
5,6,Sophia Golosovsky,Alyona Golosovsky,14,Undirected,1
32,31,Marina Alexandrovna,Yegor Gusakov,15,Undirected,1
5,31,Sophia Golosovsky,Yegor Gusakov,15,Undirected,1
32,5,Marina Alexandrovna,Sophia Golosovsky,15,Undirected,1
6,31,Alyona Golosovsky,Yegor Gusakov,15,Undirected,1
32,6,Marina Alexandrovna,Alyona Golosovsky,15,Undirected,1
5,6,Sophia Golosovsky,Alyona Golosovsky,15,Undirected,1
32,5,Marina Alexandrovna,Sophia Golosovsky,16,Undirected,1
32,6,Marina Alexandrovna,Alyona Golosovsky,16,Undirected,1
5,6,Sophia Golosovsky,Alyona Golosovsky,16,Undirected,1
68,30,"""news reporter""",Valentina Nikolaevna,17,Undirected,1
25,29,Diana,Olya/Olga,17,Undirected,1
48,30,Valentina's Husband (name?),Valentina Nikolaevna,17,Undirected,1
6,30,Alyona Golosovsky,Valentina Nikolaevna,17,Undirected,1
33,48,Olya's mother,Valentina's Husband (name?),17,Undirected,1
33,57,Olya's mother,the kidnappING,17,Undirected,1
68,48,"""news reporter""",Valentina's Husband (name?),17,Undirected,1
68,57,"""news reporter""",the kidnappING,17,Undirected,1
5,25,Sophia Golosovsky,Diana,17,Undirected,1
33,5,Olya's mother,Sophia Golosovsky,17,Undirected,1
6,48,Alyona Golosovsky,Valentina's Husband (name?),17,Undirected,1
48,57,Valentina's Husband (name?),the kidnappING,17,Undirected,1
68,5,"""news reporter""",Sophia Golosovsky,17,Undirected,1
6,57,Alyona Golosovsky,the kidnappING,17,Undirected,1
33,29,Olya's mother,Olya/Olga,17,Undirected,1
68,29,"""news reporter""",Olya/Olga,17,Undirected,1
48,29,Valentina's Husband (name?),Olya/Olga,17,Undirected,1
5,6,Sophia Golosovsky,Alyona Golosovsky,17,Undirected,1
30,57,Valentina Nikolaevna,the kidnappING,17,Undirected,1
6,29,Alyona Golosovsky,Olya/Olga,17,Undirected,1
33,68,Olya's mother,"""news reporter""",17,Undirected,1
5,30,Sophia Golosovsky,Valentina Nikolaevna,17,Undirected,1
68,25,"""news reporter""",Diana,17,Undirected,1
33,25,Olya's mother,Diana,17,Undirected,1
48,25,Valentina's Husband (name?),Diana,17,Undirected,1
5,48,Sophia Golosovsky,Valentina's Husband (name?),17,Undirected,1
6,25,Alyona Golosovsky,Diana,17,Undirected,1
25,30,Diana,Valentina Nikolaevna,17,Undirected,1
5,57,Sophia Golosovsky,the kidnappING,17,Undirected,1
29,30,Olya/Olga,Valentina Nikolaevna,17,Undirected,1
25,57,Diana,the kidnappING,17,Undirected,1
68,6,"""news reporter""",Alyona Golosovsky,17,Undirected,1
33,6,Olya's mother,Alyona Golosovsky,17,Undirected,1
5,29,Sophia Golosovsky,Olya/Olga,17,Undirected,1
