id,Title,Level,Start Page,End Page,Narrator,Protagonist,Embed. Type
1,"August","level 1 (section)","3","16","[NULL]","Alyona Golosovsky","[NULL]"
2,"September","level 1 (section)","17","31","[NULL]","Olya/Olga","[NULL]"
3,"October","level 1 (section)","32","45","[NULL]","Katya/Ekaterina","[NULL]"
4,"November","level 1 (section)","46","58","[NULL]","Valentina Nikolaevna","[NULL]"
5,"January","level 1 (section)","107","132","[NULL]","Natasha/Natalia","[NULL]"
6,"December","level 1 (section)","59","92","[NULL]","Ksyusha/Ksenia Adukanov","[NULL]"
7,"New Year's","level 1 (section)","93","106","[NULL]","Lada","[NULL]"
8,"February","level 1 (section)","133","146","[NULL]","Revmira","[NULL]"
9,"March","level 1 (section)","147","171","[NULL]","Nadia/Nadezhda","[NULL]"
10,"April","level 1 (section)","172","189","[NULL]","Zoya","[NULL]"
11,"May","level 1 (section)","190","203","[NULL]","Oksana","[NULL]"
12,"June","level 1 (section)","204","252","[NULL]","Marina Alexandrovna","[NULL]"
13,"July","level 1 (section)","253","256","Alyona Golosovsky","Alyona Golosovsky","[NULL]"
