source,target,Char 1 Name,Char 2 Name,startPage,type,weight
2,3,Essun,Uche,1,Undirected,1
4,6,The Fulcrum,The Emperor's daughter,3,Undirected,1
267,4,"""leaders of the empire""",The Fulcrum,3,Undirected,1
4,5,The Fulcrum,The Emperor,3,Undirected,1
5,6,The Emperor,The Emperor's daughter,3,Undirected,1
267,6,"""leaders of the empire""",The Emperor's daughter,3,Undirected,1
267,5,"""leaders of the empire""",The Emperor,3,Undirected,1
8,14,Antimony,Yumenescenes,4,Undirected,1
9,7,"""group of young women""",Alabaster,4,Undirected,1
9,14,"""group of young women""",Yumenescenes,4,Undirected,1
8,9,Antimony,"""group of young women""",4,Undirected,1
8,7,Antimony,Alabaster,4,Undirected,1
14,7,Yumenescenes,Alabaster,4,Undirected,1
8,7,Antimony,Alabaster,5,Undirected,1
8,7,Antimony,Alabaster,6,Undirected,1
14,7,Yumenescenes,Alabaster,6,Undirected,1
4,14,The Fulcrum,Yumenescenes,6,Undirected,1
4,7,The Fulcrum,Alabaster,6,Undirected,1
8,14,Antimony,Yumenescenes,6,Undirected,1
8,4,Antimony,The Fulcrum,6,Undirected,1
14,7,Yumenescenes,Alabaster,7,Undirected,1
1,123,Hoa,Father Earth,8,Undirected,1
2,3,Essun,Uche,9,Undirected,1
2,10,Essun,Nassun,10,Undirected,1
10,11,Nassun,Jija,10,Undirected,1
2,3,Essun,Uche,10,Undirected,1
3,11,Uche,Jija,10,Undirected,1
2,11,Essun,Jija,10,Undirected,1
3,10,Uche,Nassun,10,Undirected,1
12,13,Tirimo's scouts,Rask,11,Undirected,1
11,16,Jija,Tirimo's citizens,15,Undirected,1
1,11,Hoa,Jija,15,Undirected,1
1,17,Hoa,Tirimo's children,15,Undirected,1
2,19,Essun,Tirimo's baker,15,Undirected,1
2,16,Essun,Tirimo's citizens,15,Undirected,1
3,10,Uche,Nassun,15,Undirected,1
3,16,Uche,Tirimo's citizens,15,Undirected,1
15,19,Lerna,Tirimo's baker,15,Undirected,1
15,16,Lerna,Tirimo's citizens,15,Undirected,1
10,17,Nassun,Tirimo's children,15,Undirected,1
11,19,Jija,Tirimo's baker,15,Undirected,1
18,19,Tirimo's butcher,Tirimo's baker,15,Undirected,1
1,2,Hoa,Essun,15,Undirected,1
3,15,Uche,Lerna,15,Undirected,1
10,11,Nassun,Jija,15,Undirected,1
3,18,Uche,Tirimo's butcher,15,Undirected,1
15,17,Lerna,Tirimo's children,15,Undirected,1
16,19,Tirimo's citizens,Tirimo's baker,15,Undirected,1
1,16,Hoa,Tirimo's citizens,15,Undirected,1
3,11,Uche,Jija,15,Undirected,1
17,19,Tirimo's children,Tirimo's baker,15,Undirected,1
3,17,Uche,Tirimo's children,15,Undirected,1
11,18,Jija,Tirimo's butcher,15,Undirected,1
16,18,Tirimo's citizens,Tirimo's butcher,15,Undirected,1
2,17,Essun,Tirimo's children,15,Undirected,1
1,15,Hoa,Lerna,15,Undirected,1
1,3,Hoa,Uche,15,Undirected,1
17,18,Tirimo's children,Tirimo's butcher,15,Undirected,1
