id,Title,Level,Start Page,End Page,Narrator,Protagonist,Embed. Type
1,"Prologue: you are here","level 1 (section)","1","14","[NULL]","[NULL]","[NULL]"
2,"1: you, at the end","level 1 (section)","15","24","Hoa","Essun","[NULL]"
3,"2: Damaya, in winters past","level 1 (section)","25","41","[NULL]","[NULL]","[NULL]"
4,"3: you're on your way","level 1 (section)","42","60","Hoa","Essun","[NULL]"
5,"4: Syenite, cut and polished","level 1 (section)","61","76","[NULL]","[NULL]","[NULL]"
6,"5: you're not alone","level 1 (section)","77","83","Hoa","Essun","[NULL]"
7,"6: Damaya, grinding to a halt","level 1 (section)","84","104","[NULL]","[NULL]","[NULL]"
8,"7: you plus one is two","level 1 (section)","105","115","Hoa","Essun","[NULL]"
9,"8: Syenite on the highroad","level 1 (section)","116","149","[NULL]","[NULL]","[NULL]"
10,"Interlude","level 1 (section)","150","151","[NULL]","[NULL]","[NULL]"
11,"9: Syenite among the enemy","level 1 (section)","152","171","[NULL]","[NULL]","[NULL]"
12,"10: you walk beside the beast","level 1 (section)","172","190","Hoa","Essun","[NULL]"
13,"11: Damaya at the fulcrum of it all","level 1 (section)","191","211","[NULL]","[NULL]","[NULL]"
14,"12: Syenite finds a new toy","level 1 (section)","212","231","[NULL]","[NULL]","[NULL]"
15,"13: you're on the trail","level 1 (section)","232","243","Hoa","Essun","[NULL]"
16,"14: Syenite breaks her toys","level 1 (section)","244","263","[NULL]","[NULL]","[NULL]"
17,"15: you're among friends","level 1 (section)","264","276","Hoa","Essun","[NULL]"
18,"16: Syen in the hidden land","level 1 (section)","277","296","[NULL]","[NULL]","[NULL]"
19,"17: Damaya, in finality","level 1 (section)","297","331","[NULL]","[NULL]","[NULL]"
20,"18: you discover wonders down below","level 1 (section)","332","343","Hoa","Essun","[NULL]"
21,"19: Syenite on the lookout","level 1 (section)","344","360","[NULL]","[NULL]","[NULL]"
22,"Interlude (361)","level 1 (section)","361","361","Hoa","Essun","[NULL]"
23,"20: Syenite, stretched and snapped back","level 1 (section)","362","387","[NULL]","[NULL]","[NULL]"
24,"21: you're getting the band back together","level 1 (section)","388","412","Hoa","Essun","[NULL]"
25,"22: Syenite, fractured","level 1 (section)","413","443","[NULL]","[NULL]","[NULL]"
26,"23: you're all you need","level 1 (section)","444","449","Hoa","Essun","[NULL]"
27,"Tablet One, ""On Survival,"" verse five","level 3 (sub-sub-section)","24","24","[NULL]","[NULL]","Creative non-fiction"
28,"Tablet Two, ""The Incomplete Truth,"" verse eight","level 3 (sub-sub-section)","41","41","[NULL]","[NULL]","Creative non-fiction"
29,"Tablet One, ""On Survival,"" verse ten","level 3 (sub-sub-section)","60","60","[NULL]","[NULL]","Creative non-fiction"
30,"Erlsset, twenty-third emperor...","level 3 (sub-sub-section)","76","76","[NULL]","[NULL]","Oral Story"
31,"Umbl Innovator Allia...","level 3 (sub-sub-section)","82","83","[NULL]","[NULL]","Oral Story"
32,"The Seasons of Sanze...","level 3 (sub-sub-section)","104","104","[NULL]","[NULL]","Creative non-fiction"
33,"Lorist recitation","level 3 (sub-sub-section)","115","115","[NULL]","[NULL]","Creative non-fiction"
34,"Tablet Three, ""Structures,"" verse one","level 3 (sub-sub-section)","171","171","[NULL]","[NULL]","Creative non-fiction"
35,"Tablet One, ""On Survival,"" verse three","level 3 (sub-sub-section)","190","190","[NULL]","[NULL]","Creative non-fiction"
36,"The Seasons of Sanze","level 3 (sub-sub-section)","211","211","[NULL]","[NULL]","Creative non-fiction"
37,"Tablet Two, ""The Incomplete Truth,""","level 3 (sub-sub-section)","231","231","[NULL]","[NULL]","Creative non-fiction"
