
"id","Type of Relationship <br />(choose)","Character 1 <br />(choose)","Character 2 <br />(choose)","Is Reciprocal? <br />(choose)","Narrative Container <br />(choose)","Start Page","End Page"
"184","Exchange","RW_TestCharacter_GS1","RW_TestCharacter_GS1","1","RW_TestContainer_GS2","44","99"
"183","Knows of","RW_TestCharacter_GS2","RW_TestCharacter_GS1","1","RW_TestContainer_GS2","33","44"
"187","Knows of","Sasha","""the woman"" (wallet victim)","0","1 Found Objects","3","3"
"188","Exchange","Sasha","Coz","1","1 Found Objects","4","9"
"189","Exchange","Sasha","Alex","1","1 Found Objects","5","6"
"190","Exchange","Sasha","""the plumber""","1","1 Found Objects","7","8"
"197","Exchange","Sasha","""the woman"" (wallet victim)","1","1 Found Objects","11","13"
"199","Knows of","Sasha","""little girl"" (scarf victim)","1","1 Found Objects","14","14"
"200","Knows of","Sasha","""little girl's"" mother","1","1 Found Objects","14","14"
"201","Exchange","Sasha","Coz","1","1 Found Objects","15","16"
"207","Knows","Sasha","Lizzie","1","1 Found Objects","16","18"
"208","Knows of","Sasha","""girl in braces"" (p17)","0","1 Found Objects","17","17"
"209","Knows of","Sasha","boy one in picture (p17)","0","1 Found Objects","17","17"
"210","Knows of","Sasha","boy two in picture (p17)","0","1 Found Objects","17","17"
"235","Knows","Sasha","Bennie Salazar","1","2 The Gold Cure","21","22"
"258","Exchange","Sasha","Christopher Salazar","1","2 The Gold Cure","27","27"
"261","Knows","Sasha","Sasha's boyfriends (p28)","1","2 The Gold Cure","28","28"
"263","Exchange","Sasha","The Conduits (band)","0","2 The Gold Cure","28","28"
"329","Knows of","Sasha","""the woman"" (wallet victim)","0","1 Found Objects","5","5"
"333","Knows","Sasha","""two security guys"" (Lassimo Hotel)","1","1 Found Objects","10","11"
"354","Knows","Sasha","Bennie Salazar","1","1 Found Objects","5","5"
"355","Knows","Sasha","Andy Grady (Sasha's father)","1","1 Found Objects","8","8"
"356","Knows","Sasha","Alex","1","1 Found Objects","9","9"
"357","Knows","Sasha","Bennie Salazar","1","1 Found Objects","12","12"
"359","Knows","Sasha","Robert Freeman Jr.","1","1 Found Objects","14","14"
"461","Knows","Sasha","Lizzie","1","10 Out of Body","187","187"
"479","Exchange","Sasha","Lizzie","1","10 Out of Body","190","190"
"492","Exchange","Sasha","Drew Blake","1","10 Out of Body","192","192"
"496","Knows","Sasha","""drummer"" (Sasha ran away with)","1","10 Out of Body","192","192"
"498","Exchange","Sasha","Hammer (Sasha’s stepfather)","1","10 Out of Body","192","193"
"501","Knows","Sasha","Sasha's girlfriends","1","10 Out of Body","194","194"
"503","Knows","Sasha","Lars, the Swede","1","10 Out of Body","194","194"
"506","Exchange","Sasha","""hungry kids"" (in Naples)","1","10 Out of Body","194","194"
"507","Exchange","Sasha","""baby crying"" (in Naples)","1","10 Out of Body","194","194"
"509","Knows of","Sasha","James","0","10 Out of Body","195","195"
"511","Knows of","Sasha","Mozart","0","10 Out of Body","195","195"
"516","Knows","Sasha","Sasha's first suitmate","1","10 Out of Body","195","195"
"517","Knows","Sasha","Sasha's second suitmate","1","10 Out of Body","195","195"
"518","Knows","Sasha","Sasha's third suitmate","1","10 Out of Body","195","195"
"520","Knows","Sasha","Drew Blake","1","10 Out of Body","195","196"
"528","Knows","Sasha","Lizzie","1","10 Out of Body","196","196"
"532","Knows","Sasha","Hammer (Sasha’s stepfather)","1","10 Out of Body","197","197"
"538","Exchange","Sasha","Drew Blake","1","10 Out of Body","197","199"
"539","Knows of","Sasha","""the police"" (p10)","0","1 Found Objects","9","10"
"542","Knows","Sasha","Lassimo Hotel Concierge","0","1 Found Objects","9","10"
"549","Knows","Sasha","""little girl"" (scarf victim)","1","1 Found Objects","4","4"
"551","Exchange","Sasha","The Conduits (band)","1","10 Out of Body","198","199"
"574","Knows","Sasha","Bennie Salazar","1","10 Out of Body","199","199"
"605","Knows","Sasha","Beth (Sasha's mother)","1","11 Good-bye, My Love","209","209"
"623","Knows","Sasha","Hammer (Sasha’s stepfather)","1","11 Good-bye, My Love","213","213"
"625","Knows","Sasha","Beth (Sasha's mother)","1","11 Good-bye, My Love","213","213"
"651","Knows","Sasha","Miles Hollander","1","11 Good-bye, My Love","217","217"
"652","Knows","Sasha","Ames Hollander","1","11 Good-bye, My Love","217","217"
"653","Knows","Sasha","Alfred ""Alf"" Hollander","1","11 Good-bye, My Love","217","217"
"663","Knows","Sasha","Mark Avery","1","11 Good-bye, My Love","219","219"
"664","Knows","Sasha","Beth (Sasha's mother)","1","11 Good-bye, My Love","219","220"
"665","Knows","Sasha","Andy Grady (Sasha's father)","1","11 Good-bye, My Love","219","219"
"666","Knows","Sasha","Rachel Costanza","1","11 Good-bye, My Love","220","220"
"667","Exchange","Sasha","""driver"" (in Naples)","1","11 Good-bye, My Love","221","221"
"673","Knows","Sasha","""college students"" (in Naples)","0","11 Good-bye, My Love","222","222"
"676","Knows","Sasha","Susan Hollander","1","11 Good-bye, My Love","222","223"
"678","Knows","Sasha","Wade","1","11 Good-bye, My Love","223","223"
"679","Knows","Sasha","The Pinheads (band)","0","11 Good-bye, My Love","223","223"
"684","Knows","Sasha","""doorman"" (in Naples)","1","11 Good-bye, My Love","224","224"
"685","Knows","Sasha","Andy Grady (Sasha's father)","1","11 Good-bye, My Love","225","225"
"707","Knows","Sasha","""bandy-legged old woman""","1","11 Good-bye, My Love","230","230"
"715","Knows","Sasha","Drew Blake","1","11 Good-bye, My Love","233","233"
"716","Knows","Sasha","Beth (Sasha's mother)","1","11 Good-bye, My Love","233","233"
"718","Knows","Sasha","Lincoln Blake","1","11 Good-bye, My Love","233","233"
