source,target,type,weight,startPage,category
66,68,Directed,1,3,Knows of
66,69,Directed,1,4,Exchange
66,69,Directed,1,5,Exchange
66,69,Directed,1,6,Exchange
66,69,Directed,1,7,Exchange
66,69,Directed,1,8,Exchange
66,69,Directed,1,9,Exchange
66,71,Directed,1,5,Exchange
66,71,Directed,1,6,Exchange
66,72,Directed,1,7,Exchange
66,72,Directed,1,8,Exchange
66,68,Directed,1,11,Exchange
66,68,Directed,1,12,Exchange
66,68,Directed,1,13,Exchange
66,92,Directed,1,14,Knows of
66,93,Directed,1,14,Knows of
66,69,Directed,1,15,Exchange
66,69,Directed,1,16,Exchange
66,76,Directed,1,16,Knows
66,76,Directed,1,17,Knows
66,76,Directed,1,18,Knows
66,96,Directed,1,17,Knows of
66,94,Directed,1,17,Knows of
66,95,Directed,1,17,Knows of
66,67,Directed,1,21,Knows
66,67,Directed,1,22,Knows
66,81,Directed,1,27,Exchange
66,111,Directed,1,28,Knows
66,174,Directed,1,28,Exchange
66,68,Directed,1,5,Knows of
66,91,Directed,1,10,Knows
66,91,Directed,1,11,Knows
66,67,Directed,1,5,Knows
66,178,Directed,1,8,Knows
66,71,Directed,1,9,Knows
66,67,Directed,1,12,Knows
66,139,Directed,1,14,Knows
66,76,Directed,1,187,Knows
66,76,Directed,1,190,Exchange
66,213,Directed,1,192,Exchange
66,186,Directed,1,192,Knows
66,171,Directed,1,192,Exchange
66,171,Directed,1,193,Exchange
66,364,Directed,1,194,Knows
66,167,Directed,1,194,Knows
66,281,Directed,1,194,Exchange
66,282,Directed,1,194,Exchange
66,172,Directed,1,195,Knows of
66,176,Directed,1,195,Knows of
66,283,Directed,1,195,Knows
66,284,Directed,1,195,Knows
66,285,Directed,1,195,Knows
66,213,Directed,1,195,Knows
66,213,Directed,1,196,Knows
66,76,Directed,1,196,Knows
66,171,Directed,1,197,Knows
66,213,Directed,1,197,Exchange
66,213,Directed,1,198,Exchange
66,213,Directed,1,199,Exchange
66,254,Directed,1,9,Knows of
66,254,Directed,1,10,Knows of
66,74,Directed,1,9,Knows
66,74,Directed,1,10,Knows
66,92,Directed,1,4,Knows
66,174,Directed,1,198,Exchange
66,174,Directed,1,199,Exchange
66,67,Directed,1,199,Knows
66,177,Directed,1,209,Knows
66,171,Directed,1,213,Knows
66,177,Directed,1,213,Knows
66,181,Directed,1,217,Knows
66,182,Directed,1,217,Knows
66,180,Directed,1,217,Knows
66,184,Directed,1,219,Knows
66,177,Directed,1,218,Knows
66,177,Directed,1,219,Knows
66,177,Directed,1,220,Knows
66,178,Directed,1,218,Knows
66,178,Directed,1,219,Knows
66,185,Directed,1,220,Knows
66,294,Directed,1,221,Exchange
66,295,Directed,1,222,Knows
66,179,Directed,1,222,Knows
66,179,Directed,1,223,Knows
66,186,Directed,1,223,Knows
66,196,Directed,1,223,Knows
66,296,Directed,1,224,Knows
66,178,Directed,1,225,Knows
66,210,Directed,1,230,Knows
66,213,Directed,1,233,Knows
66,177,Directed,1,233,Knows
66,211,Directed,1,233,Knows
66,140,Directed,1,233,Knows
66,211,Directed,1,236,Knows
66,213,Directed,1,236,Knows
66,211,Directed,1,242,Knows
66,140,Directed,1,245,Exchange
66,211,Directed,1,245,Exchange
66,221,Directed,1,245,Knows of
66,140,Directed,1,247,Exchange
66,211,Directed,1,247,Exchange
66,220,Directed,1,247,Knows of
66,213,Directed,1,247,Knows
66,213,Directed,1,255,Knows
66,166,Directed,1,258,Knows
66,140,Directed,1,264,Exchange
66,140,Directed,1,265,Exchange
66,211,Directed,1,264,Exchange
66,213,Directed,1,264,Knows
66,323,Directed,1,265,Knows
66,326,Directed,1,265,Knows
66,324,Directed,1,265,Knows
66,211,Directed,1,265,Knows
66,325,Directed,1,265,Knows
66,213,Directed,1,269,Knows
66,213,Directed,1,270,Knows
66,213,Directed,1,271,Knows
66,140,Directed,1,269,Knows
66,140,Directed,1,270,Knows
66,211,Directed,1,269,Knows
66,139,Directed,1,273,Knows
66,213,Directed,1,273,Knows
66,213,Directed,1,274,Knows
66,140,Directed,1,277,Exchange
66,211,Directed,1,277,Knows
66,213,Directed,1,280,Exchange
66,213,Directed,1,281,Exchange
66,211,Directed,1,282,Knows
66,211,Directed,1,284,Knows
66,139,Directed,1,290,Knows
66,225,Directed,1,295,Knows of
66,213,Directed,1,299,Knows
66,211,Directed,1,299,Knows
66,67,Directed,1,311,Knows
66,213,Directed,1,304,Knows
66,211,Directed,1,304,Knows
66,365,Directed,1,244,Knows
66,67,Directed,1,95,Knows
66,67,Directed,1,98,Knows
66,67,Directed,1,99,Knows
66,449,Directed,1,98,Knows
66,449,Directed,1,99,Knows
66,450,Directed,1,98,Knows
66,450,Directed,1,99,Knows
66,127,Directed,1,36,Knows
66,128,Directed,1,36,Knows
66,129,Directed,1,36,Knows
66,121,Directed,1,36,Knows
66,528,Directed,1,258,Knows
67,77,Directed,1,19,Knows
67,77,Directed,1,20,Knows
67,77,Directed,1,21,Knows
67,97,Directed,1,19,Knows of
67,98,Directed,1,19,Knows of
67,99,Directed,1,19,Knows of
67,100,Directed,1,20,Knows of
67,101,Directed,1,20,Knows of
67,102,Directed,1,20,Knows of
67,79,Directed,1,20,Knows of
67,103,Directed,1,20,Knows of
67,103,Directed,1,21,Knows of
67,80,Directed,1,20,Exchange
67,80,Directed,1,21,Exchange
67,104,Directed,1,20,Knows
67,82,Directed,1,21,Knows
67,81,Directed,1,21,Knows
67,81,Directed,1,22,Knows
67,83,Directed,1,22,Knows
67,105,Directed,1,22,Knows of
67,106,Directed,1,22,Knows of
67,84,Directed,1,23,Knows
67,85,Directed,1,23,Knows
67,86,Directed,1,23,Knows
67,87,Directed,1,23,Knows
67,107,Directed,1,23,Knows of
67,88,Directed,1,23,Exchange
67,108,Directed,1,23,Exchange
67,82,Directed,1,23,Exchange
67,81,Directed,1,24,Exchange
67,81,Directed,1,25,Exchange
67,81,Directed,1,26,Exchange
67,89,Directed,1,24,Knows
67,109,Directed,1,27,Knows of
67,66,Directed,1,27,Exchange
67,66,Directed,1,28,Exchange
67,66,Directed,1,29,Exchange
67,111,Directed,1,28,Knows of
67,174,Directed,1,28,Knows
67,132,Directed,1,39,Knows of
67,133,Directed,1,39,Knows of
67,134,Directed,1,39,Knows of
67,252,Directed,1,40,Knows
67,239,Directed,1,42,Exchange
67,244,Directed,1,44,Knows
67,245,Directed,1,44,Knows
67,246,Directed,1,44,Exchange
67,85,Directed,1,45,Exchange
67,251,Directed,1,32,Exchange
