source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
66,68,Sasha,"""the woman"" (wallet victim)",Directed,1,3,Knows of,[NULL]
70,67,Bennie's lawyer,Bennie Salazar,Directed,1,4,Knows,[NULL]
67,70,Bennie Salazar,Bennie's lawyer,Directed,1,4,Knows,[NULL]
69,66,Coz,Sasha,Directed,1,4,Exchange,[NULL]
66,69,Sasha,Coz,Directed,1,4,Exchange,[NULL]
66,70,Sasha,Bennie's lawyer,Directed,1,4,Knows,[NULL]
70,66,Bennie's lawyer,Sasha,Directed,1,4,Knows,[NULL]
66,92,Sasha,"""little girl"" (scarf victim)",Directed,1,4,Knows,[NULL]
92,66,"""little girl"" (scarf victim)",Sasha,Directed,1,4,Knows,[NULL]
66,67,Sasha,Bennie Salazar,Directed,1,4,Knows,[NULL]
67,66,Bennie Salazar,Sasha,Directed,1,4,Knows,[NULL]
69,68,Coz,"""the woman"" (wallet victim)",Directed,1,4,Knows of,[NULL]
71,66,Alex,Sasha,Directed,1,5,Exchange,[NULL]
67,66,Bennie Salazar,Sasha,Directed,1,5,Knows,[NULL]
66,68,Sasha,"""the woman"" (wallet victim)",Directed,1,5,Knows of,[NULL]
90,66,"""waiters"" (at the Lassimo Hotel)",Sasha,Directed,1,5,Knows,[NULL]
66,71,Sasha,Alex,Directed,1,5,Exchange,[NULL]
66,69,Sasha,Coz,Directed,1,5,Exchange,[NULL]
69,66,Coz,Sasha,Directed,1,5,Exchange,[NULL]
66,90,Sasha,"""waiters"" (at the Lassimo Hotel)",Directed,1,5,Knows,[NULL]
66,67,Sasha,Bennie Salazar,Directed,1,5,Knows,[NULL]
69,66,Coz,Sasha,Directed,1,6,Exchange,[NULL]
71,66,Alex,Sasha,Directed,1,6,Exchange,[NULL]
66,69,Sasha,Coz,Directed,1,6,Exchange,[NULL]
66,71,Sasha,Alex,Directed,1,6,Exchange,[NULL]
69,72,Coz,"""the plumber""",Directed,1,7,Knows of,[NULL]
66,69,Sasha,Coz,Directed,1,7,Exchange,[NULL]
72,66,"""the plumber""",Sasha,Directed,1,7,Exchange,[NULL]
69,66,Coz,Sasha,Directed,1,7,Exchange,[NULL]
66,72,Sasha,"""the plumber""",Directed,1,7,Exchange,[NULL]
66,72,Sasha,"""the plumber""",Directed,1,8,Exchange,[NULL]
69,178,Coz,Andy Grady (Sasha's father),Directed,1,8,Knows of,[NULL]
66,178,Sasha,Andy Grady (Sasha's father),Directed,1,8,Knows,[NULL]
69,66,Coz,Sasha,Directed,1,8,Exchange,[NULL]
66,69,Sasha,Coz,Directed,1,8,Exchange,[NULL]
178,66,Andy Grady (Sasha's father),Sasha,Directed,1,8,Knows,[NULL]
69,72,Coz,"""the plumber""",Directed,1,8,Knows of,[NULL]
72,66,"""the plumber""",Sasha,Directed,1,8,Exchange,[NULL]
66,71,Sasha,Alex,Directed,1,9,Knows,[NULL]
68,66,"""the woman"" (wallet victim)",Sasha,Directed,1,9,Exchange,[NULL]
68,74,"""the woman"" (wallet victim)",Lassimo Hotel Concierge,Directed,1,9,Exchange,[NULL]
66,74,Sasha,Lassimo Hotel Concierge,Directed,1,9,Knows,[NULL]
74,68,Lassimo Hotel Concierge,"""the woman"" (wallet victim)",Directed,1,9,Exchange,[NULL]
68,254,"""the woman"" (wallet victim)","""the police""",Directed,1,9,Knows of,[NULL]
74,254,Lassimo Hotel Concierge,"""the police""",Directed,1,9,Knows,[NULL]
66,69,Sasha,Coz,Directed,1,9,Exchange,[NULL]
66,254,Sasha,"""the police""",Directed,1,9,Knows of,[NULL]
69,66,Coz,Sasha,Directed,1,9,Exchange,[NULL]
68,71,"""the woman"" (wallet victim)",Alex,Directed,1,9,Exchange,[NULL]
71,66,Alex,Sasha,Directed,1,9,Knows,[NULL]
71,254,Alex,"""the police""",Directed,1,9,Knows of,[NULL]
71,68,Alex,"""the woman"" (wallet victim)",Directed,1,9,Exchange,[NULL]
66,68,Sasha,"""the woman"" (wallet victim)",Directed,1,9,Exchange,[NULL]
254,74,"""the police""",Lassimo Hotel Concierge,Directed,1,10,Exchange,[NULL]
68,71,"""the woman"" (wallet victim)",Alex,Directed,1,10,Exchange,[NULL]
68,254,"""the woman"" (wallet victim)","""the police""",Directed,1,10,Knows of,[NULL]
68,66,"""the woman"" (wallet victim)",Sasha,Directed,1,10,Exchange,[NULL]
66,74,Sasha,Lassimo Hotel Concierge,Directed,1,10,Knows,[NULL]
91,74,"""two security guys"" (Lassimo Hotel)",Lassimo Hotel Concierge,Directed,1,10,Knows,[NULL]
91,66,"""two security guys"" (Lassimo Hotel)",Sasha,Directed,1,10,Knows,[NULL]
71,74,Alex,Lassimo Hotel Concierge,Directed,1,10,Exchange,[NULL]
66,254,Sasha,"""the police""",Directed,1,10,Knows of,[NULL]
71,66,Alex,Sasha,Directed,1,10,Exchange,[NULL]
71,254,Alex,"""the police""",Directed,1,10,Knows of,[NULL]
71,68,Alex,"""the woman"" (wallet victim)",Directed,1,10,Exchange,[NULL]
71,91,Alex,"""two security guys"" (Lassimo Hotel)",Directed,1,10,Knows,[NULL]
66,68,Sasha,"""the woman"" (wallet victim)",Directed,1,10,Exchange,[NULL]
66,71,Sasha,Alex,Directed,1,10,Exchange,[NULL]
91,71,"""two security guys"" (Lassimo Hotel)",Alex,Directed,1,10,Knows,[NULL]
255,74,"""security"" (on the phone)",Lassimo Hotel Concierge,Directed,1,10,Exchange,[NULL]
66,91,Sasha,"""two security guys"" (Lassimo Hotel)",Directed,1,10,Knows,[NULL]
74,71,Lassimo Hotel Concierge,Alex,Directed,1,10,Exchange,[NULL]
74,91,Lassimo Hotel Concierge,"""two security guys"" (Lassimo Hotel)",Directed,1,10,Knows,[NULL]
74,255,Lassimo Hotel Concierge,"""security"" (on the phone)",Directed,1,10,Exchange,[NULL]
74,254,Lassimo Hotel Concierge,"""the police""",Directed,1,10,Exchange,[NULL]
68,66,"""the woman"" (wallet victim)",Sasha,Directed,1,11,Exchange,[NULL]
66,71,Sasha,Alex,Directed,1,11,Exchange,[NULL]
91,74,"""two security guys"" (Lassimo Hotel)",Lassimo Hotel Concierge,Directed,1,11,Knows,[NULL]
91,66,"""two security guys"" (Lassimo Hotel)",Sasha,Directed,1,11,Knows,[NULL]
66,68,Sasha,"""the woman"" (wallet victim)",Directed,1,11,Exchange,[NULL]
91,71,"""two security guys"" (Lassimo Hotel)",Alex,Directed,1,11,Knows,[NULL]
74,91,Lassimo Hotel Concierge,"""two security guys"" (Lassimo Hotel)",Directed,1,11,Knows,[NULL]
71,91,Alex,"""two security guys"" (Lassimo Hotel)",Directed,1,11,Knows,[NULL]
66,91,Sasha,"""two security guys"" (Lassimo Hotel)",Directed,1,11,Knows,[NULL]
71,66,Alex,Sasha,Directed,1,11,Exchange,[NULL]
66,67,Sasha,Bennie Salazar,Directed,1,12,Knows,[NULL]
68,66,"""the woman"" (wallet victim)",Sasha,Directed,1,12,Exchange,[NULL]
66,71,Sasha,Alex,Directed,1,12,Exchange,[NULL]
68,71,"""the woman"" (wallet victim)",Alex,Directed,1,12,Knows,[NULL]
71,66,Alex,Sasha,Directed,1,12,Exchange,[NULL]
71,68,Alex,"""the woman"" (wallet victim)",Directed,1,12,Knows,[NULL]
66,68,Sasha,"""the woman"" (wallet victim)",Directed,1,12,Exchange,[NULL]
