id,Name
263,"""[Kitty's] director"""
259,"""a banjo"""
448,"""a blond gal"""
288,"""a girl"" (Rob shares a strong joint with)"
251,"""a gray cat"""
257,"""a sax"""
258,"""a tuba"""
108,"""audience of twenty-five hundred"""
374,"""audience"" (at Scotty's concert)"
282,"""baby crying"" (in Naples)"
210,"""bandy-legged old woman"""
401,"""child in the shadows"""
103,"""cloistered nuns"""
295,"""college students"" (in Naples)"
529,"""concert-goers"""
291,"""crone"" (in Naples)"
194,"""disembodied tenants moving inside their rooms"""
296,"""doorman"" (in Naples)"
294,"""driver"" (in Naples)"
272,"""Editor"" (of Jules' article)"
224,"""girl with the sick heart"""
421,"""girl"" (at the end of the novel)"
104,"""girls from the office"""
195,"""girls with jumpy hands and cracked leather purses"
345,"""guy"" (who snatched Rebecca's purse)"
299,"""hotel clerk"" (in Naples)"
281,"""hungry kids"" (in Naples)"
486,"""iconic actor"""
88,"""jazz pianist"""
292,"""kid in a green T-shirt"" (in Naples)"
316,"""kids"" (on Lincoln's team)"
511,"""last year's Pitters"""
92,"""little girl"" (scarf victim)"
93,"""little girl's"" mother"
156,"""male memoirist"""
360,"""men"" (outside Alex's windows)"
297,"""officer"" (in Naples)"
293,"""old woman"" (in Naples)"
322,"""parents"" (of the girl with the sick heart)"
261,"""people"" (at the restaurant)"
349,"""people"" (at the WATERWALK!)"
375,"""roadies"" (at Scotty's concert)"
333,"""secretary"" (to Bennie's executives)"
255,"""security"" (on the phone)"
110,"""series of executives"""
290,"""shepherd"""
528,"""some people"" (in the picture)"
120,"""someone else"""
268,"""someone else"" (riding Nixon)"
239,"""the cholos"""
72,"""the plumber"""
254,"""the police"""
377,"""the scuzzy guy in a fez"""
68,"""the woman"" (wallet victim)"
366,"""three-month old"" (Nine Inch Nails)"
369,"""toddler"" (in Native American headdress)"
277,"""twelve team-playing Democrats"""
191,"""two boys sharing a cigarette"""
116,"""two colleagues"""
170,"""two old ladies"""
91,"""two security guys"" (Lassimo Hotel)"
204,"""various Caesars"""
90,"""waiters"" (at the Lassimo Hotel)"
0,"[NULL]"
433,"a Phoenix Faction mom"
119,"Abby"
325,"Ada (Sasha's friend)"
430,"African men in suits"
404,"Albert"
262,"Albert Einstein"
424,"Albert's Mother"
71,"Alex"
358,"Alex's blind parrots"
180,"Alfred ""Alf"" Hollander"
85,"Alice"
252,"Alice's first sister"
135,"Alice's little sisters"
312,"Alice's mother"
253,"Alice's second sister"
243,"Alice's stepfather"
140,"Alison Blake"
321,"Alison's friends"
182,"Ames Hollander"
234,"An Horse (band)"
178,"Andy Grady (Sasha's father)"
467,"Another couple"
481,"Arc"
151,"Atticus Levi"
328,"Ava Salazar"
153,"Beatrice Green"
67,"Bennie Salazar"
460,"Bennie Salazar's four sisters"
459,"Bennie Salazar's grandmother"
458,"Bennie Salazar's parents"
332,"Bennie's executives"
70,"Bennie's lawyer"
137,"Bennie's senior executive"
113,"Bennie's team"
365,"Bernadette"
177,"Beth (Sasha's mother)"
368,"Biggie"
165,"Bill Clinton"
466,"Bill Duff"
242,"Bill Graham"
161,"Bix"
128,"Black Flag (band)"
391,"Blondie (band)"
237,"Boomer"
166,"Bosco"
94,"boy one in picture"
95,"boy two in picture"
145,"Brad Pitt"
410,"Bronisław Malinowski"
329,"Cara-Ann (Alex's daughter)"
354,"Cat (Alex's parrot)"
351,"Catwoman"
114,"Chandra (oldest Stop/Go sister)"
385,"Charlie"
394,"Charlie & Rolph's Mother"
434,"Charlie's son"
98,"Chrissie Hynde"
214,"Christine (Jason's Mom)"
81,"Christopher Salazar"
415,"Chronos"
416,"Chronos's girlfriend"
412,"Claude Lévi-Strauss"
464,"Clay (Kathy's Husband)"
465,"Colin (Kathy's son)"
78,"Collette"
408,"Cora (Lou's travel agent)"
69,"Coz"
381,"Cramps (band)"
247,"Crime (band)"
383,"crowd at the Mab"
287,"Custodian"
97,"Cyndi Lauper"
216,"Dan"
444,"Dave"
441,"Dave Brubeck"
221,"David Bowie"
207,"David Hockney"
419,"Dean"
426,"Dean's four adult children"
350,"Dick Smart"
407,"die-hards from Phoenix Faction"
313,"Dirk Dirksen"
347,"Dolly Peale"
522,"Dolly's movie-star client"
380,"door guy at the Mab"
489,"Dorothy Gale"
89,"Dr. Beet"
213,"Drew Blake"
280,"Drew Blake's brothers"
326,"Drew Blake's mother"
445,"Dry-cleaner gal"
532,"Duane Reade"
463,"Duck (hedge-fund manager)"
64,"EA_TestCharacter_1"
65,"EA_TestCharacter_2"
515,"East Village females"
298,"Elderly couple (in Naples)"
183,"Elsa"
423,"English Surgeon"
202,"Eurydice"
125,"Eye Protection (band)"
452,"female junkie"
340,"Finn (Alex's friend)"
341,"Finn's Wesleyan classmates"
395,"Fiona"
338,"First ""conversational strand"""
302,"First boy (in Sasha's palazzo)"
305,"First tenant (in Sasha's palazzo)"
126,"Flaming Dildos (band)"
123,"Flipper (band)"
384,"four guys with safety pin chains"
422,"Foxey Lady"
409,"Franz Boas"
215,"Gabby (Mark's Mom)"
228,"Garbage (band)"
506,"General A"
505,"General G"
507,"General L"
508,"General P"
509,"General Y"
492,"general's airline hostess"
229,"George Michael"
199,"Georgia O'Keeffe"
301,"Giorgine"
96,"girl in braces"
260,"God"
495,"group of men"
203,"Hadrian"
171,"Hammer (Sasha’s stepfather)"
265,"Homer"
447,"Hudson News employee"
392,"Iggy Pop (musician)"
158,"Jake"
172,"James"
152,"Janet Green"
317,"Jason (on Lincoln's team)"
352,"JD (Alex's parrot)"
107,"Jello Biafra"
150,"Jeremy Irons"
266,"Jesus Christ"
220,"Jimi Hendrix"
198,"JMW Turner"
86,"Jocelyn"
241,"Jocelyn's dad"
393,"Jocelyn's mother"
436,"Jocelyn's three children"
420,"Joe (Lulu's Husband)"
308,"Joe Rees"
244,"Joel"
245,"Joel's dad"
209,"John Moore"
411,"John Murra"
138,"Jules Jones"
276,"Jules Jones' building's superintendent"
275,"Jules Jones' chiropractor"
475,"Jules's three roomates"
472,"Jury at Kitty Jackson's trial"
502,"Kate Spade"
457,"Kathy"
413,"Kikuyu drivers"
83,"Kitty Jackson"
471,"Kitty Jackson's Defense Attorney"
484,"La Doll's 500 guests"
167,"Lars, the Swede"
74,"Lassimo Hotel Concierge"
230,"Led Zeppelin"
148,"Leonardo DiCaprio"
524,"Lexington Ave shopkeepers"
211,"Lincoln Blake"
76,"Lizzie"
279,"Lizzie's father"
278,"Lizzie's mother"
130,"Lou Kline"
387,"Lou Kline's 3rd child"
388,"Lou Kline's 4th child"
389,"Lou Kline's 5th child"
390,"Lou Kline's 6th child"
435,"Lou Kline's maid"
439,"Lou Kline's nurse-butler"
398,"Lou's first ex-wife"
115,"Louisa (younger Stop/Go sister)"
425,"Louise"
427,"Louise's three teenagers"
206,"Lucian Freud"
346,"Lulu Peale"
490,"Lulu's grandmother"
510,"Lulu's new friends"
491,"Lulu's school friends"
330,"Lupa Salazar"
417,"Mad Hatter's guitarist"
418,"Mad Hatter's guitarist's girlfriend"
519,"Magritte"
485,"Malcolm Forbes"
451,"male junkie"
449,"man in waiting room"
273,"Marilyn Monroe"
319,"Mark (on Lincoln's team)"
184,"Mark Avery"
246,"Marty"
361,"Mary (Mother of God!)"
143,"Matt Damon"
343,"Max (Alex's friend)"
274,"Mayor Giuliani"
431,"Mexican cult leader"
396,"Mildred"
181,"Miles Hollander"
397,"Mindy"
414,"Mindy's four insomniac roomates"
80,"Mother Superior"
176,"Mozart"
348,"Mr. Bastie"
482,"Muammar Qaddafi"
438,"Nadine (Rhea's oldest daughter)"
371,"Natasha (Zeus's Russian girlfriend)"
289,"Neapolitans"
134,"Negative Trend (band)"
271,"New Republic author"
269,"New York Times author"
526,"news reporters"
147,"Nicole Kidman"
367,"Nine Inch Nails (band)"
175,"Nirvana"
530,"Nixon (the horse)"
327,"NOFX (band)"
469,"Noreen"
470,"Noreen's three daughters"
133,"Nuns (band)"
99,"Olivia (Louisa's daughter)"
518,"one of Bennie's artists"
521,"one of The General's drivers"
201,"Orpheus"
504,"paparazzi"
127,"Patti Smith"
197,"Paul Cézanne"
200,"Paul Klee"
109,"Pearl Jam"
520,"pedestrians"
503,"photo print shop guy"
476,"photographer"
461,"pianist"
477,"Picasso"
169,"Pilar"
344,"Pink Buttons (band)"
205,"Pluto"
514,"Punk rockers"
478,"purse designer"
185,"Rachel Costanza"
144,"Ralph Fiennes"
399,"Ramsey"
331,"Rebecca (Alex's wife)"
334,"Rebecca's father"
355,"Rebecca's first roommate"
335,"Rebecca's mother"
356,"Rebecca's second roommate"
357,"Rebecca's third roommate"
87,"Rhea"
512,"Rhea's cousins"
136,"Rhea's dad"
314,"Rhea's first brother"
256,"Rhea's mother"
315,"Rhea's second brother"
437,"Rhea's second child"
440,"Rhea's third child"
208,"Richard Diebenkorn"
267,"Richard Nixon"
307,"Ricky Sleeper"
139,"Robert Freeman Jr."
164,"Robert Freeman Jr.'s father"
173,"Robert Freeman Jr.'s mother"
286,"Robert Freeman Jr.'s sister"
386,"Rolph"
342,"Rose (Alex's friend)"
453,"Runner"
62,"RW_TestCharacter_GS1"
63,"RW_TestCharacter_GS2"
402,"Samburu warrior w/ scars"
400,"Samburu warriors"
443,"Sammy"
353,"Sancho (Alex's parrot)"
336,"Sandra (single mother)"
337,"Sandra's teenaged son"
499,"Santa Claus"
66,"Sasha"
111,"Sasha's boyfriends"
283,"Sasha's first suitmate"
364,"Sasha's girlfriends"
284,"Sasha's second suitmate"
285,"Sasha's third suitmate"
468,"Scooter"
84,"Scotty Hausmann"
311,"Scotty Hausmann's dad"
359,"Scotty Hausmann's fans"
240,"Scotty Hausmann's mother"
339,"Second ""conversational strand"""
303,"Second boy (in Sasha's palazzo)"
306,"Second tenant (in Sasha's palazzo)"
232,"Semisonic (band)"
432,"series of feckless, domineering men (80)"
149,"Sharon Stone"
456,"sister of one of Bennie's artists"
494,"starfruit vendor"
82,"Stephanie"
473,"Stephanie & Jules' parents"
479,"Stephanie's cleaning woman"
474,"Stephanie's freshman suitemate"
222,"Steve Miller"
223,"Steve Miller Band"
100,"Stop/Go Producer 1"
101,"Stop/Go Producer 2"
102,"Stop/Go Producer 3"
77,"Stop/Go sisters"
79,"Stop/Go's manager (their father)"
250,"Stop/Go's mother"
513,"Strangers at Vanessi's"
132,"Stranglers (band)"
118,"Stu (Barber)"
179,"Susan Hollander"
324,"Suzette (Alison's friend)"
117,"Sylph (Stephanie's cat)"
309,"Target Video (band)"
235,"Tatum"
496,"tea shop waiter"
141,"Ted Hollander"
362,"Ted Hollander's grandchildren"
248,"The Avengers (band)"
129,"The Circle Jerks (band)"
174,"The Conduits (band)"
106,"The Dead Kennedys (band)"
226,"The Doobie Brothers"
493,"the driver"
238,"the entire J.V. soccer team"
219,"The Four Tops (band)"
225,"The Frames (band)"
480,"The General"
525,"The General's Human Relations Cpt."
501,"The General's soldiers"
249,"The Germs (band)"
323,"The Langs (family)"
124,"The Mutants (band)"
196,"The Pinheads (band)"
227,"The Police (band)"
105,"The Sleepers (band)"
122,"The Stooges (band)"
379,"the strippers"
121,"The Who (band)"
231,"The Zombies (band)"
304,"Third boy (in Sasha's palazzo)"
300,"Titian"
146,"Tom Cruise"
264,"Tom Cruise and Nicole Kidman's children"
527,"travelling New Yorkers"
483,"Truman Capote"
428,"twin boy 1"
429,"twin boy 2"
462,"two girls from kindergarten"
310,"Two sisters from the club"
270,"USA Today author"
159,"Vanity Fair reporter"
523,"vendors"
403,"very young woman"
186,"Wade"
155,"waiter"
376,"Waiter (at Vanessi's)"
405,"Warrior's four wives"
406,"warrior's sixty-two grandchildren"
236,"Wayne"
517,"well-dressed individuals"
531,"Whiskers"
450,"woman in waiting room"
370,"Zeus (Alex's friend)"
372,"Zeus's first twin"
373,"Zeus's second twin"
487,"überpowerful producer"
488,"überpowerful producer's wife"
