source,target,Char 1 Name,Char 2 Name,startPage,type,weight
26,27,James Potter,Neighbours (of the Dursleys),7,Undirected,1
25,26,Lily Potter,James Potter,7,Undirected,1
1,25,Harry Potter,Lily Potter,7,Undirected,1
5,26,Petunia Dursley,James Potter,7,Undirected,1
4,25,Dudley Dursley,Lily Potter,7,Undirected,1
1,4,Harry Potter,Dudley Dursley,7,Undirected,1
6,25,Vernon Dursley,Lily Potter,7,Undirected,1
25,27,Lily Potter,Neighbours (of the Dursleys),7,Undirected,1
5,27,Petunia Dursley,Neighbours (of the Dursleys),7,Undirected,1
1,5,Harry Potter,Petunia Dursley,7,Undirected,1
1,26,Harry Potter,James Potter,7,Undirected,1
5,6,Petunia Dursley,Vernon Dursley,7,Undirected,1
4,6,Dudley Dursley,Vernon Dursley,7,Undirected,1
4,26,Dudley Dursley,James Potter,7,Undirected,1
5,25,Petunia Dursley,Lily Potter,7,Undirected,1
4,27,Dudley Dursley,Neighbours (of the Dursleys),7,Undirected,1
6,27,Vernon Dursley,Neighbours (of the Dursleys),7,Undirected,1
1,27,Harry Potter,Neighbours (of the Dursleys),7,Undirected,1
4,5,Dudley Dursley,Petunia Dursley,7,Undirected,1
6,26,Vernon Dursley,James Potter,7,Undirected,1
1,6,Harry Potter,Vernon Dursley,7,Undirected,1
32,29,man in emerald green cloak,People in cloaks,8,Undirected,1
6,29,Vernon Dursley,People in cloaks,8,Undirected,1
6,19,Vernon Dursley,Minerva McGonagall,8,Undirected,1
5,29,Petunia Dursley,People in cloaks,8,Undirected,1
5,6,Petunia Dursley,Vernon Dursley,8,Undirected,1
32,6,man in emerald green cloak,Vernon Dursley,8,Undirected,1
4,5,Dudley Dursley,Petunia Dursley,8,Undirected,1
32,19,man in emerald green cloak,Minerva McGonagall,8,Undirected,1
4,6,Dudley Dursley,Vernon Dursley,8,Undirected,1
32,4,man in emerald green cloak,Dudley Dursley,8,Undirected,1
19,29,Minerva McGonagall,People in cloaks,8,Undirected,1
4,19,Dudley Dursley,Minerva McGonagall,8,Undirected,1
5,19,Petunia Dursley,Minerva McGonagall,8,Undirected,1
4,29,Dudley Dursley,People in cloaks,8,Undirected,1
32,5,man in emerald green cloak,Petunia Dursley,8,Undirected,1
34,5,Tiny old man,Petunia Dursley,9,Undirected,1
1,29,Harry Potter,People in cloaks,9,Undirected,1
1,26,Harry Potter,James Potter,9,Undirected,1
33,25,five different people,Lily Potter,9,Undirected,1
76,29,Vernon Dursley's Secretary,People in cloaks,9,Undirected,1
35,25,Bird Watchers,Lily Potter,9,Undirected,1
1,35,Harry Potter,Bird Watchers,9,Undirected,1
5,36,Petunia Dursley,Owls,9,Undirected,1
34,36,Tiny old man,Owls,9,Undirected,1
34,33,Tiny old man,five different people,9,Undirected,1
76,26,Vernon Dursley's Secretary,James Potter,9,Undirected,1
6,25,Vernon Dursley,Lily Potter,9,Undirected,1
35,6,Bird Watchers,Vernon Dursley,9,Undirected,1
34,29,Tiny old man,People in cloaks,9,Undirected,1
34,35,Tiny old man,Bird Watchers,9,Undirected,1
36,26,Owls,James Potter,9,Undirected,1
33,6,five different people,Vernon Dursley,9,Undirected,1
5,26,Petunia Dursley,James Potter,9,Undirected,1
36,29,Owls,People in cloaks,9,Undirected,1
33,76,five different people,Vernon Dursley's Secretary,9,Undirected,1
5,29,Petunia Dursley,People in cloaks,9,Undirected,1
35,76,Bird Watchers,Vernon Dursley's Secretary,9,Undirected,1
1,25,Harry Potter,Lily Potter,9,Undirected,1
25,26,Lily Potter,James Potter,9,Undirected,1
5,76,Petunia Dursley,Vernon Dursley's Secretary,9,Undirected,1
34,26,Tiny old man,James Potter,9,Undirected,1
36,76,Owls,Vernon Dursley's Secretary,9,Undirected,1
1,5,Harry Potter,Petunia Dursley,9,Undirected,1
6,29,Vernon Dursley,People in cloaks,9,Undirected,1
76,25,Vernon Dursley's Secretary,Lily Potter,9,Undirected,1
25,29,Lily Potter,People in cloaks,9,Undirected,1
33,36,five different people,Owls,9,Undirected,1
35,33,Bird Watchers,five different people,9,Undirected,1
1,34,Harry Potter,Tiny old man,9,Undirected,1
35,36,Bird Watchers,Owls,9,Undirected,1
34,25,Tiny old man,Lily Potter,9,Undirected,1
6,36,Vernon Dursley,Owls,9,Undirected,1
36,25,Owls,Lily Potter,9,Undirected,1
33,5,five different people,Petunia Dursley,9,Undirected,1
5,25,Petunia Dursley,Lily Potter,9,Undirected,1
1,6,Harry Potter,Vernon Dursley,9,Undirected,1
35,5,Bird Watchers,Petunia Dursley,9,Undirected,1
6,76,Vernon Dursley,Vernon Dursley's Secretary,9,Undirected,1
33,26,five different people,James Potter,9,Undirected,1
1,76,Harry Potter,Vernon Dursley's Secretary,9,Undirected,1
26,29,James Potter,People in cloaks,9,Undirected,1
5,6,Petunia Dursley,Vernon Dursley,9,Undirected,1
6,26,Vernon Dursley,James Potter,9,Undirected,1
1,36,Harry Potter,Owls,9,Undirected,1
34,76,Tiny old man,Vernon Dursley's Secretary,9,Undirected,1
35,29,Bird Watchers,People in cloaks,9,Undirected,1
34,6,Tiny old man,Vernon Dursley,9,Undirected,1
35,26,Bird Watchers,James Potter,9,Undirected,1
33,29,five different people,People in cloaks,9,Undirected,1
1,33,Harry Potter,five different people,9,Undirected,1
34,38,Tiny old man,Viewers,10,Undirected,1
11,77,Voldemort,Mrs Next Door,10,Undirected,1
4,19,Dudley Dursley,Minerva McGonagall,10,Undirected,1
6,37,Vernon Dursley,Jim McGuffin,10,Undirected,1
77,79,Mrs Next Door,Ted (News Reader),10,Undirected,1
6,19,Vernon Dursley,Minerva McGonagall,10,Undirected,1
38,79,Viewers,Ted (News Reader),10,Undirected,1
38,6,Viewers,Vernon Dursley,10,Undirected,1
35,6,Bird Watchers,Vernon Dursley,10,Undirected,1
5,6,Petunia Dursley,Vernon Dursley,10,Undirected,1
34,36,Tiny old man,Owls,10,Undirected,1
35,4,Bird Watchers,Dudley Dursley,10,Undirected,1
36,79,Owls,Ted (News Reader),10,Undirected,1
37,11,Jim McGuffin,Voldemort,10,Undirected,1
38,77,Viewers,Mrs Next Door,10,Undirected,1
34,6,Tiny old man,Vernon Dursley,10,Undirected,1
4,79,Dudley Dursley,Ted (News Reader),10,Undirected,1
5,77,Petunia Dursley,Mrs Next Door,10,Undirected,1
