id,label
218,"""batty old wizards"" (192)"
159,18 ghosts
111,Adalbert Waffling
204,Adrian Pucey
143,Agrippa
148,Alberic Grunnion
10,Albus Dumbledore
202,Alicia Spinnet
200,Angelina Johnson
131,Apothecary Man
120,Apothecary Woman
49,Argus Filtch
114,Arsenius Jigger
141,Arthur Weasley
85,Aunt Marge
70,Bald man in a purple coat
44,Bane
110,Bathilda Bagshot
138,Bill Weasley
80,Bird Experts
35,Bird Watchers
176,Blaise Zabini
93,Boa Constrictor
121,Boys at shop window
139,Charlie Weasley
214,Charlie's friends
149,Circe
152,Cliodna
108,Cornelius Fudge
154,Crabbe
188,Daily Prophet Reporter
189,Dean Thomas
58,Dedalus Diggle
101,Delivery Owl
71,Dennis
119,Doris Crockford
17,Draco Malfoy
4,Dudley Dursley
97,Dursley's Milkman
219,Elfric the Eager
112,Emeric Switch
184,Emeric the Evil
135,Families of Hogwarts Students
186,Fang
157,Fat Friar
45,Firenze
33,five different people
197,Fluffy
22,Fred Weasley
145,Gellert Grindelwald
74,George Weasley
212,Ghost of a tall witch
23,Ginny Weasley
122,Goblin at Gringotts Entrance
106,Goblins
124,Goblins at Gringotts
73,Gordon
21,Goyle
181,Great-auntie Enid
180,Great-uncle Algie
207,Greek chappie
196,Gregory the Smarmy
125,Gringotts Head Goblin
187,Gringotts spokesgoblin
126,Griphook
194,Gryffindor Quidditch Team
177,Gryffindor students
162,Hannah Abbott
1,Harry Potter
210,Harry's family
67,Harry's Headmistress
156,Harry's teacher
54,Hedwig
147,Hengist of Woodcraft
9,Hermione Granger
153,Hermione's family
155,"Hogwarts Express ""driver"""
75,Hogwarts Students
183,Hogwarts Teachers
99,Hotel Owner
213,Hufflepuff Quidditch Team
92,Ice Cream Lady
26,James Potter
37,Jim McGuffin
168,Justin Finch-Fletchley
203,Katie Bell
205,Keeper Bletchley
166,Lavender Brown
42,Lee Jordan
221,Lily & James' old school friends
25,Lily Potter
175,Lisa Turpin
128,Lucius Malfoy
208,Madam Pince
59,Madam Pomfrey
182,Madame Hooch
127,Madame Malkin
72,Malcolm
191,Malfoy's eagle owl
32,man in emerald green cloak
165,Mandy Brocklehurst
201,Marcus Flint
151,Merlin
167,Millicent Bulstrode
19,Minerva McGonagall
107,Ministry of Magic
109,Miranda Goshawk
24,Molly Weasley
137,Molly Weasley's second cousin
170,Moon
169,Morag MacDougal
146,Morgana
91,Motorcyclists
83,Mr Paws
132,Mr. Ollivander
77,Mrs Next Door
78,Mrs Next Door's Daughter
65,Mrs. Figg
52,Mrs. Norris
57,Muggles
129,Narcissa Malfoy
27,Neighbours (of the Dursleys)
20,Neville Longbottom
136,Neville's Grandmother
115,Newt Scamander
13,Nicolas Flamel
55,Norbert
171,Nott
193,Oliver Wood
36,Owls
192,Padma Patil
123,Pair of goblins
172,Pansy Parkinson
150,Paracelsus
173,Pavarti Patil
51,Peeves
98,People at Post Office
29,People in cloaks
118,People in the Leaky Cauldron
60,People in the Wizarding World
62,People Voldemort has killed
18,Percy Weasley
14,Perenelle Flamel
5,Petunia Dursley
113,Phyllida Spore
66,Piers Polkiss
87,Piers Polkiss' Mother
39,Professor Binns
31,Professor Flitwick
7,Professor Quirell
56,Professor Sprout
130,Professor Vindictus Viridian
144,Ptolemy
116,Quentin Trimble
94,Reptile House Keeper
209,Ron's Grandfather
15,Ronald Weasley
217,Ronan
64,Rubeus Hagrid
174,Sally-Anne Perks
140,Scabbers (the rat)
160,Seamus Finnigan
8,Severus Snape
158,Sir Nicholas
63,Sirius Black
195,Slytherin Quidditch Team
178,Slytherin Students
82,Snowy
220,Stranger with Dragon Egg
163,Susan Bones
79,Ted (News Reader)
206,Terence Higgs
164,Terry Boot
53,The Bloody Baron
104,The Bones
90,the council (24)
102,The Evans
46,The Fat Lady
179,The Finnigans
103,The McKinnons
105,the Prewetts
161,The Sorting Hat
211,The Weasley's extended family
134,The Weasley's Owl
81,Tibbies
34,Tiny old man
117,Tom the bartender
100,Toothless Old Man
133,Train Station Guard
50,Trevor (Neville's Toad)
199,Troll
142,Trolley Lady
84,Tufty
185,Uric the Oddball
6,Vernon Dursley
76,Vernon Dursley's Secretary
89,Vernon's coworkers
38,Viewers
11,Voldemort
190,West Ham Football Team
198,Wizard Baruffio
222,Wizened Old Guard
69,Woman dressed in all green
86,Yvonne
95,Zoo Director
