source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
25,6,Lily Potter,Vernon Dursley,Directed,1,7,Knows,[NULL]
27,6,Neighbours (of the Dursleys),Vernon Dursley,Directed,1,7,Knows,[NULL]
27,5,Neighbours (of the Dursleys),Petunia Dursley,Directed,1,7,Knows,[NULL]
26,6,James Potter,Vernon Dursley,Directed,1,7,Knows,[NULL]
1,25,Harry Potter,Lily Potter,Directed,1,7,Knows,[NULL]
5,27,Petunia Dursley,Neighbours (of the Dursleys),Directed,1,7,Knows,[NULL]
5,4,Petunia Dursley,Dudley Dursley,Directed,1,7,Exchange,[NULL]
6,27,Vernon Dursley,Neighbours (of the Dursleys),Directed,1,7,Knows,[NULL]
25,1,Lily Potter,Harry Potter,Directed,1,7,Knows,[NULL]
25,26,Lily Potter,James Potter,Directed,1,7,Knows,[NULL]
5,1,Petunia Dursley,Harry Potter,Directed,1,7,Knows of,[NULL]
25,5,Lily Potter,Petunia Dursley,Directed,1,7,Knows,[NULL]
1,26,Harry Potter,James Potter,Directed,1,7,Knows,[NULL]
4,6,Dudley Dursley,Vernon Dursley,Directed,1,7,Knows,[NULL]
26,1,James Potter,Harry Potter,Directed,1,7,Knows,[NULL]
4,5,Dudley Dursley,Petunia Dursley,Directed,1,7,Exchange,[NULL]
5,26,Petunia Dursley,James Potter,Directed,1,7,Knows,[NULL]
5,25,Petunia Dursley,Lily Potter,Directed,1,7,Knows,[NULL]
26,5,James Potter,Petunia Dursley,Directed,1,7,Knows,[NULL]
26,25,James Potter,Lily Potter,Directed,1,7,Knows,[NULL]
6,1,Vernon Dursley,Harry Potter,Directed,1,7,Knows of,[NULL]
6,25,Vernon Dursley,Lily Potter,Directed,1,7,Knows,[NULL]
6,26,Vernon Dursley,James Potter,Directed,1,7,Knows,[NULL]
6,4,Vernon Dursley,Dudley Dursley,Directed,1,7,Knows,[NULL]
29,29,People in cloaks,People in cloaks,Directed,1,8,Exchange,[NULL]
6,4,Vernon Dursley,Dudley Dursley,Directed,1,8,Exchange,[NULL]
6,32,Vernon Dursley,man in emerald green cloak,Directed,1,8,Knows,[NULL]
29,32,People in cloaks,man in emerald green cloak,Directed,1,8,Knows,[NULL]
5,6,Petunia Dursley,Vernon Dursley,Directed,1,8,Exchange,[NULL]
4,6,Dudley Dursley,Vernon Dursley,Directed,1,8,Exchange,[NULL]
5,4,Petunia Dursley,Dudley Dursley,Directed,1,8,Exchange,[NULL]
4,5,Dudley Dursley,Petunia Dursley,Directed,1,8,Exchange,[NULL]
6,29,Vernon Dursley,People in cloaks,Directed,1,8,Knows,[NULL]
32,29,man in emerald green cloak,People in cloaks,Directed,1,8,Knows,[NULL]
19,6,Minerva McGonagall,Vernon Dursley,Directed,1,8,Knows,[NULL]
6,19,Vernon Dursley,Minerva McGonagall,Directed,1,8,Knows,[NULL]
6,5,Vernon Dursley,Petunia Dursley,Directed,1,8,Exchange,[NULL]
25,6,Lily Potter,Vernon Dursley,Directed,1,9,Knows,[NULL]
6,1,Vernon Dursley,Harry Potter,Directed,1,9,Knows of,[NULL]
76,6,Vernon Dursley's Secretary,Vernon Dursley,Directed,1,9,Exchange,[NULL]
25,5,Lily Potter,Petunia Dursley,Directed,1,9,Knows,[NULL]
6,33,Vernon Dursley,five different people,Directed,1,9,Exchange,[NULL]
5,6,Petunia Dursley,Vernon Dursley,Directed,1,9,Knows,[NULL]
5,25,Petunia Dursley,Lily Potter,Directed,1,9,Knows,[NULL]
6,26,Vernon Dursley,James Potter,Directed,1,9,Knows,[NULL]
6,76,Vernon Dursley,Vernon Dursley's Secretary,Directed,1,9,Exchange,[NULL]
29,29,People in cloaks,People in cloaks,Directed,1,9,Exchange,[NULL]
6,34,Vernon Dursley,Tiny old man,Directed,1,9,Exchange,[NULL]
34,6,Tiny old man,Vernon Dursley,Directed,1,9,Exchange,[NULL]
29,25,People in cloaks,Lily Potter,Directed,1,9,Knows of,[NULL]
6,25,Vernon Dursley,Lily Potter,Directed,1,9,Knows,[NULL]
26,6,James Potter,Vernon Dursley,Directed,1,9,Knows,[NULL]
29,26,People in cloaks,James Potter,Directed,1,9,Knows of,[NULL]
29,1,People in cloaks,Harry Potter,Directed,1,9,Knows of,[NULL]
6,29,Vernon Dursley,People in cloaks,Directed,1,9,Knows,[NULL]
35,36,Bird Watchers,Owls,Directed,1,9,Knows of,[NULL]
6,5,Vernon Dursley,Petunia Dursley,Directed,1,9,Knows,[NULL]
6,34,Vernon Dursley,Tiny old man,Directed,1,10,Exchange,[NULL]
38,37,Viewers,Jim McGuffin,Directed,1,10,Exchange,[NULL]
34,11,Tiny old man,Voldemort,Directed,1,10,Knows of,[NULL]
78,5,Mrs Next Door's Daughter,Petunia Dursley,Directed,1,10,Knows,[NULL]
78,77,Mrs Next Door's Daughter,Mrs Next Door,Directed,1,10,Knows,[NULL]
19,6,Minerva McGonagall,Vernon Dursley,Directed,1,10,Exchange,[NULL]
36,6,Owls,Vernon Dursley,Directed,1,10,Knows,[NULL]
6,11,Vernon Dursley,Voldemort,Directed,1,10,Knows of,[NULL]
77,5,Mrs Next Door,Petunia Dursley,Directed,1,10,Exchange,[NULL]
77,78,Mrs Next Door,Mrs Next Door's Daughter,Directed,1,10,Knows,[NULL]
6,79,Vernon Dursley,Ted (News Reader),Directed,1,10,Knows,[NULL]
6,5,Vernon Dursley,Petunia Dursley,Directed,1,10,Exchange,[NULL]
6,37,Vernon Dursley,Jim McGuffin,Directed,1,10,Knows,[NULL]
5,77,Petunia Dursley,Mrs Next Door,Directed,1,10,Exchange,[NULL]
77,6,Mrs Next Door,Vernon Dursley,Directed,1,10,Knows of,[NULL]
5,78,Petunia Dursley,Mrs Next Door's Daughter,Directed,1,10,Knows,[NULL]
6,19,Vernon Dursley,Minerva McGonagall,Directed,1,10,Exchange,[NULL]
35,36,Bird Watchers,Owls,Directed,1,10,Knows of,[NULL]
80,79,Bird Experts,Ted (News Reader),Directed,1,10,Exchange,[NULL]
80,36,Bird Experts,Owls,Directed,1,10,Knows,[NULL]
6,4,Vernon Dursley,Dudley Dursley,Directed,1,10,Knows,[NULL]
79,80,Ted (News Reader),Bird Experts,Directed,1,10,Exchange,[NULL]
4,5,Dudley Dursley,Petunia Dursley,Directed,1,10,Exchange,[NULL]
79,35,Ted (News Reader),Bird Watchers,Directed,1,10,Knows of,[NULL]
38,79,Viewers,Ted (News Reader),Directed,1,10,Exchange,[NULL]
79,37,Ted (News Reader),Jim McGuffin,Directed,1,10,Exchange,[NULL]
6,77,Vernon Dursley,Mrs Next Door,Directed,1,10,Knows of,[NULL]
37,79,Jim McGuffin,Ted (News Reader),Directed,1,10,Exchange,[NULL]
5,4,Petunia Dursley,Dudley Dursley,Directed,1,10,Exchange,[NULL]
37,38,Jim McGuffin,Viewers,Directed,1,10,Exchange,[NULL]
6,78,Vernon Dursley,Mrs Next Door's Daughter,Directed,1,10,Knows of,[NULL]
4,6,Dudley Dursley,Vernon Dursley,Directed,1,10,Knows,[NULL]
6,36,Vernon Dursley,Owls,Directed,1,10,Knows,[NULL]
34,6,Tiny old man,Vernon Dursley,Directed,1,10,Exchange,[NULL]
79,38,Ted (News Reader),Viewers,Directed,1,10,Exchange,[NULL]
5,6,Petunia Dursley,Vernon Dursley,Directed,1,10,Exchange,[NULL]
5,26,Petunia Dursley,James Potter,Directed,1,11,Knows,[NULL]
4,6,Dudley Dursley,Vernon Dursley,Directed,1,11,Knows,[NULL]
5,6,Petunia Dursley,Vernon Dursley,Directed,1,11,Exchange,[NULL]
4,5,Dudley Dursley,Petunia Dursley,Directed,1,11,Knows,[NULL]
5,25,Petunia Dursley,Lily Potter,Directed,1,11,Knows,[NULL]
25,6,Lily Potter,Vernon Dursley,Directed,1,11,Knows,[NULL]
