id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
1,"Knows","Harry Potter","Dudley Dursley","1","The Midnight Duel","107","107"
4,"Exchange","Vernon Dursley","Petunia Dursley","1","The Boy Who Lived","8","8"
5,"Exchange","Petunia Dursley","Dudley Dursley","1","The Boy Who Lived","7","8"
6,"Exchange","Vernon Dursley","Dudley Dursley","1","The Boy Who Lived","8","8"
7,"Knows","Petunia Dursley","Lily Potter","1","The Boy Who Lived","7","7"
8,"Knows","Lily Potter","James Potter","1","The Boy Who Lived","7","7"
9,"Knows","Harry Potter","Lily Potter","1","The Boy Who Lived","7","7"
10,"Knows","Harry Potter","James Potter","1","The Boy Who Lived","7","7"
11,"Knows","Petunia Dursley","Neighbours (of the Dursleys)","1","The Boy Who Lived","7","7"
12,"Knows","Harry Potter","Voldemort","1","Through the Trapdoor","191","191"
13,"Knows","Vernon Dursley","Minerva McGonagall","1","The Boy Who Lived","8","8"
14,"Knows","Harry Potter","Fluffy","1","Through the Trapdoor","191","194"
15,"Knows","Vernon Dursley","People in cloaks","0","The Boy Who Lived","8","9"
16,"Exchange","People in cloaks","People in cloaks","1","The Boy Who Lived","8","9"
17,"Knows","Harry Potter","Professor Flitwick","1","Through the Trapdoor","191","191"
18,"Knows","Vernon Dursley","man in emerald green cloak","0","The Boy Who Lived","8","8"
19,"Knows","Harry Potter","Minerva McGonagall","1","Through the Trapdoor","191","191"
20,"Exchange","Vernon Dursley","five different people","0","The Boy Who Lived","9","9"
21,"Knows","Harry Potter","Neville Longbottom","1","Through the Trapdoor","191","192"
22,"Knows","Harry Potter","Hermione Granger","1","Through the Trapdoor","191","191"
23,"Knows","Harry Potter","Ronald Weasley","1","Through the Trapdoor","191","191"
24,"Knows","Hermione Granger","Ronald Weasley","1","Through the Trapdoor","191","191"
25,"Knows of","People in cloaks","Lily Potter","0","The Boy Who Lived","9","9"
26,"Knows of","People in cloaks","James Potter","0","The Boy Who Lived","9","9"
27,"Knows of","People in cloaks","Harry Potter","0","The Boy Who Lived","9","9"
28,"Knows of","Hermione Granger","Voldemort","1","Through the Trapdoor","191","191"
29,"Knows of","Ronald Weasley","Voldemort","1","Through the Trapdoor","191","191"
30,"Exchange","Vernon Dursley","Tiny old man","1","The Boy Who Lived","9","10"
31,"Knows","Harry Potter","Severus Snape","1","Through the Trapdoor","191","191"
32,"Knows","Hermione Granger","Severus Snape","1","Through the Trapdoor","191","192"
33,"Knows of","Tiny old man","Voldemort","0","The Boy Who Lived","10","10"
35,"Exchange","Vernon Dursley","Minerva McGonagall","1","The Boy Who Lived","10","10"
36,"Knows of","Bird Watchers","Owls","0","The Boy Who Lived","9","11"
37,"Exchange","Jim McGuffin","Viewers","1","The Boy Who Lived","10","11"
38,"Exchange","Albus Dumbledore","Minerva McGonagall","1","The Boy Who Lived","12","17"
39,"Exchange","Hermione Granger","Harry Potter","1","Through the Trapdoor","192","208"
40,"Knows","Harry Potter","Lee Jordan","1","Through the Trapdoor","192","192"
41,"Knows","Harry Potter","Fred Weasley","1","Through the Trapdoor","192","192"
42,"Exchange","Professor Binns","Hogwarts Students","1","Through the Trapdoor","192","192"
43,"Exchange","Ronald Weasley","Harry Potter","1","Through the Trapdoor","192","205"
44,"Knows","Ronald Weasley","Severus Snape","1","Through the Trapdoor","191","192"
46,"Knows","Severus Snape","Fluffy","1","Through the Trapdoor","192","192"
48,"Knows","Ronald Weasley","Rubeus Hagrid","1","Through the Trapdoor","192","192"
49,"Knows","Harry Potter","Rubeus Hagrid","1","Through the Trapdoor","192","192"
50,"Knows","Rubeus Hagrid","Albus Dumbledore","1","Through the Trapdoor","192","192"
51,"Knows","Harry Potter","Albus Dumbledore","1","Through the Trapdoor","192","192"
55,"Exchange","Ronald Weasley","Rubeus Hagrid","1","Through the Trapdoor","193","194"
56,"Exchange","Hermione Granger","Rubeus Hagrid","1","Through the Trapdoor","193","194"
61,"Knows","Harry Potter","Albus Dumbledore","1","Through the Trapdoor","194","195"
62,"Knows","Harry Potter","Voldemort","1","Through the Trapdoor","194","194"
63,"Knows","Rubeus Hagrid","Fluffy","1","Through the Trapdoor","192","194"
64,"Knows","Harry Potter","Severus Snape","1","Through the Trapdoor","194","194"
