source,target,type,weight,startPage,category
1,4,Directed,1,107,Knows
1,25,Directed,1,7,Knows
1,26,Directed,1,7,Knows
1,11,Directed,1,191,Knows of
1,30,Directed,1,191,Knows
1,31,Directed,1,191,Knows
1,19,Directed,1,191,Knows
1,20,Directed,1,191,Knows
1,9,Directed,1,191,Knows
1,15,Directed,1,191,Knows
1,8,Directed,1,191,Knows
1,42,Directed,1,192,Knows
1,41,Directed,1,192,Knows
1,12,Directed,1,192,Knows
1,16,Directed,1,192,Knows
1,10,Directed,1,192,Knows
1,9,Directed,1,193,Exchange
1,16,Directed,1,193,Exchange
1,16,Directed,1,194,Exchange
1,10,Directed,1,194,Knows
1,11,Directed,1,194,Knows of
1,30,Directed,1,194,Knows
1,8,Directed,1,194,Knows
1,44,Directed,1,194,Knows
1,45,Directed,1,194,Knows
1,19,Directed,1,195,Exchange
1,10,Directed,1,195,Knows
1,9,Directed,1,195,Exchange
1,9,Directed,1,196,Exchange
1,19,Directed,1,196,Knows
1,15,Directed,1,196,Exchange
1,9,Directed,1,196,Exchange
1,11,Directed,1,196,Knows of
1,11,Directed,1,197,Knows of
1,47,Directed,1,197,Knows
1,48,Directed,1,197,Knows
1,42,Directed,1,197,Knows
1,16,Directed,1,197,Knows
1,30,Directed,1,197,Knows
1,49,Directed,1,197,Knows
1,20,Directed,1,198,Exchange
1,8,Directed,1,198,Knows
1,30,Directed,1,198,Knows
1,9,Directed,1,199,Exchange
1,20,Directed,1,199,Exchange
1,51,Directed,1,199,Knows
1,49,Directed,1,199,Knows
1,52,Directed,1,199,Knows
1,53,Directed,1,199,Knows
1,8,Directed,1,200,Knows
1,30,Directed,1,200,Knows
1,16,Directed,1,200,Knows
1,30,Directed,1,200,Knows
1,9,Directed,1,201,Knows
1,15,Directed,1,201,Exchange
1,54,Directed,1,201,Knows
1,9,Directed,1,201,Exchange
1,10,Directed,1,201,Knows
1,9,Directed,1,202,Exchange
1,55,Directed,1,202,Knows
1,9,Directed,1,203,Exchange
1,15,Directed,1,204,Exchange
1,9,Directed,1,204,Exchange
1,15,Directed,1,205,Exchange
1,15,Directed,1,206,Knows
1,8,Directed,1,206,Knows
1,15,Directed,1,207,Knows
1,30,Directed,1,208,Knows
1,54,Directed,1,208,Knows
1,10,Directed,1,208,Knows
1,8,Directed,1,208,Knows
1,11,Directed,1,208,Knows
1,11,Directed,1,15,Exchange
1,5,Directed,1,20,Exchange
1,7,Directed,1,209,Exchange
1,8,Directed,1,209,Knows
1,7,Directed,1,211,Exchange
1,10,Directed,1,212,Knows
1,7,Directed,1,214,Knows
1,11,Directed,1,214,Knows
1,13,Directed,1,215,Knows of
1,14,Directed,1,215,Knows of
1,10,Directed,1,216,Exchange
1,11,Directed,1,216,Knows
1,10,Directed,1,217,Exchange
1,7,Directed,1,217,Knows
1,8,Directed,1,217,Knows
1,59,Directed,1,218,Exchange
1,10,Directed,1,218,Knows
1,7,Directed,1,218,Knows
1,10,Directed,1,219,Knows
1,11,Directed,1,219,Knows
1,59,Directed,1,219,Knows
1,59,Directed,1,219,Exchange
1,11,Directed,1,219,Knows
1,16,Directed,1,220,Exchange
1,26,Directed,1,220,Knows
1,25,Directed,1,220,Knows
1,59,Directed,1,220,Knows
1,10,Directed,1,220,Knows
1,17,Directed,1,221,Knows
1,9,Directed,1,221,Knows
1,20,Directed,1,221,Knows
1,15,Directed,1,222,Knows
1,17,Directed,1,222,Knows
1,8,Directed,1,222,Knows
1,19,Directed,1,222,Exchange
1,9,Directed,1,222,Knows
1,20,Directed,1,222,Knows
1,21,Directed,1,222,Knows
1,15,Directed,1,222,Knows
1,16,Directed,1,222,Knows
1,9,Directed,1,223,Knows
1,5,Directed,1,223,Knows
4,66,Directed,1,23,Exchange
4,1,Directed,1,24,Exchange
4,65,Directed,1,28,Exchange
4,1,Directed,1,223,Knows
5,4,Directed,1,7,Exchange
5,27,Directed,1,7,Knows
5,1,Directed,1,18,Exchange
5,4,Directed,1,21,Knows
5,65,Directed,1,22,Exchange
6,5,Directed,1,7,Exchange
6,4,Directed,1,7,Exchange
6,19,Directed,1,7,Knows
6,29,Directed,1,7,Knows
6,32,Directed,1,8,Knows
6,33,Directed,1,9,Exchange
6,34,Directed,1,9,Exchange
6,34,Directed,1,10,Exchange
6,19,Directed,1,10,Exchange
6,10,Directed,1,12,Knows
6,1,Directed,1,21,Exchange
6,4,Directed,1,21,Exchange
6,16,Directed,1,40,Exchange
6,1,Directed,1,223,Exchange
7,8,Directed,1,209,Knows
7,9,Directed,1,209,Knows
7,10,Directed,1,209,Knows
7,1,Directed,1,210,Exchange
7,8,Directed,1,210,Knows
7,10,Directed,1,210,Knows
7,11,Directed,1,210,Knows
7,26,Directed,1,210,Knows of
7,11,Directed,1,211,Knows
7,11,Directed,1,211,Exchange
7,1,Directed,1,212,Exchange
8,30,Directed,1,192,Knows
8,30,Directed,1,192,Knows
8,43,Directed,1,195,Exchange
8,1,Directed,1,195,Exchange
8,26,Directed,1,210,Knows
9,15,Directed,1,191,Knows
9,11,Directed,1,191,Knows of
9,8,Directed,1,191,Knows
9,1,Directed,1,192,Exchange
9,1,Directed,1,193,Exchange
9,12,Directed,1,192,Knows
9,8,Directed,1,196,Knows
9,1,Directed,1,197,Exchange
9,31,Directed,1,197,Knows
9,20,Directed,1,198,Exchange
9,1,Directed,1,200,Exchange
9,8,Directed,1,202,Knows
9,15,Directed,1,206,Knows
9,1,Directed,1,206,Exchange
9,56,Directed,1,206,Knows
9,31,Directed,1,206,Knows
9,19,Directed,1,206,Knows
9,7,Directed,1,206,Knows
9,8,Directed,1,206,Knows
9,1,Directed,1,207,Knows
9,1,Directed,1,207,Exchange
9,1,Directed,1,208,Exchange
9,11,Directed,1,208,Knows of
9,42,Directed,1,197,Knows
9,20,Directed,1,199,Exchange
9,52,Directed,1,199,Knows
9,30,Directed,1,200,Knows
9,1,Directed,1,218,Exchange
9,10,Directed,1,218,Knows
9,1,Directed,1,219,Exchange
9,10,Directed,1,219,Knows
9,20,Directed,1,221,Knows
9,1,Directed,1,223,Exchange
10,19,Directed,1,13,Exchange
10,58,Directed,1,13,Knows of
10,12,Directed,1,14,Exchange
10,1,Directed,1,16,Knows
10,16,Directed,1,17,Exchange
10,1,Directed,1,18,Exchange
10,1,Directed,1,214,Exchange
10,7,Directed,1,214,Knows
10,59,Directed,1,214,Knows
10,22,Directed,1,214,Knows
10,74,Directed,1,214,Knows
10,9,Directed,1,215,Knows
10,15,Directed,1,215,Knows
10,1,Directed,1,215,Exchange
10,7,Directed,1,215,Knows
10,13,Directed,1,215,Knows
10,14,Directed,1,215,Knows
10,11,Directed,1,216,Knows
10,7,Directed,1,216,Knows
10,26,Directed,1,217,Knows
10,17,Directed,1,217,Knows
10,75,Directed,1,221,Exchange
10,15,Directed,1,221,Exchange
10,9,Directed,1,221,Exchange
10,1,Directed,1,221,Exchange
10,20,Directed,1,221,Exchange
10,75,Directed,1,222,Exchange
11,62,Directed,1,15,Exchange
11,1,Directed,1,211,Knows
11,7,Directed,1,212,Exchange
11,1,Directed,1,212,Exchange
11,1,Directed,1,213,Exchange
11,7,Directed,1,213,Knows
11,26,Directed,1,213,Knows
11,25,Directed,1,213,Knows
11,7,Directed,1,213,Exchange
11,1,Directed,1,214,Exchange
15,11,Directed,1,191,Knows of
15,11,Directed,1,191,Knows of
15,1,Directed,1,192,Exchange
15,16,Directed,1,192,Knows
15,1,Directed,1,193,Exchange
15,16,Directed,1,193,Exchange
15,9,Directed,1,196,Exchange
15,31,Directed,1,196,Knows
15,1,Directed,1,197,Exchange
15,1,Directed,1,197,Exchange
15,1,Directed,1,200,Exchange
15,8,Directed,1,200,Knows
15,9,Directed,1,200,Exchange
15,1,Directed,1,200,Exchange
15,54,Directed,1,201,Knows
15,9,Directed,1,201,Exchange
15,54,Directed,1,201,Knows
15,9,Directed,1,202,Exchange
15,1,Directed,1,202,Exchange
15,1,Directed,1,203,Exchange
15,9,Directed,1,203,Exchange
15,9,Directed,1,204,Exchange
15,9,Directed,1,205,Exchange
15,8,Directed,1,205,Knows
15,42,Directed,1,197,Knows
15,20,Directed,1,199,Exchange
15,52,Directed,1,199,Knows
15,30,Directed,1,200,Knows
15,1,Directed,1,218,Exchange
15,13,Directed,1,218,Knows
15,1,Directed,1,219,Exchange
15,10,Directed,1,219,Knows
15,59,Directed,1,219,Knows
15,20,Directed,1,221,Knows
15,17,Directed,1,222,Knows
15,1,Directed,1,223,Exchange
16,10,Directed,1,192,Knows
16,43,Directed,1,193,Exchange
16,30,Directed,1,193,Knows
16,15,Directed,1,194,Exchange
16,9,Directed,1,194,Exchange
16,4,Directed,1,39,Exchange
16,5,Directed,1,47,Exchange
16,30,Directed,1,219,Knows
16,1,Directed,1,220,Knows
18,75,Directed,1,221,Exchange
18,19,Directed,1,221,Knows
