source,target,Char 1 Name,Char 2 Name,startPage,type,weight
903,904,Elizabeth Bennet,Jane Bennet,131,Undirected,1
896,1713,Mr. Bennet,Miss Bingley,131,Undirected,1
907,1713,Kitty Bennet,Miss Bingley,131,Undirected,1
899,906,Mr. Bingley,Mary Bennet,131,Undirected,1
903,906,Elizabeth Bennet,Mary Bennet,131,Undirected,1
904,905,Jane Bennet,Lydia Bennet,131,Undirected,1
899,1711,Mr. Bingley,Mrs. Hurst,131,Undirected,1
905,906,Lydia Bennet,Mary Bennet,131,Undirected,1
906,1710,Mary Bennet,Mr. Hurst,131,Undirected,1
899,1747,Mr. Bingley,Miss Darcy,131,Undirected,1
1711,1747,Mrs. Hurst,Miss Darcy,131,Undirected,1
903,1747,Elizabeth Bennet,Miss Darcy,131,Undirected,1
904,907,Jane Bennet,Kitty Bennet,131,Undirected,1
905,1711,Lydia Bennet,Mrs. Hurst,131,Undirected,1
899,1713,Mr. Bingley,Miss Bingley,131,Undirected,1
1711,1713,Mrs. Hurst,Miss Bingley,131,Undirected,1
903,1713,Elizabeth Bennet,Miss Bingley,131,Undirected,1
906,1712,Mary Bennet,Mr. Darcy,131,Undirected,1
905,1747,Lydia Bennet,Miss Darcy,131,Undirected,1
897,904,Mrs. Bennet,Jane Bennet,131,Undirected,1
905,1713,Lydia Bennet,Miss Bingley,131,Undirected,1
896,1710,Mr. Bennet,Mr. Hurst,131,Undirected,1
907,1710,Kitty Bennet,Mr. Hurst,131,Undirected,1
896,1712,Mr. Bennet,Mr. Darcy,131,Undirected,1
907,1712,Kitty Bennet,Mr. Darcy,131,Undirected,1
897,1711,Mrs. Bennet,Mrs. Hurst,131,Undirected,1
897,1747,Mrs. Bennet,Miss Darcy,131,Undirected,1
896,903,Mr. Bennet,Elizabeth Bennet,131,Undirected,1
897,1713,Mrs. Bennet,Miss Bingley,131,Undirected,1
899,1710,Mr. Bingley,Mr. Hurst,131,Undirected,1
906,907,Mary Bennet,Kitty Bennet,131,Undirected,1
896,1747,Mr. Bennet,Miss Darcy,131,Undirected,1
903,1710,Elizabeth Bennet,Mr. Hurst,131,Undirected,1
896,905,Mr. Bennet,Lydia Bennet,131,Undirected,1
1710,1711,Mr. Hurst,Mrs. Hurst,131,Undirected,1
904,906,Jane Bennet,Mary Bennet,131,Undirected,1
905,1710,Lydia Bennet,Mr. Hurst,131,Undirected,1
899,1712,Mr. Bingley,Mr. Darcy,131,Undirected,1
1710,1747,Mr. Hurst,Miss Darcy,131,Undirected,1
1711,1712,Mrs. Hurst,Mr. Darcy,131,Undirected,1
903,1712,Elizabeth Bennet,Mr. Darcy,131,Undirected,1
906,1711,Mary Bennet,Mrs. Hurst,131,Undirected,1
904,1711,Jane Bennet,Mrs. Hurst,131,Undirected,1
896,907,Mr. Bennet,Kitty Bennet,131,Undirected,1
1710,1713,Mr. Hurst,Miss Bingley,131,Undirected,1
897,906,Mrs. Bennet,Mary Bennet,131,Undirected,1
899,903,Mr. Bingley,Elizabeth Bennet,131,Undirected,1
904,1747,Jane Bennet,Miss Darcy,131,Undirected,1
905,1712,Lydia Bennet,Mr. Darcy,131,Undirected,1
1712,1713,Mr. Darcy,Miss Bingley,131,Undirected,1
904,1713,Jane Bennet,Miss Bingley,131,Undirected,1
897,899,Mrs. Bennet,Mr. Bingley,131,Undirected,1
899,905,Mr. Bingley,Lydia Bennet,131,Undirected,1
896,1711,Mr. Bennet,Mrs. Hurst,131,Undirected,1
