id,Label,Novel <br />(choose)
2552,"""an officer in Meryton""",Pride and Prejudice
2540,"""incumbent of the living""",Pride and Prejudice
2564,"""Lambton friends""",Pride and Prejudice
2538,"""other young women in the country""",Pride and Prejudice
2555,"""the poor""",Pride and Prejudice
2550,"""two men servants""",Pride and Prejudice
2546,Archbishop (PP),Pride and Prejudice
1772,Butler (at Longbourn),Pride and Prejudice
1719,Captain Carter,Pride and Prejudice
2554,Chambermaid,Pride and Prejudice
1715,Charlotte Lucas,Pride and Prejudice
1767,Colonel Fitzwilliam,Pride and Prejudice
1748,Colonel Forster,Pride and Prejudice
2548,Dawson (Lady Catherine's servant),Pride and Prejudice
2561,Denny,Pride and Prejudice
903,Elizabeth Bennet,Pride and Prejudice
2510,Elizabeth's friends,Pride and Prejudice
2563,Elizabeth's maid,Pride and Prejudice
2527,Families (that Mrs. Bennet claims to dine with),Pride and Prejudice
2528,Gentleman (who wrote poetry about Jane),Pride and Prejudice
2509,Gentlemen (at the ball),Pride and Prejudice
2532,Hill,Pride and Prejudice
904,Jane Bennet,Pride and Prejudice
2562,John (servant to the Gardiners),Pride and Prejudice
2549,John (The Collins's servant),Pride and Prejudice
907,Kitty Bennet,Pride and Prejudice
2508,Ladies (at the ball),Pride and Prejudice
2544,Lady (who superintends Miss Darcy's education),Pride and Prejudice
2535,Lady (who superintends Miss De Bourgh's education),Pride and Prejudice
2545,Lady Anne Darcy,Pride and Prejudice
1752,Lady Catherine de Bourgh,Pride and Prejudice
902,Lady Lucas,Pride and Prejudice
2515,Lucas brothers,Pride and Prejudice
905,Lydia Bennet,Pride and Prejudice
2565,Lydia's friends,Pride and Prejudice
2543,"Man (who was given ""Mr. Wickham's inheritance"")",Pride and Prejudice
1759,Maria Lucas,Pride and Prejudice
906,Mary Bennet,Pride and Prejudice
1713,Miss Bingley,Pride and Prejudice
1747,Miss Darcy,Pride and Prejudice
1753,Miss De Bourgh,Pride and Prejudice
2529,Miss Grantley,Pride and Prejudice
1758,Miss King,Pride and Prejudice
2520,Miss Watson,Pride and Prejudice
896,Mr. Bennet,Pride and Prejudice
899,Mr. Bingley,Pride and Prejudice
2506,Mr. Bingley's cousin,Pride and Prejudice
1714,Mr. Bingley's Father,Pride and Prejudice
2507,Mr. Bingley's guests (for the ball),Pride and Prejudice
2524,Mr. Bingley's Housekeeper,Pride and Prejudice
2505,Mr. Bingley's other sisters,Pride and Prejudice
1751,Mr. Collins,Pride and Prejudice
2533,Mr. Collins' Father,Pride and Prejudice
1712,Mr. Darcy,Pride and Prejudice
1755,Mr. Darcy's Father,Pride and Prejudice
2558,Mr. Darcy's Gardener,Pride and Prejudice
2530,Mr. Darcy's Great Uncle,Pride and Prejudice
2557,Mr. Darcy's servants,Pride and Prejudice
2559,Mr. Darcy's Steward,Pride and Prejudice
2556,Mr. Darcy's tenants,Pride and Prejudice
1754,Mr. Denny,Pride and Prejudice
1756,Mr. Gardiner,Pride and Prejudice
2551,Mr. Gardiner's servant,Pride and Prejudice
1710,Mr. Hurst,Pride and Prejudice
1745,Mr. Jones,Pride and Prejudice
2537,Mr. Jones' shop boy,Pride and Prejudice
900,Mr. Morris,Pride and Prejudice
1718,Mr. Philips,Pride and Prejudice
2512,Mr. Robinson,Pride and Prejudice
1750,Mr. Wickham,Pride and Prejudice
2539,Mr. Wickham's Father,Pride and Prejudice
1770,Mrs. Annesley,Pride and Prejudice
897,Mrs. Bennet,Pride and Prejudice
2516,Mrs. Bennet's Father,Pride and Prejudice
1749,Mrs. Forster,Pride and Prejudice
1757,Mrs. Gardiner,Pride and Prejudice
2560,"Mrs. Gardiner's ""former acuaintance""",Pride and Prejudice
1771,Mrs. Hill,Pride and Prejudice
1711,Mrs. Hurst,Pride and Prejudice
1765,Mrs. Jenkinson,Pride and Prejudice
898,Mrs. Long,Pride and Prejudice
2504,Mrs. Long's nieces,Pride and Prejudice
1717,Mrs. Philips,Pride and Prejudice
2542,Mrs. Philips' neighbours,Pride and Prejudice
1769,Mrs. Reynolds,Pride and Prejudice
1768,Mrs. Younge,Pride and Prejudice
2531,Nicholls,Pride and Prejudice
2547,Officer (who dances with Elizabeth),Pride and Prejudice
2553,Officer (who walks the Bennets back to Longbourn),Pride and Prejudice
2523,Officer's wife (whose house Kitty and Lydia go to),Pride and Prejudice
2518,Officers (living in Meryton),Pride and Prejudice
2514,Officers (who dance with Kitty and Lydia),Pride and Prejudice
2513,Other characters,Pride and Prejudice
2525,Physician (from town),Pride and Prejudice
2511,Previous Owner of  the Netherfield Property,Pride and Prejudice
2519,Red-coat Officer (that Mrs. Bennet liked),Pride and Prejudice
2536,Richard,Pride and Prejudice
2522,Servant (from Netherfield),Pride and Prejudice
2521,Servant (to the Bennets),Pride and Prejudice
2534,Sir Lewis de Bourgh,Pride and Prejudice
901,Sir William,Pride and Prejudice
2526,Two Elegant Ladies (who wait on Miss Bingley),Pride and Prejudice
1716,Young Lucas,Pride and Prejudice
