source,target,type,weight,startPage,category
897,896,directed,1,5,Exchange
896,897,directed,1,5,Exchange
898,897,directed,1,5,Exchange
897,898,directed,1,5,Exchange
900,899,directed,1,5,Exchange
899,900,directed,1,5,Exchange
897,896,directed,1,6,Exchange
896,897,directed,1,6,Exchange
897,896,directed,1,7,Exchange
896,897,directed,1,7,Exchange
899,896,directed,1,8,Exchange
903,896,directed,1,8,Exchange
897,896,directed,1,8,Exchange
907,896,directed,1,8,Exchange
896,897,directed,1,8,Exchange
903,897,directed,1,8,Exchange
907,897,directed,1,8,Exchange
896,899,directed,1,8,Exchange
896,903,directed,1,8,Exchange
897,903,directed,1,8,Exchange
897,907,directed,1,8,Exchange
896,907,directed,1,8,Exchange
897,896,directed,1,9,Exchange
903,897,directed,1,9,Exchange
896,897,directed,1,9,Exchange
897,903,directed,1,9,Exchange
896,906,directed,1,9,Exchange
905,897,directed,1,10,Exchange
897,903,directed,1,10,Exchange
897,904,directed,1,10,Exchange
897,905,directed,1,10,Exchange
897,906,directed,1,10,Exchange
896,907,directed,1,10,Exchange
897,907,directed,1,10,Exchange
903,896,directed,1,11,Exchange
904,896,directed,1,11,Exchange
905,896,directed,1,11,Exchange
906,896,directed,1,11,Exchange
907,896,directed,1,11,Exchange
897,896,directed,1,11,Exchange
899,896,directed,1,11,Exchange
902,897,directed,1,11,Exchange
896,897,directed,1,11,Exchange
901,899,directed,1,11,Exchange
896,899,directed,1,11,Exchange
899,901,directed,1,11,Exchange
897,902,directed,1,11,Exchange
902,897,directed,1,12,Exchange
897,902,directed,1,12,Exchange
1712,899,directed,1,13,Exchange
1712,903,directed,1,13,Exchange
1712,1711,directed,1,13,Exchange
1711,1712,directed,1,13,Exchange
1713,1712,directed,1,13,Exchange
899,1712,directed,1,13,Exchange
903,1712,directed,1,13,Exchange
1712,1713,directed,1,13,Exchange
897,896,directed,1,14,Exchange
896,897,directed,1,14,Exchange
904,899,directed,1,14,Exchange
1712,899,directed,1,14,Exchange
1715,899,directed,1,14,Exchange
1758,899,directed,1,14,Exchange
899,904,directed,1,14,Exchange
899,1712,directed,1,14,Exchange
899,1715,directed,1,14,Exchange
899,1758,directed,1,14,Exchange
903,2510,directed,1,14,Exchange
897,896,directed,1,15,Exchange
896,897,directed,1,15,Exchange
1759,899,directed,1,15,Exchange
904,899,directed,1,15,Exchange
903,899,directed,1,15,Exchange
899,903,directed,1,15,Exchange
899,904,directed,1,15,Exchange
899,1759,directed,1,15,Exchange
