id,Title,Level,Start Page,End Page,Narrator,Protagonist,Embed. Type
4,"Volume Two","level 1 (section)","129","232","[NULL]","[NULL]","[NULL]"
5,"Chapter I (V2)","level 2 (sub-section)","131","136","[NULL]","[NULL]","[NULL]"
6,"Chapter II (V2)","level 2 (sub-section)","137","141","[NULL]","[NULL]","[NULL]"
7,"Chapter III (V2)","level 2 (sub-section)","142","148","[NULL]","[NULL]","[NULL]"
8,"Chapter IV (V2)","level 2 (sub-section)","149","152","[NULL]","[NULL]","[NULL]"
9,"Chapter V (V2)","level 2 (sub-section)","153","156","[NULL]","[NULL]","[NULL]"
10,"Chapter VI (V2)","level 2 (sub-section)","157","163","[NULL]","[NULL]","[NULL]"
11,"Chapter IX (V2)","level 2 (sub-section)","173","173","[NULL]","[NULL]","[NULL]"
12,"Chapter X (V2)","level 2 (sub-section)","178","183","[NULL]","[NULL]","[NULL]"
13,"Chapter XII (V2)","level 2 (sub-section)","190","197","[NULL]","[NULL]","[NULL]"
14,"""Be not alarmed, Madam, on receiving this letter...""","level 3 (sub-sub-section)","191","197","Mr. Darcy","[NULL]","Letter"
15,"Chapter XIII (V2)","level 2 (sub-section)","198","203","[NULL]","[NULL]","[NULL]"
16,"Chapter XV (V2)","level 2 (sub-section)","208","210","[NULL]","[NULL]","[NULL]"
17,"Chapter XVI (V2)","level 2 (sub-section)","211","211","[NULL]","[NULL]","[NULL]"
18,"Chapter XVII (V2)","level 2 (sub-section)","216","220","[NULL]","[NULL]","[NULL]"
19,"Chapter XVIII (V2)","level 2 (sub-section)","221","227","[NULL]","[NULL]","[NULL]"
20,"Chapter XIX (V2)","level 2 (sub-section)","228","232","[NULL]","[NULL]","[NULL]"
21,"Volume Three","level 1 (section)","233","367","[NULL]","[NULL]","[NULL]"
22,"Chapter II (V3)","level 2 (sub-section)","248","254","[NULL]","[NULL]","[NULL]"
23,"Chapter III (V3)","level 2 (sub-section)","255","259","[NULL]","[NULL]","[NULL]"
24,"Chapter IV (V3)","level 2 (sub-section)","260","267","[NULL]","[NULL]","[NULL]"
25,"Chapter V (V3)","level 2 (sub-section)","268","278","[NULL]","[NULL]","[NULL]"
26,"Chapter VI (V3)","level 2 (sub-section)","279","284","[NULL]","[NULL]","[NULL]"
27,"Chapter VII (V3)","level 2 (sub-section)","285","291","[NULL]","[NULL]","[NULL]"
28,"Chapter VIII (V3)","level 2 (sub-section)","291","297","[NULL]","[NULL]","[NULL]"
29,"Chapter IX (V3)","level 2 (sub-section)","298","303","[NULL]","[NULL]","[NULL]"
30,"Chapter X (V3)","level 2 (sub-section)","304","311","[NULL]","[NULL]","[NULL]"
31,"Chapter XI (V3)","level 2 (sub-section)","312","319","[NULL]","[NULL]","[NULL]"
32,"Chapter XII (V3)","level 2 (sub-section)","320","324","[NULL]","[NULL]","[NULL]"
33,"Chapter XIII (V3)","level 2 (sub-section)","325","331","[NULL]","[NULL]","[NULL]"
34,"Chapter XIV (V3)","level 2 (sub-section)","332","339","[NULL]","[NULL]","[NULL]"
35,"Chapter XV (V3)","level 2 (sub-section)","340","344","[NULL]","[NULL]","[NULL]"
36,"Chapter XVI (V3)","level 2 (sub-section)","345","351","[NULL]","[NULL]","[NULL]"
37,"Chapter XVII (V3)","level 2 (sub-section)","352","358","[NULL]","[NULL]","[NULL]"
38,"Chapter XVIII (V3)","level 2 (sub-section)","359","363","[NULL]","[NULL]","[NULL]"
39,"Chapter XIX (V3)","level 2 (sub-section)","364","367","[NULL]","[NULL]","[NULL]"
40,"""MY DEAR HARRIET""","level 3 (sub-sub-section)","276","277","Lydia Bennet","[NULL]","Letter"
41,"""MY DEAR SIR""","level 3 (sub-sub-section)","281","282","Mr. Collins","[NULL]","Letter"
42,"""Gracechurch-street, Monday, August 2.""","level 3 (sub-sub-section)","286","287","Mr. Gardiner","[NULL]","Letter"
43,"""It was greatly my wish that he should do so...""","level 3 (sub-sub-section)","296","297","Mr. Gardiner","[NULL]","Letter"
44,"""Gracechurch-street, Sept 6.""","level 3 (sub-sub-section)","304","308","Mrs. Gardiner","[NULL]","Letter"
45,"""I would have thanked you before...""","level 3 (sub-sub-section)","361","362","Elizabeth Bennet","[NULL]","Letter"
46,"""DEAR SIR""","level 3 (sub-sub-section)","362","362","Mr. Bennet","[NULL]","Letter"
47,"""MY DEAR LIZZY""","level 3 (sub-sub-section)","365","365","Lydia Bennet","[NULL]","Letter"
48,"""Since writing the above, dearest Lizzy...""","level 3 (sub-sub-section)","260","261","Jane Bennet","[NULL]","Letter"
49,"""By this time, dearest sister...""","level 3 (sub-sub-section)","260","261","Jane Bennet","[NULL]","Letter"
50,"""I have written to Colonel Forster...""","level 3 (sub-sub-section)","280","280","Mr. Gardiner","[NULL]","Letter"
51,"""Having thus offered...""","level 3 (sub-sub-section)","342","344","Mr. Collins","[NULL]","Letter"
