id,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page,End Page
4,"Knows","Miss Bingley","Mr. Bingley","1","Chapter I (V2)","131","132"
5,"Exchange","Miss Bingley","Jane Bennet","0","Chapter I (V2)","131","131"
6,"Knows","Mr. Bingley","Mr. Bennet","1","Chapter I (V2)","131","131"
7,"Knows","Mr. Bingley","Mrs. Bennet","1","Chapter I (V2)","131","131"
8,"Knows","Mr. Bingley","Jane Bennet","1","Chapter I (V2)","131","135"
9,"Knows","Mr. Bingley","Elizabeth Bennet","1","Chapter I (V2)","131","135"
10,"Knows","Mr. Bingley","Mary Bennet","1","Chapter I (V2)","131","131"
11,"Knows","Mr. Bingley","Lydia Bennet","1","Chapter I (V2)","131","131"
12,"Knows","Mr. Bingley","Kitty Bennet","1","Chapter I (V2)","131","131"
13,"Knows","Miss Bingley","Miss Darcy","1","Chapter I (V2)","131","131"
14,"Knows","Jane Bennet","Miss Darcy","0","Chapter I (V2)","131","131"
15,"Knows","Mr. Bingley","Mr. Darcy","1","Chapter I (V2)","131","132"
16,"Knows","Miss Bingley","Mr. Darcy","1","Chapter I (V2)","131","131"
17,"Knows","Jane Bennet","Mr. Darcy","1","Chapter I (V2)","131","131"
18,"Exchange","Jane Bennet","Elizabeth Bennet","1","Chapter I (V2)","131","135"
19,"Knows","Elizabeth Bennet","Miss Bingley","1","Chapter I (V2)","131","131"
20,"Knows","Elizabeth Bennet","Mr. Bingley","1","Chapter I (V2)","131","132"
21,"Knows","Miss Bingley","Mrs. Hurst","1","Chapter I (V2)","131","131"
22,"Knows","Miss Bingley","Mr. Hurst","1","Chapter I (V2)","131","131"
23,"Knows","Elizabeth Bennet","Mrs. Hurst","1","Chapter I (V2)","131","131"
24,"Knows","Elizabeth Bennet","Mr. Hurst","1","Chapter I (V2)","131","131"
25,"Knows","Elizabeth Bennet","Mr. Darcy","1","Chapter I (V2)","131","131"
26,"Knows","Elizabeth Bennet","Miss Darcy","0","Chapter I (V2)","131","131"
27,"Knows","Mr. Bingley","Mrs. Hurst","1","Chapter I (V2)","131","132"
28,"Knows","Mr. Bingley","Mr. Hurst","1","Chapter I (V2)","131","132"
29,"Knows","Mrs. Bennet","Jane Bennet","1","Chapter I (V2)","132","132"
30,"Knows","Mrs. Bennet","Elizabeth Bennet","1","Chapter I (V2)","132","132"
31,"Knows","Elizabeth Bennet","Charlotte Lucas","1","Chapter I (V2)","133","133"
32,"Knows","Elizabeth Bennet","Mr. Collins","1","Chapter I (V2)","133","133"
33,"Knows","Charlotte Lucas","Mr. Collins","1","Chapter I (V2)","133","133"
34,"Knows","Jane Bennet","Charlotte Lucas","1","Chapter I (V2)","133","133"
35,"Knows","Jane Bennet","Mr. Collins","1","Chapter I (V2)","133","133"
36,"Knows","Charlotte Lucas","Young Lucas","1","Chapter I (V2)","133","133"
37,"Knows","Charlotte Lucas","Lady Lucas","1","Chapter I (V2)","133","133"
38,"Knows","Charlotte Lucas","Sir William Lucas","1","Chapter I (V2)","133","133"
