id,Name <br />(100 chars)_l,source,Name <br />(100 chars)_r,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
9,Severine Milk,3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],22,Knows of,Evelina Harp,Severine Milk,0,The Plague of Doves,5,8,
10,German Settlers,3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],26,Knows of,Evelina Harp,German Settlers,0,The Plague of Doves,5,5,
12,Norwegian Settlers,3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],27,Knows of,Evelina Harp,Norwegian Settlers,0,The Plague of Doves,5,5,
11,French Settlers,3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],28,Knows of,Evelina Harp,French Settlers,0,The Plague of Doves,5,5,
16,Clemence Harp,3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],35,Knows,Evelina Harp,Clemence Harp,1,The Plague of Doves,6,8,
17,Joseph Harp,3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],37,Knows,Evelina Harp,Joseph Harp,1,The Plague of Doves,6,9,
13,Severine Milk's Parishioners,3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],43,Knows of,Evelina Harp,Severine Milk's Parishioners,0,The Plague of Doves,5,5,
13,Severine Milk's Parishioners,3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],44,Knows of,Evelina Harp,Severine Milk's Parishioners,0,The Plague of Doves,7,8,
19,Geraldine Milk,3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],51,Knows,Evelina Harp,Geraldine Milk,1,The Plague of Doves,8,9,
22,"""[Y]oung man on a passenger train""",3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],52,Knows of,Evelina Harp,"""[Y]oung man on a passenger train""",0,The Plague of Doves,9,9,
20,Uncle Whitey,3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],55,Knows,Evelina Harp,Uncle Whitey,1,The Plague of Doves,8,9,
21,"""Haskell Indian Princess""",3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],56,Knows of,Evelina Harp,"""Haskell Indian Princess""",0,The Plague of Doves,9,9,
23,"""[S]mall town stripper""",3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],58,Knows of,Evelina Harp,"""[S]mall town stripper""",0,The Plague of Doves,9,9,
26,John Wildstrand,3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],63,Knows of,Evelina Harp,John Wildstrand,0,The Plague of Doves,9,9,
302,John Wildstrand,3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],63,Knows of,Evelina Harp,John Wildstrand,0,The Plague of Doves,9,9,
27,Neve Harp,3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],64,Knows,Evelina Harp,Neve Harp,0,The Plague of Doves,8,9,
28,Maggie Peace,3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],65,Knows of,Evelina Harp,Maggie Peace,0,The Plague of Doves,9,9,
29,Octave Harp,3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],67,Knows of,Evelina Harp,Octave Harp,0,The Plague of Doves,8,9,
30,Woman (Octave drowned himself over),3,Evelina Harp,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],68,Knows of,Evelina Harp,Woman (Octave drowned himself over),0,The Plague of Doves,9,9,
31,Corwin Peace,3,Evelina Harp,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],70,Knows,Evelina Harp,Corwin Peace,1,The Million Names,9,9,
32,Other Children (in school with Evelina),3,Evelina Harp,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],72,Exchange,Evelina Harp,Other Children (in school with Evelina),1,The Million Names,10,10,
16,Clemence Harp,3,Evelina Harp,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],76,Knows,Evelina Harp,Clemence Harp,1,The Million Names,10,10,
18,Edward Harp,3,Evelina Harp,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],77,Knows,Evelina Harp,Edward Harp,1,The Million Names,10,10,
16,Clemence Harp,3,Evelina Harp,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],80,Knows,Evelina Harp,Clemence Harp,1,The Million Names,11,11,
15,Seraph Milk (Mooshum),3,Evelina Harp,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],82,Exchange,Evelina Harp,Seraph Milk (Mooshum),1,The Million Names,11,11,
33,Edward's Students,3,Evelina Harp,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],84,Knows of,Evelina Harp,Edward's Students,0,The Million Names,11,11,
34,Junesse Malaterre,3,Evelina Harp,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,85,Knows,Evelina Harp,Junesse Malaterre,1,Apparition,11,11,
34,Junesse Malaterre,3,Evelina Harp,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,88,Knows,Evelina Harp,Junesse Malaterre,1,Apparition,12,12,
36,French Voyageur,3,Evelina Harp,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,89,Knows of,Evelina Harp,French Voyageur,0,Apparition,12,12,
17,Joseph Harp,3,Evelina Harp,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,94,Knows,Evelina Harp,Joseph Harp,1,Apparition,12,12,
