,Char 2 ID,Char 1 ID,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
0,9.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],22,Knows of,Evelina Harp,Severine Milk,0,The Plague of Doves,5,5,
0,9.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],22,Knows of,Evelina Harp,Severine Milk,0,The Plague of Doves,6,6,
0,9.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],22,Knows of,Evelina Harp,Severine Milk,0,The Plague of Doves,7,7,
0,9.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],22,Knows of,Evelina Harp,Severine Milk,0,The Plague of Doves,8,8,
1,10.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],26,Knows of,Evelina Harp,German Settlers,0,The Plague of Doves,5,5,
2,12.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],27,Knows of,Evelina Harp,Norwegian Settlers,0,The Plague of Doves,5,5,
3,11.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],28,Knows of,Evelina Harp,French Settlers,0,The Plague of Doves,5,5,
4,16.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],35,Knows,Evelina Harp,Clemence Harp,1,The Plague of Doves,6,6,
4,16.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],35,Knows,Evelina Harp,Clemence Harp,1,The Plague of Doves,7,7,
4,16.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],35,Knows,Evelina Harp,Clemence Harp,1,The Plague of Doves,8,8,
5,17.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],37,Knows,Evelina Harp,Joseph Harp,1,The Plague of Doves,6,6,
5,17.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],37,Knows,Evelina Harp,Joseph Harp,1,The Plague of Doves,7,7,
5,17.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],37,Knows,Evelina Harp,Joseph Harp,1,The Plague of Doves,8,8,
5,17.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],37,Knows,Evelina Harp,Joseph Harp,1,The Plague of Doves,9,9,
6,13.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],43,Knows of,Evelina Harp,Severine Milk's Parishioners,0,The Plague of Doves,5,5,
7,13.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],44,Knows of,Evelina Harp,Severine Milk's Parishioners,0,The Plague of Doves,7,7,
7,13.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],44,Knows of,Evelina Harp,Severine Milk's Parishioners,0,The Plague of Doves,8,8,
8,19.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],51,Knows,Evelina Harp,Geraldine Milk,1,The Plague of Doves,8,8,
8,19.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],51,Knows,Evelina Harp,Geraldine Milk,1,The Plague of Doves,9,9,
9,22.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],52,Knows of,Evelina Harp,"""[Y]oung man on a passenger train""",0,The Plague of Doves,9,9,
10,20.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],55,Knows,Evelina Harp,Uncle Whitey,1,The Plague of Doves,8,8,
10,20.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],55,Knows,Evelina Harp,Uncle Whitey,1,The Plague of Doves,9,9,
11,21.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],56,Knows of,Evelina Harp,"""Haskell Indian Princess""",0,The Plague of Doves,9,9,
12,23.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],58,Knows of,Evelina Harp,"""[S]mall town stripper""",0,The Plague of Doves,9,9,
13,26.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],63,Knows of,Evelina Harp,John Wildestrand,0,The Plague of Doves,8,8,
13,26.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],63,Knows of,Evelina Harp,John Wildestrand,0,The Plague of Doves,9,9,
14,27.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],64,Knows,Evelina Harp,Neve Harp,0,The Plague of Doves,8,8,
14,27.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],64,Knows,Evelina Harp,Neve Harp,0,The Plague of Doves,9,9,
15,28.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],65,Knows of,Evelina Harp,Maggie Peace,0,The Plague of Doves,9,9,
16,29.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],67,Knows of,Evelina Harp,Octave Harp,0,The Plague of Doves,8,8,
16,29.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],67,Knows of,Evelina Harp,Octave Harp,0,The Plague of Doves,9,9,
17,30.0,3.0,10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],68,Knows of,Evelina Harp,Woman (Octave drowned himself over),0,The Plague of Doves,9,9,
18,31.0,3.0,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],70,Knows,Evelina Harp,Corwin Peace,1,The Million Names,9,9,
19,32.0,3.0,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],72,Exchange,Evelina Harp,Other Children (in school with Evelina),1,The Million Names,10,10,
20,16.0,3.0,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],76,Knows,Evelina Harp,Clemence Harp,1,The Million Names,10,10,
21,18.0,3.0,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],77,Knows,Evelina Harp,Edward Harp,1,The Million Names,10,10,
22,16.0,3.0,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],80,Knows,Evelina Harp,Clemence Harp,1,The Million Names,11,11,
23,15.0,3.0,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],82,Exchange,Evelina Harp,Seraph Milk (Mooshum),1,The Million Names,11,11,
24,33.0,3.0,30,The Million Names,level 3 (sub-sub-section),9,11,Evelina Harp,[NULL],[NULL],84,Knows of,Evelina Harp,Edward's Students,0,The Million Names,11,11,
25,34.0,3.0,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,85,Knows,Evelina Harp,Junesse Malaterre,1,Apparition,11,11,
26,34.0,3.0,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,88,Knows,Evelina Harp,Junesse Malaterre,1,Apparition,12,12,
27,36.0,3.0,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,89,Knows of,Evelina Harp,French Voyageur,0,Apparition,12,12,
28,17.0,3.0,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,94,Knows,Evelina Harp,Joseph Harp,1,Apparition,12,12,
29,18.0,3.0,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,95,Knows,Evelina Harp,Edward Harp,1,Apparition,12,12,
30,35.0,3.0,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,99,Knows of,Evelina Harp,Junesse's Aunt,0,Apparition,12,12,
31,9.0,3.0,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,100,Knows of,Evelina Harp,Severine Milk,0,Apparition,12,12,
32,37.0,3.0,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,102,Knows of,Evelina Harp,Junesse's six younger cousins,0,Apparition,12,12,
33,34.0,3.0,31,Apparition,level 3 (sub-sub-section),11,13,Evelina Harp,[NULL],Oral Story,106,Knows,Evelina Harp,Junesse Malaterre,1,Apparition,13,13,
34,38.0,3.0,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],107,Exchange,Evelina Harp,Off-Reservation Dentist,1,The Burning Glare,13,13,
35,31.0,3.0,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],110,Exchange,Evelina Harp,Corwin Peace,1,The Burning Glare,14,14,
36,32.0,3.0,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],112,Knows,Evelina Harp,Other Children (in school with Evelina),1,The Burning Glare,14,14,
37,40.0,3.0,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],113,Knows of,Evelina Harp,Christ,0,The Burning Glare,14,14,
38,16.0,3.0,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],114,Exchange,Evelina Harp,Clemence Harp,1,The Burning Glare,15,15,
39,41.0,3.0,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],115,Knows of,Evelina Harp,Jackie Kennedy,0,The Burning Glare,15,15,
40,40.0,3.0,32,The Burning Glare,level 3 (sub-sub-section),13,15,Evelina Harp,[NULL],[NULL],116,Knows of,Evelina Harp,Christ,0,The Burning Glare,15,15,
41,15.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,119,Knows,Evelina Harp,Seraph Milk (Mooshum),1,Mustache Maude,15,15,
42,34.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,120,Knows,Evelina Harp,Junesse Malaterre,1,Mustache Maude,15,15,
43,42.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,121,Knows of,Evelina Harp,"""Mustache"" Maude Black",0,Mustache Maude,15,15,
44,42.0,3.0,33,Mustache Maude,level 3 (sub-sub-section),15,19,Evelina Harp,[NULL],Oral Story,124,Knows of,Evelina Harp,"""Mustache"" Maude Black",0,Mustache Maude,16,16,
