,source,target,type,weight,startPage,category
0,3.0,9.0,Directed,1,5,Knows of
0,3.0,9.0,Directed,1,6,Knows of
0,3.0,9.0,Directed,1,7,Knows of
0,3.0,9.0,Directed,1,8,Knows of
1,3.0,10.0,Directed,1,5,Knows of
2,3.0,12.0,Directed,1,5,Knows of
3,3.0,11.0,Directed,1,5,Knows of
4,3.0,16.0,Directed,1,6,Knows
4,3.0,16.0,Directed,1,7,Knows
4,3.0,16.0,Directed,1,8,Knows
5,3.0,17.0,Directed,1,6,Knows
5,3.0,17.0,Directed,1,7,Knows
5,3.0,17.0,Directed,1,8,Knows
5,3.0,17.0,Directed,1,9,Knows
6,3.0,13.0,Directed,1,5,Knows of
7,3.0,13.0,Directed,1,7,Knows of
7,3.0,13.0,Directed,1,8,Knows of
8,3.0,19.0,Directed,1,8,Knows
8,3.0,19.0,Directed,1,9,Knows
9,3.0,22.0,Directed,1,9,Knows of
10,3.0,20.0,Directed,1,8,Knows
10,3.0,20.0,Directed,1,9,Knows
11,3.0,21.0,Directed,1,9,Knows of
12,3.0,23.0,Directed,1,9,Knows of
13,3.0,26.0,Directed,1,8,Knows of
13,3.0,26.0,Directed,1,9,Knows of
14,3.0,27.0,Directed,1,8,Knows
14,3.0,27.0,Directed,1,9,Knows
15,3.0,28.0,Directed,1,9,Knows of
16,3.0,29.0,Directed,1,8,Knows of
16,3.0,29.0,Directed,1,9,Knows of
17,3.0,30.0,Directed,1,9,Knows of
18,3.0,31.0,Directed,1,9,Knows
19,3.0,32.0,Directed,1,10,Exchange
20,3.0,16.0,Directed,1,10,Knows
21,3.0,18.0,Directed,1,10,Knows
22,3.0,16.0,Directed,1,11,Knows
23,3.0,15.0,Directed,1,11,Exchange
24,3.0,33.0,Directed,1,11,Knows of
25,3.0,34.0,Directed,1,11,Knows
26,3.0,34.0,Directed,1,12,Knows
27,3.0,36.0,Directed,1,12,Knows of
28,3.0,17.0,Directed,1,12,Knows
29,3.0,18.0,Directed,1,12,Knows
30,3.0,35.0,Directed,1,12,Knows of
31,3.0,9.0,Directed,1,12,Knows of
32,3.0,37.0,Directed,1,12,Knows of
33,3.0,34.0,Directed,1,13,Knows
34,3.0,38.0,Directed,1,13,Exchange
35,3.0,31.0,Directed,1,14,Exchange
36,3.0,32.0,Directed,1,14,Knows
37,3.0,40.0,Directed,1,14,Knows of
38,3.0,16.0,Directed,1,15,Exchange
39,3.0,41.0,Directed,1,15,Knows of
40,3.0,40.0,Directed,1,15,Knows of
41,3.0,15.0,Directed,1,15,Knows
42,3.0,34.0,Directed,1,15,Knows
43,3.0,42.0,Directed,1,15,Knows of
44,3.0,42.0,Directed,1,16,Knows of
45,3.0,15.0,Directed,1,16,Exchange
