source,target,type,weight,startPage,category
3,9,Directed,1,5,Knows of
3,9,Directed,1,6,Knows of
3,9,Directed,1,7,Knows of
3,9,Directed,1,8,Knows of
3,10,Directed,1,5,Knows of
3,12,Directed,1,5,Knows of
3,11,Directed,1,5,Knows of
3,16,Directed,1,6,Knows
3,16,Directed,1,7,Knows
3,16,Directed,1,8,Knows
3,17,Directed,1,6,Knows
3,17,Directed,1,7,Knows
3,17,Directed,1,8,Knows
3,17,Directed,1,9,Knows
3,13,Directed,1,5,Knows of
3,13,Directed,1,7,Knows of
3,13,Directed,1,8,Knows of
3,19,Directed,1,8,Knows
3,19,Directed,1,9,Knows
3,22,Directed,1,9,Knows of
3,20,Directed,1,8,Knows
3,20,Directed,1,9,Knows
3,21,Directed,1,9,Knows of
3,23,Directed,1,9,Knows of
3,26,Directed,1,9,Knows of
3,302,Directed,1,9,Knows of
3,27,Directed,1,8,Knows
3,27,Directed,1,9,Knows
3,28,Directed,1,9,Knows of
3,29,Directed,1,8,Knows of
3,29,Directed,1,9,Knows of
3,30,Directed,1,9,Knows of
3,31,Directed,1,9,Knows
3,32,Directed,1,10,Exchange
3,16,Directed,1,10,Knows
3,18,Directed,1,10,Knows
3,16,Directed,1,11,Knows
3,15,Directed,1,11,Exchange
3,33,Directed,1,11,Knows of
3,34,Directed,1,11,Knows
3,34,Directed,1,12,Knows
3,36,Directed,1,12,Knows of
3,17,Directed,1,12,Knows
3,18,Directed,1,12,Knows
3,35,Directed,1,12,Knows of
3,9,Directed,1,12,Knows of
3,37,Directed,1,12,Knows of
3,34,Directed,1,13,Knows
3,38,Directed,1,13,Exchange
3,31,Directed,1,14,Exchange
3,32,Directed,1,14,Knows
3,57,Directed,1,14,Knows of
3,16,Directed,1,15,Exchange
3,41,Directed,1,15,Knows of
3,260,Directed,1,15,Knows of
3,57,Directed,1,15,Knows of
3,15,Directed,1,15,Knows
3,34,Directed,1,15,Knows
3,42,Directed,1,15,Knows of
3,42,Directed,1,16,Knows of
3,15,Directed,1,16,Exchange
3,34,Directed,1,16,Knows
3,43,Directed,1,16,Knows of
3,44,Directed,1,16,Knows of
3,42,Directed,1,17,Knows of
3,42,Directed,1,18,Knows of
3,34,Directed,1,17,Knows
3,49,Directed,1,17,Knows of
3,45,Directed,1,17,Knows of
3,50,Directed,1,17,Knows of
3,46,Directed,1,17,Knows of
3,48,Directed,1,17,Knows of
3,47,Directed,1,17,Knows of
3,63,Directed,1,17,Knows of
3,65,Directed,1,17,Knows of
3,66,Directed,1,17,Knows of
3,68,Directed,1,17,Knows of
3,67,Directed,1,17,Knows of
3,67,Directed,1,17,Knows of
3,69,Directed,1,17,Knows of
3,69,Directed,1,18,Knows of
3,71,Directed,1,17,Knows of
3,71,Directed,1,18,Knows of
3,72,Directed,1,17,Knows of
3,72,Directed,1,18,Knows of
3,43,Directed,1,18,Knows of
3,73,Directed,1,18,Knows of
3,74,Directed,1,18,Knows of
3,34,Directed,1,19,Knows
3,16,Directed,1,19,Knows
3,19,Directed,1,19,Knows
3,20,Directed,1,19,Knows
3,86,Directed,1,19,Knows of
3,18,Directed,1,19,Knows
3,17,Directed,1,19,Knows
3,43,Directed,1,19,Knows of
3,42,Directed,1,19,Knows of
3,15,Directed,1,19,Knows
3,87,Directed,1,19,Knows of
3,73,Directed,1,19,Knows of
3,326,Directed,1,19,Knows of
3,136,Directed,1,19,Knows of
3,57,Directed,1,19,Knows of
3,18,Directed,1,19,Knows
3,17,Directed,1,19,Knows
3,16,Directed,1,19,Knows
3,91,Directed,1,19,Knows of
3,34,Directed,1,19,Knows
3,31,Directed,1,20,Exchange
3,92,Directed,1,21,Knows of
3,93,Directed,1,21,Knows of
3,94,Directed,1,21,Knows of
3,94,Directed,1,22,Knows of
3,16,Directed,1,21,Knows
3,18,Directed,1,21,Knows
3,15,Directed,1,21,Knows
3,15,Directed,1,22,Knows
3,15,Directed,1,23,Knows
3,15,Directed,1,24,Knows
3,15,Directed,1,25,Knows
3,15,Directed,1,26,Knows
3,15,Directed,1,27,Knows
3,15,Directed,1,28,Knows
3,61,Directed,1,21,Knows
3,61,Directed,1,22,Knows
3,61,Directed,1,23,Knows
3,61,Directed,1,24,Knows
3,61,Directed,1,25,Knows
3,61,Directed,1,26,Knows
3,61,Directed,1,27,Knows
3,61,Directed,1,28,Knows
3,9,Directed,1,21,Knows of
3,9,Directed,1,22,Knows of
3,96,Directed,1,21,Knows of
3,96,Directed,1,22,Knows of
3,95,Directed,1,21,Knows of
3,97,Directed,1,21,Knows of
3,98,Directed,1,21,Knows of
3,99,Directed,1,21,Knows of
3,100,Directed,1,21,Knows of
3,100,Directed,1,22,Knows of
3,101,Directed,1,21,Knows of
