source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
,,,,,,,
490,229,Doctor Cordelia Lochren,"""[L]ocal boy"" (whose hand was amputated)",Directed,1,295,Knows of
,,,,,,,
490,233,Doctor Cordelia Lochren,Card-Playing Groups,Directed,1,295,Knows of
490,232,Doctor Cordelia Lochren,Church Society,Directed,1,295,Knows of
,,,,,,,
490,231,Doctor Cordelia Lochren,Hobby Club Members,Directed,1,295,Knows of
490,228,Doctor Cordelia Lochren,Priest (in Pluto),Directed,1,295,Knows of
490,230,Doctor Cordelia Lochren,Town Council,Directed,1,295,Knows of
,,,,,,,
238,237,"""Dakota...Town Site Company"" Members",Frank Harp,Directed,1,296,Knows
490,238,Doctor Cordelia Lochren,"""Dakota...Town Site Company"" Members",Directed,1,296,Knows of
490,239,Doctor Cordelia Lochren,Farmers (who shipped their harvests by train),Directed,1,296,Knows of
490,237,Doctor Cordelia Lochren,Frank Harp,Directed,1,296,Knows of
490,235,Doctor Cordelia Lochren,Husbands (of Young Mothers),Directed,1,296,Knows of
490,27,Doctor Cordelia Lochren,Neve Harp,Directed,1,296,Knows
490,234,Doctor Cordelia Lochren,Young Mothers,Directed,1,296,Knows of
237,238,Frank Harp,"""Dakota...Town Site Company"" Members",Directed,1,296,Knows
237,27,Frank Harp,Neve Harp,Directed,1,296,Knows
235,234,Husbands (of Young Mothers),Young Mothers,Directed,1,296,Knows
27,490,Neve Harp,Doctor Cordelia Lochren,Directed,1,296,Knows
27,237,Neve Harp,Frank Harp,Directed,1,296,Knows
234,235,Young Mothers,Husbands (of Young Mothers),Directed,1,296,Knows
234,234,Young Mothers,Young Mothers,Directed,1,296,Exchange
238,242,"""Dakota...Town Site Company"" Members",Apollo,Directed,1,297,Knows of
238,243,"""Dakota...Town Site Company"" Members",Athena,Directed,1,297,Knows of
238,237,"""Dakota...Town Site Company"" Members",Frank Harp,Directed,1,297,Exchange
238,241,"""Dakota...Town Site Company"" Members",Neptune,Directed,1,297,Knows of
238,245,"""Dakota...Town Site Company"" Members",Pluto,Directed,1,297,Knows of
238,244,"""Dakota...Town Site Company"" Members",Venus,Directed,1,297,Knows of
238,240,"""Dakota...Town Site Company"" Members",Zeus,Directed,1,297,Knows of
493,490,Cordelia's Older Sister,Doctor Cordelia Lochren,Directed,1,297,Knows
493,152,Cordelia's Older Sister,Tobek Hess,Directed,1,297,Knows
,,,,,,,
,,,,,,,
490,238,Doctor Cordelia Lochren,"""Dakota...Town Site Company"" Members",Directed,1,297,Knows of
490,242,Doctor Cordelia Lochren,Apollo,Directed,1,297,Knows of
490,243,Doctor Cordelia Lochren,Athena,Directed,1,297,Knows of
490,493,Doctor Cordelia Lochren,Cordelia's Older Sister,Directed,1,297,Knows
490,47,Doctor Cordelia Lochren,Cuthbert Peace,Directed,1,297,Knows
,,,,,,,
490,239,Doctor Cordelia Lochren,Farmers (who shipped their harvests by train),Directed,1,297,Knows of
490,237,Doctor Cordelia Lochren,Frank Harp,Directed,1,297,Knows of
,,,,,,,
490,163,Doctor Cordelia Lochren,Murdo Harp,Directed,1,297,Knows of
490,241,Doctor Cordelia Lochren,Neptune,Directed,1,297,Knows of
490,29,Doctor Cordelia Lochren,Octave Harp,Directed,1,297,Knows of
490,245,Doctor Cordelia Lochren,Pluto,Directed,1,297,Knows of
,,,,,,,
490,496,Doctor Cordelia Lochren,The Lochren Family,Directed,1,297,Knows
,,,,,,,
,,,,,,,
490,152,Doctor Cordelia Lochren,Tobek Hess,Directed,1,297,Knows of
490,157,Doctor Cordelia Lochren,Townsmen (involved in the lynching),Directed,1,297,Knows of
490,244,Doctor Cordelia Lochren,Venus,Directed,1,297,Knows of
490,240,Doctor Cordelia Lochren,Zeus,Directed,1,297,Knows of
237,238,Frank Harp,"""Dakota...Town Site Company"" Members",Directed,1,297,Exchange
237,245,Frank Harp,Pluto,Directed,1,297,Knows of
,,,,,,,
163,29,Murdo Harp,Octave Harp,Directed,1,297,Exchange
29,163,Octave Harp,Murdo Harp,Directed,1,297,Exchange
,,,,,,,
496,490,The Lochren Family,Doctor Cordelia Lochren,Directed,1,297,Knows
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
152,493,Tobek Hess,Cordelia's Older Sister,Directed,1,297,Knows
,,,,,,,
492,490,Cordelia's Nurse,Doctor Cordelia Lochren,Directed,1,298,Knows
494,490,Cordelia's Patients,Doctor Cordelia Lochren,Directed,1,298,Knows
,,,,,,,
490,492,Doctor Cordelia Lochren,Cordelia's Nurse,Directed,1,298,Knows
490,494,Doctor Cordelia Lochren,Cordelia's Patients,Directed,1,298,Knows
,,,,,,,
490,249,Doctor Cordelia Lochren,Electa and Tobek's Parents,Directed,1,298,Knows of
490,495,Doctor Cordelia Lochren,Electa Hoag,Directed,1,298,Knows
,,,,,,,
490,163,Doctor Cordelia Lochren,Murdo Harp,Directed,1,298,Knows of
490,29,Doctor Cordelia Lochren,Octave Harp,Directed,1,298,Knows of
,,,,,,,
490,496,Doctor Cordelia Lochren,The Lochren Family,Directed,1,298,Knows
,,,,,,,
490,152,Doctor Cordelia Lochren,Tobek Hess,Directed,1,298,Knows of
249,495,Electa and Tobek's Parents,Electa Hoag,Directed,1,298,Knows
249,152,Electa and Tobek's Parents,Tobek Hess,Directed,1,298,Knows
495,490,Electa Hoag,Doctor Cordelia Lochren,Directed,1,298,Knows
495,249,Electa Hoag,Electa and Tobek's Parents,Directed,1,298,Knows
495,65,Electa Hoag,Oric Hoag,Directed,1,298,Knows
495,152,Electa Hoag,Tobek Hess,Directed,1,298,Knows
,,,,,,,
163,29,Murdo Harp,Octave Harp,Directed,1,298,Knows
29,163,Octave Harp,Murdo Harp,Directed,1,298,Knows
65,490,Oric Hoag,Doctor Cordelia Lochren,Directed,1,298,Knows
65,495,Oric Hoag,Electa Hoag,Directed,1,298,Knows
496,490,The Lochren Family,Doctor Cordelia Lochren,Directed,1,298,Knows
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
152,249,Tobek Hess,Electa and Tobek's Parents,Directed,1,298,Knows
152,495,Tobek Hess,Electa Hoag,Directed,1,298,Knows
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
490,26,Doctor Cordelia Lochren,John Wildstrand,Directed,1,299,Knows of
490,163,Doctor Cordelia Lochren,Murdo Harp,Directed,1,299,Knows of
490,27,Doctor Cordelia Lochren,Neve Harp,Directed,1,299,Exchange
490,129,Doctor Cordelia Lochren,Neve Harp's Potential Third Husband,Directed,1,299,Knows of
490,128,Doctor Cordelia Lochren,Neve Harp's Second Husband,Directed,1,299,Knows of
490,29,Doctor Cordelia Lochren,Octave Harp,Directed,1,299,Knows of
490,254,Doctor Cordelia Lochren,Student (who married the swim coach),Directed,1,299,Knows of
490,253,Doctor Cordelia Lochren,Swimming Coach,Directed,1,299,Knows
26,27,John Wildstrand,Neve Harp,Directed,1,299,Knows
163,27,Murdo Harp,Neve Harp,Directed,1,299,Knows
163,29,Murdo Harp,Octave Harp,Directed,1,299,Knows
,,,,,,,
27,490,Neve Harp,Doctor Cordelia Lochren,Directed,1,299,Exchange
27,26,Neve Harp,John Wildstrand,Directed,1,299,Knows
