source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
311,26,"""doctor"" (Wildstrand took Neve to)",John Wildstrand,Directed,1,127,Exchange
311,27,"""doctor"" (Wildstrand took Neve to)",Neve Harp,Directed,1,127,Exchange
309,27,"""farmer"" (pulled Neve from a ditch)",Neve Harp,Directed,1,126,Knows
309,27,"""farmer"" (pulled Neve from a ditch)",Neve Harp,Directed,1,133,Knows
310,27,"""police"" (with Neve)",Neve Harp,Directed,1,126,Exchange
310,27,"""police"" (with Neve)",Neve Harp,Directed,1,134,Exchange
305,92,"""robber"" (held John up)",John F. Kennedy,Directed,1,118,Knows
51,306,Billy Peace,Billy Peace's Grandfather,Directed,1,122,Knows
51,306,Billy Peace,Billy Peace's Grandfather,Directed,1,124,Knows
51,308,Billy Peace,Billy Peace's Grandmother,Directed,1,124,Knows
51,81,Billy Peace,Billy Peace's Mother,Directed,1,122,Knows
51,307,Billy Peace,Bonnie,Directed,1,123,Knows of
51,313,Billy Peace,Corwin (Billy's best buddy),Directed,1,131,Knows
51,26,Billy Peace,John Wildstrand,Directed,1,118,Exchange
51,26,Billy Peace,John Wildstrand,Directed,1,119,Exchange
51,26,Billy Peace,John Wildstrand,Directed,1,120,Exchange
51,26,Billy Peace,John Wildstrand,Directed,1,121,Exchange
51,26,Billy Peace,John Wildstrand,Directed,1,122,Exchange
51,26,Billy Peace,John Wildstrand,Directed,1,123,Exchange
51,26,Billy Peace,John Wildstrand,Directed,1,124,Exchange
51,26,Billy Peace,John Wildstrand,Directed,1,125,Exchange
51,26,Billy Peace,John Wildstrand,Directed,1,126,Knows
51,26,Billy Peace,John Wildstrand,Directed,1,127,Exchange
51,26,Billy Peace,John Wildstrand,Directed,1,128,Knows
51,26,Billy Peace,John Wildstrand,Directed,1,129,Exchange
51,26,Billy Peace,John Wildstrand,Directed,1,130,Knows
51,26,Billy Peace,John Wildstrand,Directed,1,131,Knows
51,26,Billy Peace,John Wildstrand,Directed,1,133,Knows
51,26,Billy Peace,John Wildstrand,Directed,1,134,Exchange
51,278,Billy Peace,Lafayette Peace,Directed,1,119,Knows
51,28,Billy Peace,Maggie Peace,Directed,1,118,Knows
51,28,Billy Peace,Maggie Peace,Directed,1,121,Knows
51,28,Billy Peace,Maggie Peace,Directed,1,122,Knows
51,28,Billy Peace,Maggie Peace,Directed,1,123,Knows
51,28,Billy Peace,Maggie Peace,Directed,1,128,Knows
51,28,Billy Peace,Maggie Peace,Directed,1,129,Exchange
51,28,Billy Peace,Maggie Peace,Directed,1,131,Knows
51,27,Billy Peace,Neve Harp,Directed,1,121,Knows
51,27,Billy Peace,Neve Harp,Directed,1,124,Exchange
51,27,Billy Peace,Neve Harp,Directed,1,125,Exchange
51,27,Billy Peace,Neve Harp,Directed,1,126,Knows
51,27,Billy Peace,Neve Harp,Directed,1,129,Knows
51,27,Billy Peace,Neve Harp,Directed,1,130,Knows
51,27,Billy Peace,Neve Harp,Directed,1,133,Knows
80,28,Billy Peace's Father,Maggie Peace,Directed,1,122,Knows
306,51,Billy Peace's Grandfather,Billy Peace,Directed,1,122,Knows
306,51,Billy Peace's Grandfather,Billy Peace,Directed,1,124,Knows
306,81,Billy Peace's Grandfather,Billy Peace's Mother,Directed,1,124,Knows
306,28,Billy Peace's Grandfather,Maggie Peace,Directed,1,122,Knows
308,51,Billy Peace's Grandmother,Billy Peace,Directed,1,124,Knows
308,28,Billy Peace's Grandmother,Maggie Peace,Directed,1,124,Knows
81,51,Billy Peace's Mother,Billy Peace,Directed,1,122,Knows
81,306,Billy Peace's Mother,Billy Peace's Grandfather,Directed,1,124,Knows
307,28,Bonnie,Maggie Peace,Directed,1,123,Knows
313,51,Corwin (Billy's best buddy),Billy Peace,Directed,1,131,Knows
31,26,Corwin Peace,John Wildstrand,Directed,1,130,Knows
31,26,Corwin Peace,John Wildstrand,Directed,1,131,Knows
31,26,Corwin Peace,John Wildstrand,Directed,1,132,Knows
31,28,Corwin Peace,Maggie Peace,Directed,1,130,Knows
31,28,Corwin Peace,Maggie Peace,Directed,1,131,Knows
31,28,Corwin Peace,Maggie Peace,Directed,1,132,Knows
92,305,John F. Kennedy,"""robber"" (held John up)",Directed,1,118,Knows
26,311,John Wildstrand,"""doctor"" (Wildstrand took Neve to)",Directed,1,127,Exchange
26,51,John Wildstrand,Billy Peace,Directed,1,118,Exchange
26,51,John Wildstrand,Billy Peace,Directed,1,119,Exchange
26,51,John Wildstrand,Billy Peace,Directed,1,120,Exchange
26,51,John Wildstrand,Billy Peace,Directed,1,121,Exchange
26,51,John Wildstrand,Billy Peace,Directed,1,122,Exchange
26,51,John Wildstrand,Billy Peace,Directed,1,123,Exchange
26,51,John Wildstrand,Billy Peace,Directed,1,124,Exchange
26,51,John Wildstrand,Billy Peace,Directed,1,125,Exchange
26,51,John Wildstrand,Billy Peace,Directed,1,126,Knows
26,51,John Wildstrand,Billy Peace,Directed,1,127,Exchange
26,51,John Wildstrand,Billy Peace,Directed,1,128,Knows
26,51,John Wildstrand,Billy Peace,Directed,1,129,Exchange
26,51,John Wildstrand,Billy Peace,Directed,1,130,Knows
26,51,John Wildstrand,Billy Peace,Directed,1,131,Knows
26,51,John Wildstrand,Billy Peace,Directed,1,133,Knows
26,51,John Wildstrand,Billy Peace,Directed,1,134,Exchange
26,31,John Wildstrand,Corwin Peace,Directed,1,120,Knows
26,31,John Wildstrand,Corwin Peace,Directed,1,128,Knows
26,31,John Wildstrand,Corwin Peace,Directed,1,130,Knows
26,31,John Wildstrand,Corwin Peace,Directed,1,131,Knows
26,31,John Wildstrand,Corwin Peace,Directed,1,132,Knows
26,66,John Wildstrand,Eugene Wildstrand,Directed,1,131,Knows
26,57,John Wildstrand,Jesus,Directed,1,130,Knows
26,304,John Wildstrand,John Wildstrand's Employees,Directed,1,118,Knows
26,4,John Wildstrand,Judge Antone Bazil Coutts,Directed,1,134,Exchange
26,278,John Wildstrand,Lafayette Peace,Directed,1,119,Knows of
26,94,John Wildstrand,Louis Riel,Directed,1,119,Knows of
26,28,John Wildstrand,Maggie Peace,Directed,1,118,Knows
26,28,John Wildstrand,Maggie Peace,Directed,1,119,Knows
26,28,John Wildstrand,Maggie Peace,Directed,1,120,Knows
26,28,John Wildstrand,Maggie Peace,Directed,1,121,Knows
26,28,John Wildstrand,Maggie Peace,Directed,1,122,Knows
26,28,John Wildstrand,Maggie Peace,Directed,1,123,Knows
26,28,John Wildstrand,Maggie Peace,Directed,1,125,Knows
26,28,John Wildstrand,Maggie Peace,Directed,1,126,Knows
26,28,John Wildstrand,Maggie Peace,Directed,1,127,Knows
26,28,John Wildstrand,Maggie Peace,Directed,1,128,Knows
26,28,John Wildstrand,Maggie Peace,Directed,1,129,Knows
26,28,John Wildstrand,Maggie Peace,Directed,1,130,Knows
26,28,John Wildstrand,Maggie Peace,Directed,1,131,Exchange
26,28,John Wildstrand,Maggie Peace,Directed,1,132,Exchange
26,28,John Wildstrand,Maggie Peace,Directed,1,133,Knows
26,163,John Wildstrand,Murdo Harp,Directed,1,127,Exchange
26,163,John Wildstrand,Murdo Harp,Directed,1,128,Exchange
26,163,John Wildstrand,Murdo Harp,Directed,1,129,Exchange
26,163,John Wildstrand,Murdo Harp,Directed,1,133,Knows
26,27,John Wildstrand,Neve Harp,Directed,1,118,Exchange
26,27,John Wildstrand,Neve Harp,Directed,1,119,Exchange
