source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
3,14,Evelina Harp,Evelina's Ancestors,Directed,1,5,Knows of
3,11,Evelina Harp,French Settlers,Directed,1,5,Knows of
3,10,Evelina Harp,German Settlers,Directed,1,5,Knows of
3,12,Evelina Harp,Norwegian Settlers,Directed,1,5,Knows of
3,9,Evelina Harp,Severine Milk,Directed,1,5,Knows of
3,13,Evelina Harp,Severine Milk's Parishioners,Directed,1,5,Knows of
14,11,Evelina's Ancestors,French Settlers,Directed,1,5,Exchange
11,14,French Settlers,Evelina's Ancestors,Directed,1,5,Exchange
10,13,German Settlers,Severine Milk's Parishioners,Directed,1,5,Knows of
12,13,Norwegian Settlers,Severine Milk's Parishioners,Directed,1,5,Knows of
9,13,Severine Milk,Severine Milk's Parishioners,Directed,1,5,Exchange
13,10,Severine Milk's Parishioners,German Settlers,Directed,1,5,Knows of
13,12,Severine Milk's Parishioners,Norwegian Settlers,Directed,1,5,Knows of
13,9,Severine Milk's Parishioners,Severine Milk,Directed,1,5,Exchange
16,3,Clemence Harp,Evelina Harp,Directed,1,6,Knows
16,15,Clemence Harp,Seraph Milk (Mooshum),Directed,1,6,Knows
18,3,Edward Harp,Evelina Harp,Directed,1,6,Knows
18,17,Edward Harp,Joseph Harp,Directed,1,6,Knows
3,16,Evelina Harp,Clemence Harp,Directed,1,6,Knows
3,18,Evelina Harp,Edward Harp,Directed,1,6,Knows
3,17,Evelina Harp,Joseph Harp,Directed,1,6,Knows
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,6,Exchange
3,9,Evelina Harp,Severine Milk,Directed,1,6,Knows of
17,18,Joseph Harp,Edward Harp,Directed,1,6,Knows
17,3,Joseph Harp,Evelina Harp,Directed,1,6,Knows
17,15,Joseph Harp,Seraph Milk (Mooshum),Directed,1,6,Exchange
15,16,Seraph Milk (Mooshum),Clemence Harp,Directed,1,6,Knows
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,6,Exchange
15,17,Seraph Milk (Mooshum),Joseph Harp,Directed,1,6,Exchange
15,9,Seraph Milk (Mooshum),Severine Milk,Directed,1,6,Knows
9,15,Severine Milk,Seraph Milk (Mooshum),Directed,1,6,Knows
16,3,Clemence Harp,Evelina Harp,Directed,1,7,Knows
16,15,Clemence Harp,Seraph Milk (Mooshum),Directed,1,7,Exchange
18,3,Edward Harp,Evelina Harp,Directed,1,7,Knows
18,17,Edward Harp,Joseph Harp,Directed,1,7,Knows
3,16,Evelina Harp,Clemence Harp,Directed,1,7,Knows
3,18,Evelina Harp,Edward Harp,Directed,1,7,Knows
3,17,Evelina Harp,Joseph Harp,Directed,1,7,Knows
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,7,Exchange
3,9,Evelina Harp,Severine Milk,Directed,1,7,Knows of
3,13,Evelina Harp,Severine Milk's Parishioners,Directed,1,7,Knows of
17,18,Joseph Harp,Edward Harp,Directed,1,7,Knows
17,3,Joseph Harp,Evelina Harp,Directed,1,7,Knows
17,15,Joseph Harp,Seraph Milk (Mooshum),Directed,1,7,Exchange
15,16,Seraph Milk (Mooshum),Clemence Harp,Directed,1,7,Exchange
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,7,Exchange
15,17,Seraph Milk (Mooshum),Joseph Harp,Directed,1,7,Exchange
15,9,Seraph Milk (Mooshum),Severine Milk,Directed,1,7,Knows
15,13,Seraph Milk (Mooshum),Severine Milk's Parishioners,Directed,1,7,Knows
9,15,Severine Milk,Seraph Milk (Mooshum),Directed,1,7,Knows
9,13,Severine Milk,Severine Milk's Parishioners,Directed,1,7,Exchange
13,15,Severine Milk's Parishioners,Seraph Milk (Mooshum),Directed,1,7,Knows
13,9,Severine Milk's Parishioners,Severine Milk,Directed,1,7,Exchange
16,18,Clemence Harp,Edward Harp,Directed,1,8,Knows
16,3,Clemence Harp,Evelina Harp,Directed,1,8,Knows
16,17,Clemence Harp,Joseph Harp,Directed,1,8,Knows
16,15,Clemence Harp,Seraph Milk (Mooshum),Directed,1,8,Knows
18,16,Edward Harp,Clemence Harp,Directed,1,8,Knows
18,3,Edward Harp,Evelina Harp,Directed,1,8,Knows
18,17,Edward Harp,Joseph Harp,Directed,1,8,Knows
18,15,Edward Harp,Seraph Milk (Mooshum),Directed,1,8,Knows
3,16,Evelina Harp,Clemence Harp,Directed,1,8,Knows
3,18,Evelina Harp,Edward Harp,Directed,1,8,Knows
3,19,Evelina Harp,Geraldine Milk,Directed,1,8,Knows
3,17,Evelina Harp,Joseph Harp,Directed,1,8,Knows
3,27,Evelina Harp,Neve Harp,Directed,1,8,Knows
3,29,Evelina Harp,Octave Harp,Directed,1,8,Knows of
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,8,Exchange
3,9,Evelina Harp,Severine Milk,Directed,1,8,Knows of
3,13,Evelina Harp,Severine Milk's Parishioners,Directed,1,8,Knows of
3,20,Evelina Harp,Uncle Whitey,Directed,1,8,Knows
19,3,Geraldine Milk,Evelina Harp,Directed,1,8,Knows
17,16,Joseph Harp,Clemence Harp,Directed,1,8,Knows
17,18,Joseph Harp,Edward Harp,Directed,1,8,Knows
17,3,Joseph Harp,Evelina Harp,Directed,1,8,Knows
17,15,Joseph Harp,Seraph Milk (Mooshum),Directed,1,8,Exchange
15,16,Seraph Milk (Mooshum),Clemence Harp,Directed,1,8,Knows
15,18,Seraph Milk (Mooshum),Edward Harp,Directed,1,8,Knows
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,8,Exchange
15,17,Seraph Milk (Mooshum),Joseph Harp,Directed,1,8,Exchange
15,9,Seraph Milk (Mooshum),Severine Milk,Directed,1,8,Knows
15,13,Seraph Milk (Mooshum),Severine Milk's Parishioners,Directed,1,8,Knows
9,15,Severine Milk,Seraph Milk (Mooshum),Directed,1,8,Knows
13,15,Severine Milk's Parishioners,Seraph Milk (Mooshum),Directed,1,8,Knows
20,3,Uncle Whitey,Evelina Harp,Directed,1,8,Knows
21,20,"""Haskell Indian Princess""",Uncle Whitey,Directed,1,9,Exchange
23,20,"""[S]mall town stripper""",Uncle Whitey,Directed,1,9,Exchange
22,19,"""[Y]oung man on a passenger train""",Geraldine Milk,Directed,1,9,Exchange
24,16,"Agathe (""Happy"")",Clemence Harp,Directed,1,9,Knows
24,25,"Agathe (""Happy"")",Priest (who Agathe left the convent for),Directed,1,9,Knows
16,24,Clemence Harp,"Agathe (""Happy"")",Directed,1,9,Knows
16,18,Clemence Harp,Edward Harp,Directed,1,9,Knows
16,19,Clemence Harp,Geraldine Milk,Directed,1,9,Knows
31,3,Corwin Peace,Evelina Harp,Directed,1,9,Knows
18,16,Edward Harp,Clemence Harp,Directed,1,9,Knows
