id,Label ,label
23,"""[S]mall town stripper""",
22,"""[Y]oung man on a passenger train""",
21,"""Haskell Indian Princess""",
42,"""Mustache"" Maude Black",
24,"Agathe (""Happy"")",
48,Asiginak,
412,Beryl Hoop,Tenny McElwayne
87,Chief Gall,
404,Clemence Harp,Narrator's Mother
410,Corwin Peace,Merlin Koppin
47,Cuthbert Peace,
74,Doctor (who Maude sent for),
406,Edward Harp,Narrator's Father
33,Edward's Students,
67,Emil Buckendorf,
292,Emil Buckendorf's First Brother,
293,Emil Buckendorf's Second Brother,
294,Emil Buckendorf's Third Brother,
44,Erling Nicolai Rolfsrud,
66,Eugene Wildstrand,
400,Evelina Harp,Narrator
401,Evelina's Ancestors,Narrator's Ancestors
63,Frederic Vogeli,
11,French Settlers,
36,French Voyageur,
408,Geraldine Milk,Philomena
10,German Settlers,
46,Holy Track,
71,Husband (of the woman murdered a couple farms over,
41,Jackie Kennedy,
57,Jesus,
26,John Wildstrand,
326,Joseph (biblical figure),
407,Joseph Harp,Narrator's Brother
411,Junesse Malaterre,Junesse
35,Junesse's Aunt,
37,Junesse's Six Younger Cousins,
28,Maggie Peace,
73,Man (who Ott shot in the leg),
136,Mary (biblical figure),
72,Neighbours (of Maude Black),
27,Neve Harp,
12,Norwegian Settlers,
29,Octave Harp,
38,Off-Reservation Dentist,
65,Oric Hoag,
32,Other Children (in school with Evelina),
43,Ott Black,
25,Priest (who Agathe left the convent for),
86,Seraph and Junesse's Other Children,
405,Seraph Milk (Mooshum),Mooshum
402,Severine Milk,Great-Uncle
403,Severine Milk's Parishioners,Great-Uncle's Parishioners
91,"The ""black-haired"" Stooge",
45,The Lochren Family,
49,The Lochren Murder,
50,The Lynching,
409,Uncle Whitey,Cousin Curtis
68,William Hotchkiss,
69,Woman (murdered a couple farms over),
30,Woman (Octave drowned himself over),
