source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
,,,,,,,
510,515,Billy Peace,John Wildstrand,Directed,1,118,Exchange
510,517,Billy Peace,Maggie Peace,Directed,1,118,Knows
,,,,,,,
515,510,John Wildstrand,Billy Peace,Directed,1,118,Exchange
515,516,John Wildstrand,John Wildstrand's Employees,Directed,1,118,Knows
515,517,John Wildstrand,Maggie Peace,Directed,1,118,Knows
515,518,John Wildstrand,Neve Harp,Directed,1,118,Exchange
516,515,John Wildstrand's Employees,John Wildstrand,Directed,1,118,Knows
517,510,Maggie Peace,Billy Peace,Directed,1,118,Knows
517,515,Maggie Peace,John Wildstrand,Directed,1,118,Knows
518,515,Neve Harp,John Wildstrand,Directed,1,118,Exchange
510,515,Billy Peace,John Wildstrand,Directed,1,119,Exchange
,,,,,,,
515,510,John Wildstrand,Billy Peace,Directed,1,119,Exchange
,,,,,,,
515,94,John Wildstrand,Louis Riel,Directed,1,119,Knows of
515,517,John Wildstrand,Maggie Peace,Directed,1,119,Knows
515,518,John Wildstrand,Neve Harp,Directed,1,119,Exchange
,,,,,,,
,,,,,,,
517,515,Maggie Peace,John Wildstrand,Directed,1,119,Knows
518,515,Neve Harp,John Wildstrand,Directed,1,119,Exchange
510,515,Billy Peace,John Wildstrand,Directed,1,120,Exchange
515,510,John Wildstrand,Billy Peace,Directed,1,120,Exchange
515,524,John Wildstrand,Corwin Peace,Directed,1,120,Knows
515,517,John Wildstrand,Maggie Peace,Directed,1,120,Knows
517,31,Maggie Peace,Corwin Peace,Directed,1,120,Knows
517,515,Maggie Peace,John Wildstrand,Directed,1,120,Knows
510,515,Billy Peace,John Wildstrand,Directed,1,121,Exchange
510,517,Billy Peace,Maggie Peace,Directed,1,121,Knows
510,518,Billy Peace,Neve Harp,Directed,1,121,Knows
515,510,John Wildstrand,Billy Peace,Directed,1,121,Exchange
515,517,John Wildstrand,Maggie Peace,Directed,1,121,Knows
