source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
16,18,Clemence Harp,Edward Harp,Directed,1,221,Knows
16,3,Clemence Harp,Evelina Harp,Directed,1,221,Knows
18,16,Edward Harp,Clemence Harp,Directed,1,221,Knows
18,3,Edward Harp,Evelina Harp,Directed,1,221,Knows
3,179,Evelina Harp,Bob Dylan,Directed,1,221,Knows of
3,16,Evelina Harp,Clemence Harp,Directed,1,221,Knows
3,18,Evelina Harp,Edward Harp,Directed,1,221,Knows
3,178,Evelina Harp,Freshmen's Parents,Directed,1,221,Knows of
3,180,Evelina Harp,Janis Joplin,Directed,1,221,Knows of
,,,,,,,
3,176,Evelina Harp,Marcus Aurelius,Directed,1,221,Knows of
3,177,Evelina Harp,Other Freshmen,Directed,1,221,Knows of
3,15,Evelina Harp,Seraph Milk (Mooshum),Directed,1,221,Knows
,,,,,,,
178,177,Freshmen's Parents,Other Freshmen,Directed,1,221,Knows
,,,,,,,
16,176,Edward Harp,Marcus Aurelius,Directed,1,221,Knows of
177,179,Other Freshmen,Bob Dylan,Directed,1,221,Knows of
177,178,Other Freshmen,Freshmen's Parents,Directed,1,221,Knows
177,180,Other Freshmen,Janis Joplin,Directed,1,221,Knows of
15,3,Seraph Milk (Mooshum),Evelina Harp,Directed,1,221,Knows
,,,,,,,
181,3,"""[W]hite girls"" (Evelina knows)",Evelina Harp,Directed,1,222,Knows
181,182,"""[W]hite girls"" (Evelina knows)",Joni Mitchell,Directed,1,222,Knows of
184,183,"""AIM-looking boyfriends""","""Indian women"" (on campus)",Directed,1,222,Knows
183,184,"""Indian women"" (on campus)","""AIM-looking boyfriends""",Directed,1,222,Knows
183,3,"""Indian women"" (on campus)",Evelina Harp,Directed,1,222,Knows
16,18,Clemence Harp,Edward Harp,Directed,1,222,Knows
16,3,Clemence Harp,Evelina Harp,Directed,1,222,Exchange
18,16,Edward Harp,Clemence Harp,Directed,1,222,Knows
18,3,Edward Harp,Evelina Harp,Directed,1,222,Exchange
3,181,Evelina Harp,"""[W]hite girls"" (Evelina knows)",Directed,1,222,Knows
3,184,Evelina Harp,"""AIM-looking boyfriends""",Directed,1,222,Knows of
3,183,Evelina Harp,"""Indian women"" (on campus)",Directed,1,222,Knows
3,16,Evelina Harp,Clemence Harp,Directed,1,222,Exchange
3,18,Evelina Harp,Edward Harp,Directed,1,222,Exchange
3,182,Evelina Harp,Joni Mitchell,Directed,1,222,Knows of
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
16,3,Clemence Harp,Evelina Harp,Directed,1,223,Knows
31,188,Corwin Peace,Anaïs Nin,Directed,1,223,Knows of
31,3,Corwin Peace,Evelina Harp,Directed,1,223,Exchange
18,3,Edward Harp,Evelina Harp,Directed,1,223,Knows
3,188,Evelina Harp,Anaïs Nin,Directed,1,223,Knows of
3,186,Evelina Harp,Arthur Rimbaud,Directed,1,223,Knows of
3,16,Evelina Harp,Clemence Harp,Directed,1,223,Knows
3,31,Evelina Harp,Corwin Peace,Directed,1,223,Exchange
3,18,Evelina Harp,Edward Harp,Directed,1,223,Knows
3,185,Evelina Harp,Evelina's Roommate,Directed,1,223,Exchange
3,17,Evelina Harp,Joseph Harp,Directed,1,223,Exchange
,,,,,,,
3,187,Evelina Harp,Sylvia Plath,Directed,1,223,Knows of
185,3,Evelina's Roommate,Evelina Harp,Directed,1,223,Exchange
17,3,Joseph Harp,Evelina Harp,Directed,1,223,Exchange
,,,,,,,
190,3,"""[L]ocal poets and hippies"" (Evelina lives with)",Evelina Harp,Directed,1,224,Knows
31,3,Corwin Peace,Evelina Harp,Directed,1,224,Knows
31,189,Corwin Peace,Evelina's friends (in Grand Forks),Directed,1,224,Knows
,,,,,,,
3,190,Evelina Harp,"""[L]ocal poets and hippies"" (Evelina lives with)",Directed,1,224,Knows
3,31,Evelina Harp,Corwin Peace,Directed,1,224,Knows
3,189,Evelina Harp,Evelina's friends (in Grand Forks),Directed,1,224,Knows
,,,,,,,
189,31,Evelina's friends (in Grand Forks),Corwin Peace,Directed,1,224,Knows
189,3,Evelina's friends (in Grand Forks),Evelina Harp,Directed,1,224,Knows
,,,,,,,
,,,,,,,
31,3,Corwin Peace,Evelina Harp,Directed,1,225,Exchange
3,188,Evelina Harp,Anaïs Nin,Directed,1,225,Knows of
3,31,Evelina Harp,Corwin Peace,Directed,1,225,Exchange
3,189,Evelina Harp,Evelina's friends (in Grand Forks),Directed,1,225,Knows
3,191,Evelina Harp,Poet (who was going underground),Directed,1,225,Exchange
189,3,Evelina's friends (in Grand Forks),Evelina Harp,Directed,1,225,Knows
191,3,Poet (who was going underground),Evelina Harp,Directed,1,225,Exchange
3,188,Evelina Harp,Anaïs Nin,Directed,1,226,Knows of
3,193,Evelina Harp,Psych I Professor,Directed,1,226,Knows
3,192,Evelina Harp,UND Students,Directed,1,226,Knows of
,,,,,,,
193,3,Psych I Professor,Evelina Harp,Directed,1,226,Knows
3,196,Evelina Harp,Mrs. L,Directed,1,227,Exchange
3,197,Evelina Harp,"Mrs. L's ""little boy""",Directed,1,227,Knows of
3,198,Evelina Harp,Nurse (who was going off duty),Directed,1,227,Exchange
3,194,Evelina Harp,Other Aides (at the state mental hospital),Directed,1,227,Knows of
3,199,Evelina Harp,Patients (at the state mental hospital),Directed,1,227,Knows of
,,,,,,,
3,8,Evelina Harp,Warren Wolde,Directed,1,227,Knows of
196,3,Mrs. L,Evelina Harp,Directed,1,227,Exchange
196,197,Mrs. L,"Mrs. L's ""little boy""",Directed,1,227,Knows
196,198,Mrs. L,Nurse (who was going off duty),Directed,1,227,Exchange
196,194,Mrs. L,Other Aides (at the state mental hospital),Directed,1,227,Exchange
196,199,Mrs. L,Patients (at the state mental hospital),Directed,1,227,Knows
196,8,Mrs. L,Warren Wolde,Directed,1,227,Knows
197,196,"Mrs. L's ""little boy""",Mrs. L,Directed,1,227,Knows
198,3,Nurse (who was going off duty),Evelina Harp,Directed,1,227,Exchange
198,196,Nurse (who was going off duty),Mrs. L,Directed,1,227,Exchange
198,8,Nurse (who was going off duty),Warren Wolde,Directed,1,227,Knows
194,196,Other Aides (at the state mental hospital),Mrs. L,Directed,1,227,Exchange
199,196,Patients (at the state mental hospital),Mrs. L,Directed,1,227,Knows
8,196,Warren Wolde,Mrs. L,Directed,1,227,Knows
8,198,Warren Wolde,Nurse (who was going off duty),Directed,1,227,Knows
,,,,,,,
3,196,Evelina Harp,Mrs. L,Directed,1,228,Exchange
3,194,Evelina Harp,Other Aides (at the state mental hospital),Directed,1,228,Knows of
3,199,Evelina Harp,Patients (at the state mental hospital),Directed,1,228,Exchange
3,49,Evelina Harp,The Lochren Murder,Directed,1,228,Knows of
3,8,Evelina Harp,Warren Wolde,Directed,1,228,Exchange
,,,,,,,
,,,,,,,
196,3,Mrs. L,Evelina Harp,Directed,1,228,Exchange
196,199,Mrs. L,Patients (at the state mental hospital),Directed,1,228,Knows
196,8,Mrs. L,Warren Wolde,Directed,1,228,Knows
199,3,Patients (at the state mental hospital),Evelina Harp,Directed,1,228,Exchange
199,196,Patients (at the state mental hospital),Mrs. L,Directed,1,228,Knows
199,8,Patients (at the state mental hospital),Warren Wolde,Directed,1,228,Exchange
,,,,,,,
8,3,Warren Wolde,Evelina Harp,Directed,1,228,Exchange
,,,,,,,
8,196,Warren Wolde,Mrs. L,Directed,1,228,Knows
8,194,Warren Wolde,Other Aides (at the state mental hospital),Directed,1,228,Exchange
8,199,Warren Wolde,Patients (at the state mental hospital),Directed,1,228,Exchange
,,,,,,,
3,201,Evelina Harp,Dwight Eisenhower,Directed,1,229,Knows of
3,202,Evelina Harp,Lucille,Directed,1,229,Exchange
3,203,Evelina Harp,Lucille's Children,Directed,1,229,Knows of
3,200,Evelina Harp,Nurses (at the state mental hospital),Directed,1,229,Exchange
3,199,Evelina Harp,Patients (at the state mental hospital),Directed,1,229,Knows
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
3,196,Evelina Harp,Mrs. L,Directed,1,230,Exchange
3,204,Evelina Harp,Nonette,Directed,1,230,Exchange
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
196,3,Mrs. L,Evelina Harp,Directed,1,230,Exchange
196,204,Mrs. L,Nonette,Directed,1,230,Exchange
204,3,Nonette,Evelina Harp,Directed,1,230,Exchange
204,196,Nonette,Mrs. L,Directed,1,230,Exchange
,,,,,,,
,,,,,,,
3,196,Evelina Harp,Mrs. L,Directed,1,231,Knows
3,204,Evelina Harp,Nonette,Directed,1,231,Exchange
3,205,Evelina Harp,Nonette's Roommates,Directed,1,231,Knows of
3,194,Evelina Harp,Other Aides (at the state mental hospital),Directed,1,231,Knows
196,3,Mrs. L,Evelina Harp,Directed,1,231,Knows
204,3,Nonette,Evelina Harp,Directed,1,231,Exchange
204,194,Nonette,Other Aides (at the state mental hospital),Directed,1,231,Knows
194,3,Other Aides (at the state mental hospital),Evelina Harp,Directed,1,231,Knows
194,204,Other Aides (at the state mental hospital),Nonette,Directed,1,231,Knows
