source,target,Character 1 <br />(choose),Character 2 <br />(choose),type,weight,startPage,category
440,443,Billy Peace,Marn Wolde,Directed,1,137,Knows
443,440,Marn Wolde,Billy Peace,Directed,1,137,Knows
443,447,Marn Wolde,Marn Wolde's Mother,Directed,1,137,Knows
447,443,Marn Wolde's Mother,Marn Wolde,Directed,1,137,Knows
440,443,Billy Peace,Marn Wolde,Directed,1,138,Exchange
440,447,Billy Peace,Marn Wolde's Mother,Directed,1,138,Exchange
443,440,Marn Wolde,Billy Peace,Directed,1,138,Exchange
443,444,Marn Wolde,Marn Wolde's Father,Directed,1,138,Knows
443,447,Marn Wolde,Marn Wolde's Mother,Directed,1,138,Knows
444,443,Marn Wolde's Father,Marn Wolde,Directed,1,138,Knows
447,440,Marn Wolde's Mother,Billy Peace,Directed,1,138,Exchange
447,443,Marn Wolde's Mother,Marn Wolde,Directed,1,138,Knows
440,443,Billy Peace,Marn Wolde,Directed,1,139,Exchange
443,440,Marn Wolde,Billy Peace,Directed,1,139,Exchange
443,444,Marn Wolde,Marn Wolde's Father,Directed,1,139,Exchange
443,445,Marn Wolde,Marn Wolde's Grandfather,Directed,1,139,Exchange
443,447,Marn Wolde,Marn Wolde's Mother,Directed,1,139,Knows
444,443,Marn Wolde's Father,Marn Wolde,Directed,1,139,Exchange
444,447,Marn Wolde's Father,Marn Wolde's Mother,Directed,1,139,Knows
445,443,Marn Wolde's Grandfather,Marn Wolde,Directed,1,139,Exchange
447,443,Marn Wolde's Mother,Marn Wolde,Directed,1,139,Knows
447,444,Marn Wolde's Mother,Marn Wolde's Father,Directed,1,139,Knows
440,443,Billy Peace,Marn Wolde,Directed,1,140,Exchange
440,447,Billy Peace,Marn Wolde's Mother,Directed,1,140,Exchange
57,445,Jesus,Marn Wolde's Grandfather,Directed,1,140,Knows
57,446,Jesus,Marn Wolde's Grandmother,Directed,1,140,Knows
443,440,Marn Wolde,Billy Peace,Directed,1,140,Exchange
443,57,Marn Wolde,Jesus,Directed,1,140,Knows of
443,444,Marn Wolde,Marn Wolde's Father,Directed,1,140,Knows
443,445,Marn Wolde,Marn Wolde's Grandfather,Directed,1,140,Knows
443,446,Marn Wolde,Marn Wolde's Grandmother,Directed,1,140,Knows
443,447,Marn Wolde,Marn Wolde's Mother,Directed,1,140,Exchange
443,8,Marn Wolde,Warren Wolde,Directed,1,140,Knows
444,443,Marn Wolde's Father,Marn Wolde,Directed,1,140,Knows
