id,Label ,label
352,"""four men"" (deserted B.J.)",
433,"""local doctor"" (Ginimoshe assisted)",Local Doctor
355,"""patients"" (of the local doctor)",
283,"""youth"" (of St. Anthony)",
356,Alexander the Great,
351,B.J. Bolt,
358,Caius Caesar,
291,Colonel LeVinne P. Poolcaugh,
360,Democritas,
285,Dorea Ann Swivel,
354,Dorea's Husband,
67,Emil Buckendorf,
292,Emil Buckendorf's First Brother,
293,Emil Buckendorf's Second Brother,
294,Emil Buckendorf's Third Brother,
298,English Bill,
,,
296,First Icelandic Woman,
432,Ginimoshe,Doctor's Dauther
430,Henri Peace,Henri Morriseau
359,Heraclitus,
279,Joseph J. Coutts,
,,
431,Lafayette Peace,Lafayette St. Pierre
286,Louisa Bird,
176,Marcus Aurelius,
136,Mary (biblical figure),
290,Odin Merrimack,
357,Pompeium,
289,Reginald Bull,
295,School District Officer,
297,Second Icelandic Woman,
361,Socrates,
284,St. Anthony,
353,St. Cloud,
288,St. Paul,
287,St. Paul Minister,
