id,Name
54,"""ancestors of Eagles"""
55,"""ancestors of Wolves"""
3,"""Eagle-Raven clan"""
36,"""Gitrhawn clan"""
49,"""glass-nosed spirit"""
37,"""Gunas"" (Laxsgiik)"
63,"""Gyaibelk"" (carved)"
73,"""His grandson"""
6,"""Hladerh"" (Laxgibuu)"
29,"""Huge-Belly"""
11,"""Indians"" (abstract)"
31,"""Ksemkaigyet"" (""female being"")"
32,"""Ksemkaigyet"" (old man)"
24,"""man with sea cockle (kal'own)"""
19,"""Neeskyinwaet"" (Laxgibuu)"
21,"""Paraet'Naerhl"""
62,"""person with ... garment (gyet)"""
51,"""Samedeek"" (Gisk'ansnaat)"
5,"""Sispagut"" (Gisk'aast)"
61,"""Sperm Whale (hlpoon)"""
69,"""the Eagle"""
41,"""the Spirit Halibut"""
50,"""the Spirit"""
59,"""Three Persons Along"" & ""Shaking Pole of Kw’axsuu"""
27,"""Yaw'l"" (Laxgibuu)"
65,"a Nass River pole"
74,"academic voice"
13,"Barton (Laxgibuu)"
16,"biographical Abel"
53,"blank (missing null option here)"
30,"brother of ""Yaw'l"" who killed ""Huge-Belly"""
28,"brothers of ""Yaw'l"" (Laxgibuu)"
56,"Caxton Printers"
71,"cedar bark squid"
38,"chief of ""Gitrhawn clan"""
66,"child Abel"
60,"collage photos"
9,"crew of Indians"
23,"Dennis Wood"
15,"fictional Barbeau"
17,"first ""'Neesyoq"" (Laxgibuu)"
34,"friends of Abel's parents"
4,"Gisk'aast (""Killer Whale Clan"")"
78,"Haida"
75,"James Deans"
26,"Jordan Abel's family"
33,"Jordan Abel's father"
25,"Jordan Abel's mother"
20,"Laxgibuu (""Wolf clan"")"
57,"Macmillan Company of Canada"
64,"man on a Nass River pole"
10,"men walking on Pole of Sagaween"
77,"nephews of ""Samedeek"""
48,"Nisg̱a’a"
7,"Oyee (""Oyai"")"
58,"Pole of Sagaween"
76,"Queen Charlotte"
8,"railway engineer"
14,"real Barbeau"
12,"residents of Git'iks"
46,"ROM admissions staff member"
72,"ROM admissions superiors"
2,"Sagaween (Laxsgiik)"
42,"Sagaween's father (Gisk'aast)"
18,"second ""'Neesyoq"" (Laxgibuu)"
22,"son of ""Paraet'Naerhl"""
1,"speaker Abel"
39,"Thunderbird"
68,"totem pole in Vancouver mall"
45,"Vancouver carvers"
67,"various totem poles in Vancouver"
44,"visitors at Sagaween's house"
80,"women related to the ""Coffin House"""
43,"women singing"
