source,target,Character 1,Character 2,type,weight,startPage,category
4,6,Cory Mitkowski,Jessica (Laura's Mom),Directed,1,9,Knows
6,4,Jessica (Laura's Mom),Cory Mitkowski,Directed,1,9,Knows
3,6,Laura Mitkowski,Jessica (Laura's Mom),Directed,1,9,Exchange
4,3,Cory Mitkowski,Laura Mitkowski,Directed,1,9,Knows
3,4,Laura Mitkowski,Cory Mitkowski,Directed,1,9,Knows
6,3,Jessica (Laura's Mom),Laura Mitkowski,Directed,1,9,Exchange
3,6,Laura Mitkowski,Jessica (Laura's Mom),Directed,1,10,Exchange
4,3,Cory Mitkowski,Laura Mitkowski,Directed,1,10,Knows
6,3,Jessica (Laura's Mom),Laura Mitkowski,Directed,1,10,Exchange
3,4,Laura Mitkowski,Cory Mitkowski,Directed,1,10,Knows
6,9,Jessica (Laura's Mom),Mr. Kamal,Directed,1,11,Knows
6,3,Jessica (Laura's Mom),Laura Mitkowski,Directed,1,11,Exchange
9,8,Mr. Kamal,Mrs. Kamal,Directed,1,11,Exchange
8,6,Mrs. Kamal,Jessica (Laura's Mom),Directed,1,11,Knows
8,3,Mrs. Kamal,Laura Mitkowski,Directed,1,11,Knows
8,9,Mrs. Kamal,Mr. Kamal,Directed,1,11,Exchange
9,3,Mr. Kamal,Laura Mitkowski,Directed,1,11,Knows
4,3,Cory Mitkowski,Laura Mitkowski,Directed,1,11,Knows
3,4,Laura Mitkowski,Cory Mitkowski,Directed,1,11,Knows
9,6,Mr. Kamal,Jessica (Laura's Mom),Directed,1,11,Knows
3,8,Laura Mitkowski,Mrs. Kamal,Directed,1,11,Knows
3,9,Laura Mitkowski,Mr. Kamal,Directed,1,11,Knows
3,6,Laura Mitkowski,Jessica (Laura's Mom),Directed,1,11,Exchange
6,8,Jessica (Laura's Mom),Mrs. Kamal,Directed,1,11,Knows
41,5,Geraldine McDonough,Hina Hassani,Directed,1,13,Exchange
41,76,Geraldine McDonough,children in the community,Directed,1,13,Knows
41,57,Geraldine McDonough,parents in the community,Directed,1,13,Knows
5,57,Hina Hassani,parents in the community,Directed,1,13,Knows of
5,41,Hina Hassani,Geraldine McDonough,Directed,1,13,Exchange
5,76,Hina Hassani,children in the community,Directed,1,13,Knows of
5,57,Hina Hassani,parents in the community,Directed,1,14,Knows of
41,42,Geraldine McDonough,Ontario Reads facilitators,Directed,1,14,Knows
41,76,Geraldine McDonough,children in the community,Directed,1,14,Knows
5,76,Hina Hassani,children in the community,Directed,1,14,Knows of
41,57,Geraldine McDonough,parents in the community,Directed,1,14,Knows
41,5,Geraldine McDonough,Hina Hassani,Directed,1,14,Exchange
42,41,Ontario Reads facilitators,Geraldine McDonough,Directed,1,14,Knows
5,42,Hina Hassani,Ontario Reads facilitators,Directed,1,14,Knows of
5,41,Hina Hassani,Geraldine McDonough,Directed,1,14,Exchange
41,5,Geraldine McDonough,Hina Hassani,Directed,1,15,Exchange
5,41,Hina Hassani,Geraldine McDonough,Directed,1,15,Exchange
14,11,Walk-in clinic receptionist (19),Marie Beaudoin,Directed,1,19,Exchange
14,10,Walk-in clinic receptionist (19),Sylvie Beaudoin,Directed,1,19,Knows
11,13,Marie Beaudoin,Mrs Abdul,Directed,1,19,Knows
14,12,Walk-in clinic receptionist (19),Johnny Beaudoin,Directed,1,19,Knows
11,10,Marie Beaudoin,Sylvie Beaudoin,Directed,1,19,Exchange
10,14,Sylvie Beaudoin,Walk-in clinic receptionist (19),Directed,1,19,Knows
11,12,Marie Beaudoin,Johnny Beaudoin,Directed,1,19,Knows
12,10,Johnny Beaudoin,Sylvie Beaudoin,Directed,1,19,Knows
11,14,Marie Beaudoin,Walk-in clinic receptionist (19),Directed,1,19,Exchange
12,14,Johnny Beaudoin,Walk-in clinic receptionist (19),Directed,1,19,Knows
10,13,Sylvie Beaudoin,Mrs Abdul,Directed,1,19,Knows
10,11,Sylvie Beaudoin,Marie Beaudoin,Directed,1,19,Exchange
10,12,Sylvie Beaudoin,Johnny Beaudoin,Directed,1,19,Knows
13,11,Mrs Abdul,Marie Beaudoin,Directed,1,19,Knows
13,10,Mrs Abdul,Sylvie Beaudoin,Directed,1,19,Knows
12,11,Johnny Beaudoin,Marie Beaudoin,Directed,1,19,Knows
10,11,Sylvie Beaudoin,Marie Beaudoin,Directed,1,20,Exchange
10,15,Sylvie Beaudoin,"""a shirtless man"" (20)",Directed,1,20,Knows
16,15,The doctor at the walk-in clinic,"""a shirtless man"" (20)",Directed,1,20,Knows of
16,14,The doctor at the walk-in clinic,Walk-in clinic receptionist (19),Directed,1,20,Knows
11,14,Marie Beaudoin,Walk-in clinic receptionist (19),Directed,1,20,Exchange
11,15,Marie Beaudoin,"""a shirtless man"" (20)",Directed,1,20,Knows
10,14,Sylvie Beaudoin,Walk-in clinic receptionist (19),Directed,1,20,Knows
10,16,Sylvie Beaudoin,The doctor at the walk-in clinic,Directed,1,20,Knows of
11,10,Marie Beaudoin,Sylvie Beaudoin,Directed,1,20,Exchange
14,10,Walk-in clinic receptionist (19),Sylvie Beaudoin,Directed,1,20,Knows
14,15,Walk-in clinic receptionist (19),"""a shirtless man"" (20)",Directed,1,20,Exchange
14,11,Walk-in clinic receptionist (19),Marie Beaudoin,Directed,1,20,Exchange
15,16,"""a shirtless man"" (20)",The doctor at the walk-in clinic,Directed,1,20,Knows of
15,10,"""a shirtless man"" (20)",Sylvie Beaudoin,Directed,1,20,Knows
14,16,Walk-in clinic receptionist (19),The doctor at the walk-in clinic,Directed,1,20,Knows
15,11,"""a shirtless man"" (20)",Marie Beaudoin,Directed,1,20,Knows
15,14,"""a shirtless man"" (20)",Walk-in clinic receptionist (19),Directed,1,20,Exchange
11,18,Marie Beaudoin,Parker's mom,Directed,1,21,Knows
17,18,Parker,Parker's mom,Directed,1,21,Exchange
10,11,Sylvie Beaudoin,Marie Beaudoin,Directed,1,21,Exchange
10,18,Sylvie Beaudoin,Parker's mom,Directed,1,21,Knows
10,17,Sylvie Beaudoin,Parker,Directed,1,21,Knows
11,10,Marie Beaudoin,Sylvie Beaudoin,Directed,1,21,Exchange
11,17,Marie Beaudoin,Parker,Directed,1,21,Knows
18,17,Parker's mom,Parker,Directed,1,21,Exchange
16,14,The doctor at the walk-in clinic,Walk-in clinic receptionist (19),Directed,1,22,Exchange
14,11,Walk-in clinic receptionist (19),Marie Beaudoin,Directed,1,22,Knows
10,14,Sylvie Beaudoin,Walk-in clinic receptionist (19),Directed,1,22,Knows
