id,Title,Level,Start Page,End Page,Narrator,Protagonist,Embed. Type
2,"Laura (0) I","level 1 (section)","9","11","Laura Mitkowski","Laura Mitkowski","[NULL]"
3,"Fall","level 1 (section)","16","99","[NULL]","[NULL]","[NULL]"
4,"Sylvie (part 1) I","level 2 (sub-section)","19","30","Sylvie Beaudoin","Sylvie Beaudoin","[NULL]"
5,"Daily Report: September 14, 2011","level 2 (sub-section)","31","34","Hina Hassani","[NULL]","Letter"
6,"Bing (1) I","level 2 (sub-section)","35","40","Bing/Bernard Espiritu","Bing/Bernard Espiritu","[NULL]"
7,"Cory (1) I","level 2 (sub-section)","41","49","[NULL]","Cory Mitkowski","[NULL]"
8,"Ontario Reads Literacy Program, June 6, 2011","level 1 (section)","13","15","Geraldine McDonough","[NULL]","Letter"
9,"Daily Report: September 22, 2011","level 2 (sub-section)","50","53","Hina Hassani","[NULL]","Letter"
10,"Jane Fulton <jfulton@ontarioreads.ca> September 22, 2011, 1:15 a.m.","level 2 (sub-section)","54","55","Jane Fulton","[NULL]","Letter"
11,"Me <hhassani@ontarioreads.ca> September 22, 2011, 11:50 a.m.","level 2 (sub-section)","55","56","Hina Hassani","[NULL]","Letter"
12,"Jane Fulton <jfulton@ontarioreads.ca> September 22, 2011, 2:30 p.m.","level 2 (sub-section)","56","57","Jane Fulton","[NULL]","Letter"
13,"Laura (1) I","level 2 (sub-section)","59","62","[NULL]","Laura Mitkowski","[NULL]"
14,"Bing (1) II","level 2 (sub-section)","63","66","Bing/Bernard Espiritu","Bing/Bernard Espiritu","[NULL]"
15,"Sylvie (1) II","level 2 (sub-section)","67","80","Sylvie Beaudoin","Sylvie Beaudoin","[NULL]"
16,"Cory (1) II","level 2 (sub-section)","81","85","[NULL]","Cory Mitkowski","[NULL]"
17,"Laura (1) II","level 2 (sub-section)","87","88","[NULL]","Laura Mitkowski","[NULL]"
18,"Bing (1) III","level 2 (sub-section)","89","93","Bing/Bernard Espiritu","Bing/Bernard Espiritu","[NULL]"
19,"Daily Report: October 31st, 2011","level 2 (sub-section)","94","96","Hina Hassani","Hina Hassani","Letter"
20,"Jane Fulton <jfulton@ontarioreads.ca> November 1st, 2011, 10:22am","level 2 (sub-section)","97","98","Jane Fulton","[NULL]","Letter"
21,"Me <hhassani@ontarioreads.ca> November 1, 2011, 1:15pm","level 2 (sub-section)","98","99","Hina Hassani","[NULL]","Letter"
22,"Winter","level 1 (section)","101","190","[NULL]","[NULL]","[NULL]"
23,"Sylvie (2) I","level 2 (sub-section)","103","112","Sylvie Beaudoin","Sylvie Beaudoin","[NULL]"
24,"Bing (2) I","level 2 (sub-section)","113","115","Bing/Bernard Espiritu","Bing/Bernard Espiritu","[NULL]"
25,"Cory (2) I","level 2 (sub-section)","117","121","[NULL]","Cory Mitkowski","[NULL]"
26,"Laura (2) I","level 2 (sub-section)","123","127","[NULL]","Laura Mitkowski","[NULL]"
27,"Ms Hina (2) I","level 2 (sub-section)","129","135","Hina Hassani","Hina Hassani","[NULL]"
28,"Sylvie (2) II","level 2 (sub-section)","137","138","Sylvie Beaudoin","Sylvie Beaudoin","[NULL]"
29,"Michelle","level 2 (sub-section)","139","142","Michelle","Michelle","[NULL]"
