source,target,Char 1 Name,Char 2 Name,startPage,type,weight
20,46,Frank Mahon,Bobby's Grandad,9,Undirected,1
1,46,Bobby Mahon,Bobby's Grandad,9,Undirected,1
1,20,Bobby Mahon,Frank Mahon,9,Undirected,1
1,147,Bobby Mahon,The parish,10,Undirected,1
49,20,Eamonn Burke,Frank Mahon,10,Undirected,1
1,47,Bobby Mahon,"""the Pope"" (Seán Pól)",10,Undirected,1
47,20,"""the Pope"" (Seán Pól)",Frank Mahon,10,Undirected,1
47,147,"""the Pope"" (Seán Pól)",The parish,10,Undirected,1
47,22,"""the Pope"" (Seán Pól)",Pokey Burke,10,Undirected,1
49,147,Eamonn Burke,The parish,10,Undirected,1
49,22,Eamonn Burke,Pokey Burke,10,Undirected,1
147,20,The parish,Frank Mahon,10,Undirected,1
47,52,"""the Pope"" (Seán Pól)","""the boys"" (who worked for Pokey)",10,Undirected,1
2,48,Josie Burke,Eileen Burke,10,Undirected,1
1,49,Bobby Mahon,Eamonn Burke,10,Undirected,1
50,52,Mickey Briars,"""the boys"" (who worked for Pokey)",10,Undirected,1
1,50,Bobby Mahon,Mickey Briars,10,Undirected,1
2,52,Josie Burke,"""the boys"" (who worked for Pokey)",10,Undirected,1
48,49,Eileen Burke,Eamonn Burke,10,Undirected,1
2,49,Josie Burke,Eamonn Burke,10,Undirected,1
47,50,"""the Pope"" (Seán Pól)",Mickey Briars,10,Undirected,1
48,147,Eileen Burke,The parish,10,Undirected,1
48,22,Eileen Burke,Pokey Burke,10,Undirected,1
20,22,Frank Mahon,Pokey Burke,10,Undirected,1
2,47,Josie Burke,"""the Pope"" (Seán Pól)",10,Undirected,1
1,48,Bobby Mahon,Eileen Burke,10,Undirected,1
2,50,Josie Burke,Mickey Briars,10,Undirected,1
48,50,Eileen Burke,Mickey Briars,10,Undirected,1
49,52,Eamonn Burke,"""the boys"" (who worked for Pokey)",10,Undirected,1
48,20,Eileen Burke,Frank Mahon,10,Undirected,1
2,20,Josie Burke,Frank Mahon,10,Undirected,1
47,49,"""the Pope"" (Seán Pól)",Eamonn Burke,10,Undirected,1
48,52,Eileen Burke,"""the boys"" (who worked for Pokey)",10,Undirected,1
147,52,The parish,"""the boys"" (who worked for Pokey)",10,Undirected,1
50,22,Mickey Briars,Pokey Burke,10,Undirected,1
50,147,Mickey Briars,The parish,10,Undirected,1
52,22,"""the boys"" (who worked for Pokey)",Pokey Burke,10,Undirected,1
1,22,Bobby Mahon,Pokey Burke,10,Undirected,1
49,50,Eamonn Burke,Mickey Briars,10,Undirected,1
147,22,The parish,Pokey Burke,10,Undirected,1
2,147,Josie Burke,The parish,10,Undirected,1
47,48,"""the Pope"" (Seán Pól)",Eileen Burke,10,Undirected,1
2,22,Josie Burke,Pokey Burke,10,Undirected,1
1,20,Bobby Mahon,Frank Mahon,10,Undirected,1
20,52,Frank Mahon,"""the boys"" (who worked for Pokey)",10,Undirected,1
50,20,Mickey Briars,Frank Mahon,10,Undirected,1
1,2,Bobby Mahon,Josie Burke,10,Undirected,1
1,52,Bobby Mahon,"""the boys"" (who worked for Pokey)",10,Undirected,1
1,12,Bobby Mahon,Seanie Shaper (Sean Shanahan),11,Undirected,1
12,22,Seanie Shaper (Sean Shanahan),Pokey Burke,11,Undirected,1
6,12,Timmy Hanrahan,Seanie Shaper (Sean Shanahan),11,Undirected,1
1,6,Bobby Mahon,Timmy Hanrahan,11,Undirected,1
72,12,Ciss Brien,Seanie Shaper (Sean Shanahan),11,Undirected,1
50,52,Mickey Briars,"""the boys"" (who worked for Pokey)",11,Undirected,1
1,52,Bobby Mahon,"""the boys"" (who worked for Pokey)",11,Undirected,1
12,50,Seanie Shaper (Sean Shanahan),Mickey Briars,11,Undirected,1
50,22,Mickey Briars,Pokey Burke,11,Undirected,1
6,50,Timmy Hanrahan,Mickey Briars,11,Undirected,1
6,72,Timmy Hanrahan,Ciss Brien,11,Undirected,1
1,50,Bobby Mahon,Mickey Briars,11,Undirected,1
12,52,Seanie Shaper (Sean Shanahan),"""the boys"" (who worked for Pokey)",11,Undirected,1
72,22,Ciss Brien,Pokey Burke,11,Undirected,1
1,22,Bobby Mahon,Pokey Burke,11,Undirected,1
72,52,Ciss Brien,"""the boys"" (who worked for Pokey)",11,Undirected,1
52,22,"""the boys"" (who worked for Pokey)",Pokey Burke,11,Undirected,1
