source,target,Char 1 Name,Char 2 Name,startPage,type,weight
6,15,Dill Harris,Mayella Ewell,3,Undirected,1
10,14,Boo Radley,Bob Ewell,3,Undirected,1
13,16,General Andrew Jackson,Simon Finch,3,Undirected,1
15,16,Mayella Ewell,Simon Finch,3,Undirected,1
6,13,Dill Harris,General Andrew Jackson,3,Undirected,1
6,16,Dill Harris,Simon Finch,3,Undirected,1
5,8,Scout Finch,Jem Finch,3,Undirected,1
5,14,Scout Finch,Bob Ewell,3,Undirected,1
8,10,Jem Finch,Boo Radley,3,Undirected,1
8,16,Jem Finch,Simon Finch,3,Undirected,1
10,13,Boo Radley,General Andrew Jackson,3,Undirected,1
9,15,Atticus Finch,Mayella Ewell,3,Undirected,1
8,13,Jem Finch,General Andrew Jackson,3,Undirected,1
10,16,Boo Radley,Simon Finch,3,Undirected,1
13,15,General Andrew Jackson,Mayella Ewell,3,Undirected,1
6,9,Dill Harris,Atticus Finch,3,Undirected,1
9,13,Atticus Finch,General Andrew Jackson,3,Undirected,1
9,16,Atticus Finch,Simon Finch,3,Undirected,1
6,10,Dill Harris,Boo Radley,3,Undirected,1
5,15,Scout Finch,Mayella Ewell,3,Undirected,1
14,16,Bob Ewell,Simon Finch,3,Undirected,1
5,13,Scout Finch,General Andrew Jackson,3,Undirected,1
8,14,Jem Finch,Bob Ewell,3,Undirected,1
5,16,Scout Finch,Simon Finch,3,Undirected,1
8,9,Jem Finch,Atticus Finch,3,Undirected,1
9,14,Atticus Finch,Bob Ewell,3,Undirected,1
8,15,Jem Finch,Mayella Ewell,3,Undirected,1
10,15,Boo Radley,Mayella Ewell,3,Undirected,1
5,10,Scout Finch,Boo Radley,3,Undirected,1
6,8,Dill Harris,Jem Finch,3,Undirected,1
6,14,Dill Harris,Bob Ewell,3,Undirected,1
5,6,Scout Finch,Dill Harris,3,Undirected,1
5,9,Scout Finch,Atticus Finch,3,Undirected,1
14,15,Bob Ewell,Mayella Ewell,3,Undirected,1
9,10,Atticus Finch,Boo Radley,3,Undirected,1
13,14,General Andrew Jackson,Bob Ewell,3,Undirected,1
17,20,Methodists,"""Three slaves""",4,Undirected,1
19,20,God,"""Three slaves""",4,Undirected,1
16,21,Simon Finch,Simon Finch's wife,4,Undirected,1
16,18,Simon Finch,John Wesley,4,Undirected,1
18,21,John Wesley,Simon Finch's wife,4,Undirected,1
9,21,Atticus Finch,Simon Finch's wife,4,Undirected,1
17,19,Methodists,God,4,Undirected,1
5,20,Scout Finch,"""Three slaves""",4,Undirected,1
9,18,Atticus Finch,John Wesley,4,Undirected,1
16,17,Simon Finch,Methodists,4,Undirected,1
9,19,Atticus Finch,God,4,Undirected,1
20,21,"""Three slaves""",Simon Finch's wife,4,Undirected,1
5,21,Scout Finch,Simon Finch's wife,4,Undirected,1
5,17,Scout Finch,Methodists,4,Undirected,1
5,18,Scout Finch,John Wesley,4,Undirected,1
9,16,Atticus Finch,Simon Finch,4,Undirected,1
16,20,Simon Finch,"""Three slaves""",4,Undirected,1
18,20,John Wesley,"""Three slaves""",4,Undirected,1
5,16,Scout Finch,Simon Finch,4,Undirected,1
17,21,Methodists,Simon Finch's wife,4,Undirected,1
17,18,Methodists,John Wesley,4,Undirected,1
5,19,Scout Finch,God,4,Undirected,1
19,21,God,Simon Finch's wife,4,Undirected,1
9,20,Atticus Finch,"""Three slaves""",4,Undirected,1
16,19,Simon Finch,God,4,Undirected,1
18,19,John Wesley,God,4,Undirected,1
5,9,Scout Finch,Atticus Finch,4,Undirected,1
9,17,Atticus Finch,Methodists,4,Undirected,1
5,9,Scout Finch,Atticus Finch,5,Undirected,1
9,28,Atticus Finch,Maycomb's leading blacksmith,5,Undirected,1
22,28,"John Hale ""Jack"" Finch",Maycomb's leading blacksmith,5,Undirected,1
9,16,Atticus Finch,Simon Finch,5,Undirected,1
16,125,Simon Finch,Judge Taylor,5,Undirected,1
9,22,Atticus Finch,"John Hale ""Jack"" Finch",5,Undirected,1
7,125,Alexandra Finch,Judge Taylor,5,Undirected,1
5,26,Scout Finch,The Haverfords,5,Undirected,1
22,125,"John Hale ""Jack"" Finch",Judge Taylor,5,Undirected,1
26,28,The Haverfords,Maycomb's leading blacksmith,5,Undirected,1
9,125,Atticus Finch,Judge Taylor,5,Undirected,1
23,26,Jimmy Hancock,The Haverfords,5,Undirected,1
5,23,Scout Finch,Jimmy Hancock,5,Undirected,1
26,125,The Haverfords,Judge Taylor,5,Undirected,1
16,23,Simon Finch,Jimmy Hancock,5,Undirected,1
7,9,Alexandra Finch,Atticus Finch,5,Undirected,1
7,28,Alexandra Finch,Maycomb's leading blacksmith,5,Undirected,1
5,125,Scout Finch,Judge Taylor,5,Undirected,1
16,28,Simon Finch,Maycomb's leading blacksmith,5,Undirected,1
7,22,Alexandra Finch,"John Hale ""Jack"" Finch",5,Undirected,1
16,26,Simon Finch,The Haverfords,5,Undirected,1
7,23,Alexandra Finch,Jimmy Hancock,5,Undirected,1
7,26,Alexandra Finch,The Haverfords,5,Undirected,1
28,125,Maycomb's leading blacksmith,Judge Taylor,5,Undirected,1
22,23,"John Hale ""Jack"" Finch",Jimmy Hancock,5,Undirected,1
23,28,Jimmy Hancock,Maycomb's leading blacksmith,5,Undirected,1
5,16,Scout Finch,Simon Finch,5,Undirected,1
5,7,Scout Finch,Alexandra Finch,5,Undirected,1
5,22,Scout Finch,"John Hale ""Jack"" Finch",5,Undirected,1
5,28,Scout Finch,Maycomb's leading blacksmith,5,Undirected,1
9,26,Atticus Finch,The Haverfords,5,Undirected,1
9,23,Atticus Finch,Jimmy Hancock,5,Undirected,1
7,16,Alexandra Finch,Simon Finch,5,Undirected,1
23,125,Jimmy Hancock,Judge Taylor,5,Undirected,1
16,22,Simon Finch,"John Hale ""Jack"" Finch",5,Undirected,1
22,26,"John Hale ""Jack"" Finch",The Haverfords,5,Undirected,1
22,24,"John Hale ""Jack"" Finch",Calpurnia,6,Undirected,1
1,8,Test 1,Jem Finch,6,Undirected,1
2,16,Test 2,Simon Finch,6,Undirected,1
0,22,[NULL],"John Hale ""Jack"" Finch",6,Undirected,1
2,22,Test 2,"John Hale ""Jack"" Finch",6,Undirected,1
5,8,Scout Finch,Jem Finch,6,Undirected,1
0,9,[NULL],Atticus Finch,6,Undirected,1
