source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
9,8,Atticus Finch,Jem Finch,Directed,1,3,Exchange,Scout Finch
8,5,Jem Finch,Scout Finch,Directed,1,3,Exchange,Scout Finch
5,8,Scout Finch,Jem Finch,Directed,1,3,Exchange,Scout Finch
8,9,Jem Finch,Atticus Finch,Directed,1,3,Exchange,Scout Finch
5,9,Scout Finch,Atticus Finch,Directed,1,3,Exchange,Scout Finch
9,5,Atticus Finch,Scout Finch,Directed,1,3,Exchange,Scout Finch
16,20,Simon Finch,"""Three slaves""",Directed,1,4,Exchange,Scout Finch
21,16,Simon Finch's wife,Simon Finch,Directed,1,4,Exchange,Scout Finch
16,21,Simon Finch,Simon Finch's wife,Directed,1,4,Exchange,Scout Finch
20,16,"""Three slaves""",Simon Finch,Directed,1,4,Exchange,Scout Finch
28,26,Maycomb's leading blacksmith,The Haverfords,Directed,1,5,Exchange,Scout Finch
7,23,Alexandra Finch,Jimmy Hancock,Directed,1,5,Exchange,Scout Finch
125,9,Judge Taylor,Atticus Finch,Directed,1,5,Exchange,Scout Finch
9,26,Atticus Finch,The Haverfords,Directed,1,5,Exchange,Scout Finch
125,26,Judge Taylor,The Haverfords,Directed,1,5,Exchange,Scout Finch
23,7,Jimmy Hancock,Alexandra Finch,Directed,1,5,Exchange,Scout Finch
26,28,The Haverfords,Maycomb's leading blacksmith,Directed,1,5,Exchange,Scout Finch
26,9,The Haverfords,Atticus Finch,Directed,1,5,Exchange,Scout Finch
26,125,The Haverfords,Judge Taylor,Directed,1,5,Exchange,Scout Finch
9,125,Atticus Finch,Judge Taylor,Directed,1,5,Exchange,Scout Finch
6,5,Dill Harris,Scout Finch,Directed,1,8,Exchange,Scout Finch
8,6,Jem Finch,Dill Harris,Directed,1,8,Exchange,Scout Finch
5,8,Scout Finch,Jem Finch,Directed,1,8,Exchange,Scout Finch
6,8,Dill Harris,Jem Finch,Directed,1,8,Exchange,Scout Finch
8,5,Jem Finch,Scout Finch,Directed,1,8,Exchange,Scout Finch
5,6,Scout Finch,Dill Harris,Directed,1,8,Exchange,Scout Finch
6,5,Dill Harris,Scout Finch,Directed,1,9,Exchange,Scout Finch
5,8,Scout Finch,Jem Finch,Directed,1,9,Exchange,Scout Finch
8,5,Jem Finch,Scout Finch,Directed,1,9,Exchange,Scout Finch
8,6,Jem Finch,Dill Harris,Directed,1,9,Exchange,Scout Finch
6,8,Dill Harris,Jem Finch,Directed,1,9,Exchange,Scout Finch
5,6,Scout Finch,Dill Harris,Directed,1,9,Exchange,Scout Finch
10,125,Boo Radley,Judge Taylor,Directed,1,12,Exchange,Scout Finch
48,49,The Cunninghams,Mr. Conner,Directed,1,12,Exchange,Scout Finch
48,125,The Cunninghams,Judge Taylor,Directed,1,12,Exchange,Scout Finch
10,49,Boo Radley,Mr. Conner,Directed,1,12,Exchange,Scout Finch
48,10,The Cunninghams,Boo Radley,Directed,1,12,Exchange,Scout Finch
125,48,Judge Taylor,The Cunninghams,Directed,1,12,Exchange,Scout Finch
125,10,Judge Taylor,Boo Radley,Directed,1,12,Exchange,Scout Finch
49,48,Mr. Conner,The Cunninghams,Directed,1,12,Exchange,Scout Finch
49,125,Mr. Conner,Judge Taylor,Directed,1,12,Exchange,Scout Finch
49,10,Mr. Conner,Boo Radley,Directed,1,12,Exchange,Scout Finch
10,48,Boo Radley,The Cunninghams,Directed,1,12,Exchange,Scout Finch
125,49,Judge Taylor,Mr. Conner,Directed,1,12,Exchange,Scout Finch
8,51,Jem Finch,Miss Stephanie Crawford,Directed,1,13,Exchange,Scout Finch
47,125,Mr. Radley,Judge Taylor,Directed,1,13,Exchange,Scout Finch
