source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
66,98,Rafaela Cortés,Bobby Ngu,Directed,1,4,Knows,[NULL]
149,69,Rodriguez,Gabriel Balboa,Directed,1,4,Knows,[NULL]
149,66,Rodriguez,Rafaela Cortés,Directed,1,4,Knows,[NULL]
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,4,Exchange,[NULL]
66,145,Rafaela Cortés,Sol,Directed,1,4,Knows,[NULL]
98,66,Bobby Ngu,Rafaela Cortés,Directed,1,4,Knows,[NULL]
66,149,Rafaela Cortés,Rodriguez,Directed,1,4,Knows,[NULL]
145,66,Sol,Rafaela Cortés,Directed,1,4,Knows,[NULL]
69,149,Gabriel Balboa,Rodriguez,Directed,1,4,Knows,[NULL]
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,4,Exchange,[NULL]
69,98,Gabriel Balboa,Bobby Ngu,Directed,1,4,Knows,[NULL]
98,69,Bobby Ngu,Gabriel Balboa,Directed,1,4,Knows,[NULL]
69,150,Gabriel Balboa,Pancho Villa,Directed,1,5,Knows of,[NULL]
98,66,Bobby Ngu,Rafaela Cortés,Directed,1,5,Knows,[NULL]
66,149,Rafaela Cortés,Rodriguez,Directed,1,5,Knows,[NULL]
149,66,Rodriguez,Rafaela Cortés,Directed,1,5,Knows,[NULL]
69,149,Gabriel Balboa,Rodriguez,Directed,1,5,Knows,[NULL]
69,96,Gabriel Balboa,workers at Gabriel's house,Directed,1,5,Knows,[NULL]
152,69,Gabriel's Grandfather,Gabriel Balboa,Directed,1,5,Knows of,[NULL]
98,69,Bobby Ngu,Gabriel Balboa,Directed,1,5,Knows,[NULL]
149,69,Rodriguez,Gabriel Balboa,Directed,1,5,Knows,[NULL]
152,96,Gabriel's Grandfather,workers at Gabriel's house,Directed,1,5,Knows,[NULL]
66,98,Rafaela Cortés,Bobby Ngu,Directed,1,5,Knows,[NULL]
150,152,Pancho Villa,Gabriel's Grandfather,Directed,1,5,Knows,[NULL]
150,96,Pancho Villa,workers at Gabriel's house,Directed,1,5,Knows of,[NULL]
69,151,Gabriel Balboa,Gabriel's Grandmother,Directed,1,5,Knows of,[NULL]
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,5,Exchange,[NULL]
69,152,Gabriel Balboa,Gabriel's Grandfather,Directed,1,5,Knows of,[NULL]
66,96,Rafaela Cortés,workers at Gabriel's house,Directed,1,5,Knows,[NULL]
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,5,Exchange,[NULL]
69,98,Gabriel Balboa,Bobby Ngu,Directed,1,5,Knows,[NULL]
96,69,workers at Gabriel's house,Gabriel Balboa,Directed,1,5,Knows,[NULL]
96,152,workers at Gabriel's house,Gabriel's Grandfather,Directed,1,5,Knows,[NULL]
96,150,workers at Gabriel's house,Pancho Villa,Directed,1,5,Knows of,[NULL]
96,66,workers at Gabriel's house,Rafaela Cortés,Directed,1,5,Knows,[NULL]
152,150,Gabriel's Grandfather,Pancho Villa,Directed,1,5,Knows,[NULL]
150,69,Pancho Villa,Gabriel Balboa,Directed,1,5,Knows of,[NULL]
69,96,Gabriel Balboa,workers at Gabriel's house,Directed,1,6,Knows,[NULL]
69,98,Gabriel Balboa,Bobby Ngu,Directed,1,6,Knows,[NULL]
145,69,Sol,Gabriel Balboa,Directed,1,6,Knows,[NULL]
98,69,Bobby Ngu,Gabriel Balboa,Directed,1,6,Knows,[NULL]
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,6,Exchange,[NULL]
98,145,Bobby Ngu,Sol,Directed,1,6,Knows,[NULL]
145,98,Sol,Bobby Ngu,Directed,1,6,Knows,[NULL]
152,69,Gabriel's Grandfather,Gabriel Balboa,Directed,1,6,Knows of,[NULL]
152,151,Gabriel's Grandfather,Gabriel's Grandmother,Directed,1,6,Knows,[NULL]
151,152,Gabriel's Grandmother,Gabriel's Grandfather,Directed,1,6,Knows,[NULL]
66,145,Rafaela Cortés,Sol,Directed,1,6,Knows,[NULL]
69,151,Gabriel Balboa,Gabriel's Grandmother,Directed,1,6,Knows of,[NULL]
69,152,Gabriel Balboa,Gabriel's Grandfather,Directed,1,6,Knows of,[NULL]
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,6,Exchange,[NULL]
96,69,workers at Gabriel's house,Gabriel Balboa,Directed,1,6,Knows,[NULL]
69,145,Gabriel Balboa,Sol,Directed,1,6,Knows,[NULL]
145,66,Sol,Rafaela Cortés,Directed,1,6,Knows,[NULL]
98,69,Bobby Ngu,Gabriel Balboa,Directed,1,7,Knows,[NULL]
145,66,Sol,Rafaela Cortés,Directed,1,7,Knows,[NULL]
143,145,Doña Maria,Sol,Directed,1,7,Exchange,[NULL]
145,69,Sol,Gabriel Balboa,Directed,1,7,Knows,[NULL]
69,98,Gabriel Balboa,Bobby Ngu,Directed,1,7,Knows,[NULL]
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,7,Exchange,[NULL]
145,143,Sol,Doña Maria,Directed,1,7,Exchange,[NULL]
66,148,Rafaela Cortés,Rafaela's Mother,Directed,1,7,Knows,[NULL]
69,146,Gabriel Balboa,Pepe Cortés,Directed,1,7,Knows of,[NULL]
66,145,Rafaela Cortés,Sol,Directed,1,7,Knows,[NULL]
148,69,Rafaela's Mother,Gabriel Balboa,Directed,1,7,Knows,[NULL]
148,66,Rafaela's Mother,Rafaela Cortés,Directed,1,7,Knows,[NULL]
66,146,Rafaela Cortés,Pepe Cortés,Directed,1,7,Knows,[NULL]
98,143,Bobby Ngu,Doña Maria,Directed,1,7,Knows,[NULL]
69,148,Gabriel Balboa,Rafaela's Mother,Directed,1,7,Knows,[NULL]
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,7,Exchange,[NULL]
66,143,Rafaela Cortés,Doña Maria,Directed,1,7,Exchange,[NULL]
146,66,Pepe Cortés,Rafaela Cortés,Directed,1,7,Knows,[NULL]
143,98,Doña Maria,Bobby Ngu,Directed,1,7,Knows,[NULL]
69,145,Gabriel Balboa,Sol,Directed,1,7,Knows,[NULL]
143,66,Doña Maria,Rafaela Cortés,Directed,1,7,Exchange,[NULL]
148,66,Rafaela's Mother,Rafaela Cortés,Directed,1,8,Knows,[NULL]
66,154,Rafaela Cortés,Rafaela's Father,Directed,1,8,Knows,[NULL]
66,155,Rafaela Cortés,Rafaela's Great-Great-Grandfather,Directed,1,8,Knows of,[NULL]
143,156,Doña Maria,Lupe,Directed,1,8,Exchange,[NULL]
156,66,Lupe,Rafaela Cortés,Directed,1,8,Knows,[NULL]
143,66,Doña Maria,Rafaela Cortés,Directed,1,8,Exchange,[NULL]
156,143,Lupe,Doña Maria,Directed,1,8,Exchange,[NULL]
145,143,Sol,Doña Maria,Directed,1,8,Knows,[NULL]
143,154,Doña Maria,Rafaela's Father,Directed,1,8,Knows of,[NULL]
143,155,Doña Maria,Rafaela's Great-Great-Grandfather,Directed,1,8,Knows of,[NULL]
143,148,Doña Maria,Rafaela's Mother,Directed,1,8,Knows of,[NULL]
66,145,Rafaela Cortés,Sol,Directed,1,8,Knows,[NULL]
158,143,Hernando (Dona Maria's son),Doña Maria,Directed,1,8,Knows,[NULL]
143,145,Doña Maria,Sol,Directed,1,8,Knows,[NULL]
154,66,Rafaela's Father,Rafaela Cortés,Directed,1,8,Knows,[NULL]
154,148,Rafaela's Father,Rafaela's Mother,Directed,1,8,Knows,[NULL]
98,66,Bobby Ngu,Rafaela Cortés,Directed,1,8,Knows,[NULL]
66,98,Rafaela Cortés,Bobby Ngu,Directed,1,8,Knows,[NULL]
66,148,Rafaela Cortés,Rafaela's Mother,Directed,1,8,Knows,[NULL]
148,154,Rafaela's Mother,Rafaela's Father,Directed,1,8,Knows,[NULL]
143,158,Doña Maria,Hernando (Dona Maria's son),Directed,1,8,Knows,[NULL]
145,66,Sol,Rafaela Cortés,Directed,1,8,Knows,[NULL]
66,158,Rafaela Cortés,Hernando (Dona Maria's son),Directed,1,8,Knows of,[NULL]
98,143,Bobby Ngu,Doña Maria,Directed,1,8,Knows,[NULL]
143,98,Doña Maria,Bobby Ngu,Directed,1,8,Knows,[NULL]
66,143,Rafaela Cortés,Doña Maria,Directed,1,8,Exchange,[NULL]
66,156,Rafaela Cortés,Lupe,Directed,1,8,Knows,[NULL]
66,158,Rafaela Cortés,Hernando (Dona Maria's son),Directed,1,9,Knows of,[NULL]
157,143,Benito,Doña Maria,Directed,1,9,Knows,[NULL]
66,78,Rafaela Cortés,God,Directed,1,9,Knows,[NULL]
66,145,Rafaela Cortés,Sol,Directed,1,9,Knows,[NULL]
143,157,Doña Maria,Benito,Directed,1,9,Knows,[NULL]
78,143,God,Doña Maria,Directed,1,9,Knows,[NULL]
66,204,Rafaela Cortés,Doña Maria's Sister,Directed,1,9,Knows,[NULL]
158,203,Hernando (Dona Maria's son),tourists,Directed,1,9,Knows of,[NULL]
66,203,Rafaela Cortés,tourists,Directed,1,9,Knows of,[NULL]
143,145,Doña Maria,Sol,Directed,1,9,Knows,[NULL]
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,9,Knows,[NULL]
158,143,Hernando (Dona Maria's son),Doña Maria,Directed,1,9,Knows,[NULL]
78,66,God,Rafaela Cortés,Directed,1,9,Knows,[NULL]
157,66,Benito,Rafaela Cortés,Directed,1,9,Knows of,[NULL]
143,66,Doña Maria,Rafaela Cortés,Directed,1,9,Exchange,[NULL]
156,143,Lupe,Doña Maria,Directed,1,9,Knows,[NULL]
143,158,Doña Maria,Hernando (Dona Maria's son),Directed,1,9,Knows,[NULL]
145,143,Sol,Doña Maria,Directed,1,9,Knows,[NULL]
143,78,Doña Maria,God,Directed,1,9,Knows,[NULL]
66,157,Rafaela Cortés,Benito,Directed,1,9,Knows of,[NULL]
143,69,Doña Maria,Gabriel Balboa,Directed,1,9,Knows,[NULL]
143,204,Doña Maria,Doña Maria's Sister,Directed,1,9,Knows,[NULL]
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,9,Knows,[NULL]
66,143,Rafaela Cortés,Doña Maria,Directed,1,9,Exchange,[NULL]
143,156,Doña Maria,Lupe,Directed,1,9,Knows,[NULL]
66,156,Rafaela Cortés,Lupe,Directed,1,9,Knows,[NULL]
69,203,Gabriel Balboa,tourists,Directed,1,9,Knows of,[NULL]
69,143,Gabriel Balboa,Doña Maria,Directed,1,9,Knows,[NULL]
204,143,Doña Maria's Sister,Doña Maria,Directed,1,9,Knows,[NULL]
143,203,Doña Maria,tourists,Directed,1,9,Knows of,[NULL]
156,66,Lupe,Rafaela Cortés,Directed,1,9,Knows,[NULL]
145,66,Sol,Rafaela Cortés,Directed,1,9,Knows,[NULL]
204,66,Doña Maria's Sister,Rafaela Cortés,Directed,1,9,Knows,[NULL]
98,66,Bobby Ngu,Rafaela Cortés,Directed,1,10,Knows,[NULL]
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,10,Exchange,[NULL]
66,145,Rafaela Cortés,Sol,Directed,1,10,Knows,[NULL]
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,10,Exchange,[NULL]
66,98,Rafaela Cortés,Bobby Ngu,Directed,1,10,Knows,[NULL]
143,145,Doña Maria,Sol,Directed,1,10,Knows,[NULL]
145,143,Sol,Doña Maria,Directed,1,10,Knows,[NULL]
145,66,Sol,Rafaela Cortés,Directed,1,10,Knows,[NULL]
66,224,Rafaela Cortés,The Orange,Directed,1,11,Knows,[NULL]
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,11,Knows,[NULL]
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,11,Knows,[NULL]
66,144,Rafaela Cortés,L.C. Tibbets,Directed,1,11,Knows of,[NULL]
69,144,Gabriel Balboa,L.C. Tibbets,Directed,1,11,Knows of,[NULL]
143,66,Doña Maria,Rafaela Cortés,Directed,1,11,Exchange,[NULL]
66,143,Rafaela Cortés,Doña Maria,Directed,1,11,Exchange,[NULL]
145,66,Sol,Rafaela Cortés,Directed,1,12,Knows,[NULL]
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,12,Knows,[NULL]
66,145,Rafaela Cortés,Sol,Directed,1,12,Knows,[NULL]
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,12,Knows,[NULL]
66,224,Rafaela Cortés,The Orange,Directed,1,12,Knows,[NULL]
145,66,Sol,Rafaela Cortés,Directed,1,13,Exchange,[NULL]
66,145,Rafaela Cortés,Sol,Directed,1,13,Exchange,[NULL]
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,13,Knows,[NULL]
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,13,Knows,[NULL]
66,224,Rafaela Cortés,The Orange,Directed,1,13,Knows,[NULL]
205,98,sanitary workers,Bobby Ngu,Directed,1,14,Knows,[NULL]
159,206,Car Jacker,police,Directed,1,14,Knows,[NULL]
160,98,Bruce Lee,Bobby Ngu,Directed,1,14,Knows of,[NULL]
98,160,Bobby Ngu,Bruce Lee,Directed,1,14,Knows of,[NULL]
145,66,Sol,Rafaela Cortés,Directed,1,14,Exchange,[NULL]
206,98,police,Bobby Ngu,Directed,1,14,Knows,[NULL]
98,206,Bobby Ngu,police,Directed,1,14,Knows,[NULL]
159,205,Car Jacker,sanitary workers,Directed,1,14,Knows,[NULL]
