source,target,Character 1,Character 2,type,weight,startPage,category
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,4,Exchange
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,4,Exchange
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,5,Exchange
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,5,Exchange
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,6,Exchange
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,6,Exchange
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,7,Exchange
143,145,Doña Maria,Sol,Directed,1,7,Exchange
66,143,Rafaela Cortés,Doña Maria,Directed,1,7,Exchange
143,66,Doña Maria,Rafaela Cortés,Directed,1,7,Exchange
145,143,Sol,Doña Maria,Directed,1,7,Exchange
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,7,Exchange
66,143,Rafaela Cortés,Doña Maria,Directed,1,8,Exchange
156,143,Lupe,Doña Maria,Directed,1,8,Exchange
143,66,Doña Maria,Rafaela Cortés,Directed,1,8,Exchange
143,156,Doña Maria,Lupe,Directed,1,8,Exchange
143,66,Doña Maria,Rafaela Cortés,Directed,1,9,Exchange
66,143,Rafaela Cortés,Doña Maria,Directed,1,9,Exchange
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,10,Exchange
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,10,Exchange
66,143,Rafaela Cortés,Doña Maria,Directed,1,11,Exchange
143,66,Doña Maria,Rafaela Cortés,Directed,1,11,Exchange
145,66,Sol,Rafaela Cortés,Directed,1,13,Exchange
66,145,Rafaela Cortés,Sol,Directed,1,13,Exchange
145,66,Sol,Rafaela Cortés,Directed,1,14,Exchange
66,145,Rafaela Cortés,Sol,Directed,1,14,Exchange
159,98,Car Jacker (mentioned in Bobby's intro),Bobby Ngu,Directed,1,14,Exchange
98,159,Bobby Ngu,Car Jacker (mentioned in Bobby's intro),Directed,1,14,Exchange
66,145,Rafaela Cortés,Sol,Directed,1,15,Exchange
145,66,Sol,Rafaela Cortés,Directed,1,15,Exchange
161,166,Bobby's Brother,Refugee Camp Guards,Directed,1,16,Exchange
166,98,Refugee Camp Guards,Bobby Ngu,Directed,1,16,Exchange
209,98,nighttime guard,Bobby Ngu,Directed,1,16,Exchange
166,161,Refugee Camp Guards,Bobby's Brother,Directed,1,16,Exchange
162,98,Bobby's Father,Bobby Ngu,Directed,1,16,Exchange
161,98,Bobby's Brother,Bobby Ngu,Directed,1,16,Exchange
145,66,Sol,Rafaela Cortés,Directed,1,16,Exchange
98,166,Bobby Ngu,Refugee Camp Guards,Directed,1,16,Exchange
66,145,Rafaela Cortés,Sol,Directed,1,16,Exchange
98,209,Bobby Ngu,nighttime guard,Directed,1,16,Exchange
98,162,Bobby Ngu,Bobby's Father,Directed,1,16,Exchange
98,161,Bobby Ngu,Bobby's Brother,Directed,1,16,Exchange
162,98,Bobby's Father,Bobby Ngu,Directed,1,17,Exchange
98,162,Bobby Ngu,Bobby's Father,Directed,1,17,Exchange
66,98,Rafaela Cortés,Bobby Ngu,Directed,1,17,Exchange
66,145,Rafaela Cortés,Sol,Directed,1,17,Exchange
98,66,Bobby Ngu,Rafaela Cortés,Directed,1,17,Exchange
145,66,Sol,Rafaela Cortés,Directed,1,17,Exchange
162,98,Bobby's Father,Bobby Ngu,Directed,1,18,Exchange
72,69,Emi,Gabriel Balboa,Directed,1,18,Exchange
98,162,Bobby Ngu,Bobby's Father,Directed,1,18,Exchange
69,72,Gabriel Balboa,Emi,Directed,1,18,Exchange
69,72,Gabriel Balboa,Emi,Directed,1,19,Exchange
72,69,Emi,Gabriel Balboa,Directed,1,19,Exchange
69,72,Gabriel Balboa,Emi,Directed,1,20,Exchange
72,69,Emi,Gabriel Balboa,Directed,1,20,Exchange
69,72,Gabriel Balboa,Emi,Directed,1,21,Exchange
184,72,Emi's Mother,Emi,Directed,1,21,Exchange
72,69,Emi,Gabriel Balboa,Directed,1,21,Exchange
72,184,Emi,Emi's Mother,Directed,1,21,Exchange
72,184,Emi,Emi's Mother,Directed,1,22,Exchange
184,72,Emi's Mother,Emi,Directed,1,22,Exchange
72,69,Emi,Gabriel Balboa,Directed,1,22,Exchange
69,72,Gabriel Balboa,Emi,Directed,1,22,Exchange
72,69,Emi,Gabriel Balboa,Directed,1,23,Exchange
69,66,Gabriel Balboa,Rafaela Cortés,Directed,1,23,Exchange
69,72,Gabriel Balboa,Emi,Directed,1,23,Exchange
66,69,Rafaela Cortés,Gabriel Balboa,Directed,1,23,Exchange
69,72,Gabriel Balboa,Emi,Directed,1,24,Exchange
72,215,Emi,person on the phone,Directed,1,24,Exchange
72,69,Emi,Gabriel Balboa,Directed,1,24,Exchange
215,72,person on the phone,Emi,Directed,1,24,Exchange
