source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
385,223,"""unknown artist""","Indian Head (''test pattern Indian"")",Directed,1,3,Knows,[NULL]
223,385,"Indian Head (''test pattern Indian"")","""unknown artist""",Directed,1,3,Knows,[NULL]
330,331,Benjamin Church,John Alderman,Directed,1,4,Knows,[NULL]
325,327,Colonizers/colonists,Metacomet/ King Philip,Directed,1,4,Exchange,[NULL]
325,324,Colonizers/colonists,Massasoit,Directed,1,4,Exchange,[NULL]
335,327,Plymouth colony,Metacomet/ King Philip,Directed,1,4,Knows,[NULL]
329,328,Plymouth court,Wamsutta,Directed,1,4,Knows,[NULL]
331,330,John Alderman,Benjamin Church,Directed,1,4,Knows,[NULL]
331,327,John Alderman,Metacomet/ King Philip,Directed,1,4,Exchange,[NULL]
327,330,Metacomet/ King Philip,Benjamin Church,Directed,1,4,Exchange,[NULL]
330,327,Benjamin Church,Metacomet/ King Philip,Directed,1,4,Exchange,[NULL]
325,334,Colonizers/colonists,Wampanoag Indians,Directed,1,4,Knows,[NULL]
325,326,Colonizers/colonists,ninety of Massasoit's men,Directed,1,4,Knows,[NULL]
324,327,Massasoit,Metacomet/ King Philip,Directed,1,4,Knows,[NULL]
324,326,Massasoit,ninety of Massasoit's men,Directed,1,4,Knows,[NULL]
334,325,Wampanoag Indians,Colonizers/colonists,Directed,1,4,Knows,[NULL]
328,329,Wamsutta,Plymouth court,Directed,1,4,Knows,[NULL]
327,335,Metacomet/ King Philip,Plymouth colony,Directed,1,4,Knows,[NULL]
327,324,Metacomet/ King Philip,Massasoit,Directed,1,4,Knows,[NULL]
327,331,Metacomet/ King Philip,John Alderman,Directed,1,4,Exchange,[NULL]
327,325,Metacomet/ King Philip,Colonizers/colonists,Directed,1,4,Exchange,[NULL]
326,325,ninety of Massasoit's men,Colonizers/colonists,Directed,1,4,Knows,[NULL]
326,324,ninety of Massasoit's men,Massasoit,Directed,1,4,Knows,[NULL]
324,325,Massasoit,Colonizers/colonists,Directed,1,4,Exchange,[NULL]
339,338,Three Fingered Jack,Texas Rangers (government),Directed,1,5,Exchange,[NULL]
338,339,Texas Rangers (government),Three Fingered Jack,Directed,1,5,Exchange,[NULL]
338,337,Texas Rangers (government),Joaquin Murieta,Directed,1,5,Exchange,[NULL]
332,333,Pequot,Massachusetts Bay Colony,Directed,1,5,Knows,[NULL]
339,337,Three Fingered Jack,Joaquin Murieta,Directed,1,5,Knows,[NULL]
337,339,Joaquin Murieta,Three Fingered Jack,Directed,1,5,Knows,[NULL]
332,325,Pequot,Colonizers/colonists,Directed,1,5,Exchange,[NULL]
337,338,Joaquin Murieta,Texas Rangers (government),Directed,1,5,Exchange,[NULL]
336,337,John Rollin Ridge,Joaquin Murieta,Directed,1,5,Knows of,[NULL]
333,332,Massachusetts Bay Colony,Pequot,Directed,1,5,Knows,[NULL]
325,332,Colonizers/colonists,Pequot,Directed,1,5,Exchange,[NULL]
346,343,Rolling Head,Daughter (in the Rolling Head story),Directed,1,6,Exchange,[NULL]
