id,Name <br />(100 chars)_l,source,Name <br />(100 chars)_r,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
68,Mario,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],186,Exchange,Tony Loneman,Mario,1,Tony Loneman (I),15,15,
69,Maxine,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],187,Exchange,Tony Loneman,Maxine,1,Tony Loneman (I),15,15,
70,Tony Loneman's Mother,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],188,Knows,Tony Loneman,Tony Loneman's Mother,1,Tony Loneman (I),15,16,
71,Karen,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],189,Exchange,Tony Loneman,Karen,1,Tony Loneman (I),17,17,
68,Mario,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],190,Knows,Tony Loneman,Mario,1,Tony Loneman (I),17,17,
69,Maxine,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],191,Exchange,Tony Loneman,Maxine,1,Tony Loneman (I),17,18,
72,MF Doom,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],192,Knows of,Tony Loneman,MF Doom,0,Tony Loneman (I),18,18,
70,Tony Loneman's Mother,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],193,Exchange,Tony Loneman,Tony Loneman's Mother,1,Tony Loneman (I),19,19,
73,Tony Loneman's Father,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],194,Knows of,Tony Loneman,Tony Loneman's Father,0,Tony Loneman (I),19,19,
69,Maxine,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],195,Exchange,Tony Loneman,Maxine,1,Tony Loneman (I),19,19,
69,Maxine,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],196,Exchange,Tony Loneman,Maxine,1,Tony Loneman (I),20,21,
74,Louise Erdrich,66,Tony Loneman,83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],197,Knows of,Tony Loneman,Louise Erdrich,0,Dene Oxendene (I),20,20,
75,"""white boy in the Kangol hat""",66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],200,Exchange,Tony Loneman,"""white boy in the Kangol hat""",1,Tony Loneman (I),21,21,
76,Carlos,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],201,Exchange,Tony Loneman,Carlos,1,Tony Loneman (I),21,21,
77,Octavio Gomez,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],202,Knows,Tony Loneman,Octavio Gomez,1,Tony Loneman (I),21,22,
77,Octavio Gomez,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],203,Exchange,Tony Loneman,Octavio Gomez,1,Tony Loneman (I),22,22,
78,Josefina,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],205,Knows of,Tony Loneman,Josefina,0,Tony Loneman (I),22,22,
69,Maxine,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],206,Knows,Tony Loneman,Maxine,1,Tony Loneman (I),22,22,
77,Octavio Gomez,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],207,Exchange,Tony Loneman,Octavio Gomez,1,Tony Loneman (I),23,26,
69,Maxine,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],208,Knows,Tony Loneman,Maxine,1,Tony Loneman (I),23,23,
69,Maxine,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],209,Knows,Tony Loneman,Maxine,1,Tony Loneman (I),24,24,
84,Big Oakland Powwow,66,Tony Loneman,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],212,Knows of,Tony Loneman,Big Oakland Powwow,0,Tony Loneman (I),24,24,
