source,target,Char 1 Name,Char 2 Name,startPage,type,weight
385,223,"""unknown artist""","Indian Head (''test pattern Indian"")",3,Undirected,1
324,325,Massasoit,Colonizers/colonists,4,Undirected,1
324,331,Massasoit,John Alderman,4,Undirected,1
330,335,Benjamin Church,Plymouth colony,4,Undirected,1
324,328,Massasoit,Wamsutta,4,Undirected,1
324,334,Massasoit,Wampanoag Indians,4,Undirected,1
328,331,Wamsutta,John Alderman,4,Undirected,1
329,330,Plymouth court,Benjamin Church,4,Undirected,1
328,334,Wamsutta,Wampanoag Indians,4,Undirected,1
325,326,Colonizers/colonists,ninety of Massasoit's men,4,Undirected,1
326,331,ninety of Massasoit's men,John Alderman,4,Undirected,1
325,329,Colonizers/colonists,Plymouth court,4,Undirected,1
326,328,ninety of Massasoit's men,Wamsutta,4,Undirected,1
326,334,ninety of Massasoit's men,Wampanoag Indians,4,Undirected,1
334,335,Wampanoag Indians,Plymouth colony,4,Undirected,1
327,329,Metacomet/ King Philip,Plymouth court,4,Undirected,1
327,335,Metacomet/ King Philip,Plymouth colony,4,Undirected,1
325,335,Colonizers/colonists,Plymouth colony,4,Undirected,1
330,331,Benjamin Church,John Alderman,4,Undirected,1
330,334,Benjamin Church,Wampanoag Indians,4,Undirected,1
324,327,Massasoit,Metacomet/ King Philip,4,Undirected,1
324,330,Massasoit,Benjamin Church,4,Undirected,1
328,330,Wamsutta,Benjamin Church,4,Undirected,1
331,335,John Alderman,Plymouth colony,4,Undirected,1
329,335,Plymouth court,Plymouth colony,4,Undirected,1
325,328,Colonizers/colonists,Wamsutta,4,Undirected,1
326,327,ninety of Massasoit's men,Metacomet/ King Philip,4,Undirected,1
325,331,Colonizers/colonists,John Alderman,4,Undirected,1
327,328,Metacomet/ King Philip,Wamsutta,4,Undirected,1
326,330,ninety of Massasoit's men,Benjamin Church,4,Undirected,1
325,334,Colonizers/colonists,Wampanoag Indians,4,Undirected,1
327,331,Metacomet/ King Philip,John Alderman,4,Undirected,1
327,334,Metacomet/ King Philip,Wampanoag Indians,4,Undirected,1
324,326,Massasoit,ninety of Massasoit's men,4,Undirected,1
324,329,Massasoit,Plymouth court,4,Undirected,1
324,335,Massasoit,Plymouth colony,4,Undirected,1
329,331,Plymouth court,John Alderman,4,Undirected,1
328,329,Wamsutta,Plymouth court,4,Undirected,1
328,335,Wamsutta,Plymouth colony,4,Undirected,1
329,334,Plymouth court,Wampanoag Indians,4,Undirected,1
331,334,John Alderman,Wampanoag Indians,4,Undirected,1
326,329,ninety of Massasoit's men,Plymouth court,4,Undirected,1
325,327,Colonizers/colonists,Metacomet/ King Philip,4,Undirected,1
325,330,Colonizers/colonists,Benjamin Church,4,Undirected,1
326,335,ninety of Massasoit's men,Plymouth colony,4,Undirected,1
327,330,Metacomet/ King Philip,Benjamin Church,4,Undirected,1
332,338,Pequot,Texas Rangers (government),5,Undirected,1
333,337,Massachusetts Bay Colony,Joaquin Murieta,5,Undirected,1
338,339,Texas Rangers (government),Three Fingered Jack,5,Undirected,1
325,332,Colonizers/colonists,Pequot,5,Undirected,1
325,338,Colonizers/colonists,Texas Rangers (government),5,Undirected,1
336,338,John Rollin Ridge,Texas Rangers (government),5,Undirected,1
333,336,Massachusetts Bay Colony,John Rollin Ridge,5,Undirected,1
333,339,Massachusetts Bay Colony,Three Fingered Jack,5,Undirected,1
332,337,Pequot,Joaquin Murieta,5,Undirected,1
337,339,Joaquin Murieta,Three Fingered Jack,5,Undirected,1
325,339,Colonizers/colonists,Three Fingered Jack,5,Undirected,1
325,337,Colonizers/colonists,Joaquin Murieta,5,Undirected,1
336,337,John Rollin Ridge,Joaquin Murieta,5,Undirected,1
332,333,Pequot,Massachusetts Bay Colony,5,Undirected,1
333,338,Massachusetts Bay Colony,Texas Rangers (government),5,Undirected,1
332,336,Pequot,John Rollin Ridge,5,Undirected,1
332,339,Pequot,Three Fingered Jack,5,Undirected,1
337,338,Joaquin Murieta,Texas Rangers (government),5,Undirected,1
325,333,Colonizers/colonists,Massachusetts Bay Colony,5,Undirected,1
325,336,Colonizers/colonists,John Rollin Ridge,5,Undirected,1
336,339,John Rollin Ridge,Three Fingered Jack,5,Undirected,1
341,344,Husband (in the Rolling Head story),Son (in the Rolling Head story),6,Undirected,1
340,345,Americans,water monster,6,Undirected,1
340,223,Americans,"Indian Head (''test pattern Indian"")",6,Undirected,1
340,342,Americans,Wife (in the Rolling Head story),6,Undirected,1
342,345,Wife (in the Rolling Head story),water monster,6,Undirected,1
342,223,Wife (in the Rolling Head story),"Indian Head (''test pattern Indian"")",6,Undirected,1
343,344,Daughter (in the Rolling Head story),Son (in the Rolling Head story),6,Undirected,1
344,345,Son (in the Rolling Head story),water monster,6,Undirected,1
344,223,Son (in the Rolling Head story),"Indian Head (''test pattern Indian"")",6,Undirected,1
