
"id","Title <br />(100 chars)","Level <br />(choose)","Start Page","End Page","Narrator <br />(choose)","Protagonist <br />(choose)","Embed. Type <br />(choose)"
"78","Part I Remain","level 1 (section)","13","78","[NULL]","[NULL]","[NULL]"
"99","Jacquie Red Feather (II)","level 2 (sub-section)","151","155","[NULL]","Jacquie Red Feather","Letter"
"97","Dene Oxendene (II)","level 2 (sub-section)","147","150","[NULL]","Dene Oxendene","Oral Story"
"96","Calvin Johnson (II)","level 2 (sub-section)","144","146","[NULL]","Calvin Johnson","[NULL]"
"95","Tony Loneman (II)","level 2 (sub-section)","142","143","[NULL]","Tony Loneman","[NULL]"
"93","Apparent Death","level 3 (sub-sub-section)","140","141","[NULL]","[NULL]","[NULL]"
"92","Last Names","level 3 (sub-sub-section)","139","139","[NULL]","[NULL]","[NULL]"
"91","Blood","level 3 (sub-sub-section)","136","139","[NULL]","[NULL]","[NULL]"
"90","Big Oakland Powwow","level 3 (sub-sub-section)","135","136","[NULL]","Big Oakland Powwow","[NULL]"
"89","Powwows","level 3 (sub-sub-section)","134","135","[NULL]","[NULL]","[NULL]"
"88","Interlude","level 2 (sub-section)","134","141","[NULL]","[NULL]","Creative non-fiction"
"87","Orvil Red Feather (I)","level 2 (sub-section)","118","133","[NULL]","Orvil Red Feather","[NULL]"
"86","Jacquie Red Feather (I)","level 2 (sub-section)","98","117","[NULL]","Jacquie Red Feather","Letter"
"84","Bill Davis (I)","level 2 (sub-section)","81","87","[NULL]","Bill Davis","[NULL]"
"83","Dene Oxendene (I)","level 2 (sub-section)","27","44","[NULL]","Dene Oxendene","[NULL]"
"81","Part IV Powwow","level 1 (section)","227","290","[NULL]","[NULL]","[NULL]"
"80","Part III: Return","level 1 (section)","157","225","[NULL]","[NULL]","[NULL]"
"79","Part II: Reclaim","level 1 (section)","79","155","[NULL]","[NULL]","[NULL]"
"77","Prologue","level 1 (section)","3","11","[NULL]","[NULL]","[NULL]"
"82","Tony Loneman (I)","level 2 (sub-section)","15","26","Tony Loneman","Tony Loneman","[NULL]"
"103","Octavio Gomez (III)","level 2 (sub-section)","171","186","Octavio Gomez","Octavio Gomez","[NULL]"
"85","Calvin Johnson (I)","level 2 (sub-section)","88","97","Calvin Johnson","Calvin Johnson","[NULL]"
"100","Opal Viola Victoria Bear Shield (I)","level 2 (sub-section)","45","61","Opal Viola Victoria Bear Shield","Opal Viola Victoria Bear Shield","[NULL]"
"102","Opal Viola Victoria Bear Shield (III)","level 2 (sub-section)","159","170","Opal Viola Victoria Bear Shield","Opal Viola Victoria Bear Shield","[NULL]"
"101","Edwin Black (I)","level 2 (sub-section)","62","78","Edwin Black","Edwin Black","[NULL]"
