,id_cont,Title <br />(100 chars),Level <br />(choose),Start Page_cont,End Page_cont,Narrator <br />(choose),Protagonist <br />(choose),Embed. Type <br />(choose),id_rel,Type of Relationship <br />(choose),Character 1 <br />(choose),Character 2 <br />(choose),Is Reciprocal? <br />(choose),Narrative Container <br />(choose),Start Page_rel,End Page_rel,index
0,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],186,Exchange,Tony Loneman,Mario,1,Tony Loneman (I),15,15,
1,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],187,Exchange,Tony Loneman,Maxine,1,Tony Loneman (I),15,15,
2,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],188,Knows,Tony Loneman,Tony Loneman's Mother,1,Tony Loneman (I),15,16,
3,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],189,Exchange,Tony Loneman,Karen,1,Tony Loneman (I),17,17,
4,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],190,Knows,Tony Loneman,Mario,1,Tony Loneman (I),17,17,
5,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],191,Exchange,Tony Loneman,Maxine,1,Tony Loneman (I),17,18,
6,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],192,Knows of,Tony Loneman,MF Doom,0,Tony Loneman (I),18,18,
7,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],193,Exchange,Tony Loneman,Tony Loneman's Mother,1,Tony Loneman (I),19,19,
8,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],194,Knows of,Tony Loneman,Tony Loneman's Father,0,Tony Loneman (I),19,19,
9,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],195,Exchange,Tony Loneman,Maxine,1,Tony Loneman (I),19,19,
10,82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],196,Exchange,Tony Loneman,Maxine,1,Tony Loneman (I),20,21,
