source,target,type,weight,startPage,category
66,68,Directed,1,15,Exchange
66,69,Directed,1,15,Exchange
66,70,Directed,1,15,Knows
66,70,Directed,1,16,Knows
66,71,Directed,1,17,Exchange
66,68,Directed,1,17,Knows
66,69,Directed,1,17,Exchange
66,69,Directed,1,18,Exchange
66,72,Directed,1,18,Knows of
66,70,Directed,1,19,Exchange
66,73,Directed,1,19,Knows of
66,69,Directed,1,19,Exchange
66,69,Directed,1,20,Exchange
66,69,Directed,1,21,Exchange
66,74,Directed,1,20,Knows of
66,69,Directed,1,21,Knows
66,75,Directed,1,21,Exchange
66,76,Directed,1,21,Exchange
66,77,Directed,1,21,Knows
66,77,Directed,1,22,Knows
66,77,Directed,1,22,Exchange
66,78,Directed,1,22,Knows of
66,69,Directed,1,22,Knows
66,77,Directed,1,23,Exchange
66,77,Directed,1,24,Exchange
66,77,Directed,1,25,Exchange
66,77,Directed,1,26,Exchange
66,69,Directed,1,23,Knows
66,69,Directed,1,24,Knows
66,84,Directed,1,24,Knows of
66,84,Directed,1,25,Knows of
66,84,Directed,1,26,Knows of
66,134,Directed,1,18,Knows of
66,137,Directed,1,20,Exchange
66,138,Directed,1,21,Exchange
66,138,Directed,1,22,Exchange
66,139,Directed,1,24,Knows of
66,130,Directed,1,24,Knows of
66,245,Directed,1,142,Exchange
66,84,Directed,1,142,Knows of
66,84,Directed,1,143,Knows of
66,271,Directed,1,234,Knows of
66,271,Directed,1,235,Knows of
66,84,Directed,1,234,Knows of
66,84,Directed,1,235,Knows of
66,272,Directed,1,234,Exchange
66,272,Directed,1,235,Exchange
66,273,Directed,1,234,Exchange
66,273,Directed,1,235,Exchange
66,84,Directed,1,256,Knows
66,84,Directed,1,270,Knows
66,84,Directed,1,272,Knows
66,84,Directed,1,273,Knows
66,84,Directed,1,278,Knows
66,84,Directed,1,279,Knows
66,84,Directed,1,280,Knows
66,147,Directed,1,286,Exchange
66,147,Directed,1,287,Exchange
66,76,Directed,1,286,Exchange
66,76,Directed,1,287,Exchange
66,77,Directed,1,286,Exchange
66,77,Directed,1,287,Exchange
66,81,Directed,1,286,Exchange
66,81,Directed,1,287,Exchange
66,305,Directed,1,286,Knows of
66,84,Directed,1,286,Knows
66,84,Directed,1,287,Knows
66,69,Directed,1,288,Exchange
66,69,Directed,1,289,Exchange
66,69,Directed,1,290,Exchange
66,367,Directed,1,289,Knows of
66,367,Directed,1,290,Knows of
67,79,Directed,1,28,Knows
67,90,Directed,1,29,Knows
67,91,Directed,1,29,Knows of
67,92,Directed,1,29,Knows
67,92,Directed,1,30,Knows
67,93,Directed,1,30,Exchange
67,92,Directed,1,30,Exchange
67,92,Directed,1,31,Exchange
67,92,Directed,1,32,Exchange
67,92,Directed,1,33,Exchange
67,85,Directed,1,32,Knows of
67,93,Directed,1,33,Knows
67,93,Directed,1,34,Exchange
67,93,Directed,1,35,Exchange
67,93,Directed,1,36,Exchange
67,92,Directed,1,36,Exchange
67,92,Directed,1,37,Exchange
67,95,Directed,1,37,Exchange
67,95,Directed,1,38,Exchange
67,95,Directed,1,39,Exchange
67,96,Directed,1,38,Knows of
67,96,Directed,1,39,Knows of
67,102,Directed,1,39,Exchange
67,102,Directed,1,40,Exchange
67,102,Directed,1,41,Exchange
67,97,Directed,1,39,Exchange
67,97,Directed,1,40,Exchange
67,97,Directed,1,41,Exchange
67,101,Directed,1,39,Exchange
67,101,Directed,1,40,Exchange
67,101,Directed,1,41,Exchange
67,100,Directed,1,39,Exchange
67,100,Directed,1,40,Exchange
67,100,Directed,1,41,Exchange
67,99,Directed,1,39,Exchange
67,99,Directed,1,40,Exchange
67,99,Directed,1,41,Exchange
67,98,Directed,1,39,Exchange
67,98,Directed,1,40,Exchange
67,98,Directed,1,41,Exchange
67,104,Directed,1,39,Exchange
67,104,Directed,1,40,Exchange
67,104,Directed,1,41,Exchange
67,103,Directed,1,39,Exchange
67,103,Directed,1,40,Exchange
67,103,Directed,1,41,Exchange
67,93,Directed,1,43,Exchange
67,92,Directed,1,43,Knows
67,92,Directed,1,44,Knows
67,103,Directed,1,28,Knows of
67,104,Directed,1,28,Knows of
67,98,Directed,1,28,Knows of
67,99,Directed,1,28,Knows of
67,100,Directed,1,28,Knows of
67,101,Directed,1,28,Knows of
67,97,Directed,1,28,Knows of
67,102,Directed,1,28,Knows of
