source,target,startPage,type,weight
385,223,3,Undirected,1
324,325,4,Undirected,1
324,331,4,Undirected,1
330,335,4,Undirected,1
324,328,4,Undirected,1
324,334,4,Undirected,1
328,331,4,Undirected,1
329,330,4,Undirected,1
328,334,4,Undirected,1
325,326,4,Undirected,1
326,331,4,Undirected,1
325,329,4,Undirected,1
326,328,4,Undirected,1
326,334,4,Undirected,1
334,335,4,Undirected,1
327,329,4,Undirected,1
327,335,4,Undirected,1
325,335,4,Undirected,1
330,331,4,Undirected,1
330,334,4,Undirected,1
324,327,4,Undirected,1
324,330,4,Undirected,1
328,330,4,Undirected,1
331,335,4,Undirected,1
329,335,4,Undirected,1
325,328,4,Undirected,1
326,327,4,Undirected,1
325,331,4,Undirected,1
327,328,4,Undirected,1
326,330,4,Undirected,1
325,334,4,Undirected,1
327,331,4,Undirected,1
327,334,4,Undirected,1
324,326,4,Undirected,1
324,329,4,Undirected,1
324,335,4,Undirected,1
329,331,4,Undirected,1
328,329,4,Undirected,1
328,335,4,Undirected,1
329,334,4,Undirected,1
331,334,4,Undirected,1
326,329,4,Undirected,1
325,327,4,Undirected,1
325,330,4,Undirected,1
326,335,4,Undirected,1
327,330,4,Undirected,1
332,338,5,Undirected,1
333,337,5,Undirected,1
338,339,5,Undirected,1
325,332,5,Undirected,1
325,338,5,Undirected,1
336,338,5,Undirected,1
333,336,5,Undirected,1
333,339,5,Undirected,1
332,337,5,Undirected,1
337,339,5,Undirected,1
325,339,5,Undirected,1
325,337,5,Undirected,1
336,337,5,Undirected,1
332,333,5,Undirected,1
333,338,5,Undirected,1
332,336,5,Undirected,1
332,339,5,Undirected,1
337,338,5,Undirected,1
325,333,5,Undirected,1
325,336,5,Undirected,1
336,339,5,Undirected,1
341,344,6,Undirected,1
340,345,6,Undirected,1
340,223,6,Undirected,1
340,342,6,Undirected,1
342,345,6,Undirected,1
342,223,6,Undirected,1
343,344,6,Undirected,1
344,345,6,Undirected,1
344,223,6,Undirected,1
341,343,6,Undirected,1
341,346,6,Undirected,1
346,223,6,Undirected,1
340,341,6,Undirected,1
340,344,6,Undirected,1
343,346,6,Undirected,1
342,344,6,Undirected,1
345,346,6,Undirected,1
341,345,6,Undirected,1
341,223,6,Undirected,1
341,342,6,Undirected,1
340,343,6,Undirected,1
340,346,6,Undirected,1
343,345,6,Undirected,1
342,343,6,Undirected,1
343,223,6,Undirected,1
342,346,6,Undirected,1
345,223,6,Undirected,1
344,346,6,Undirected,1
347,348,7,Undirected,1
347,351,7,Undirected,1
352,347,7,Undirected,1
352,350,7,Undirected,1
349,351,7,Undirected,1
352,353,7,Undirected,1
348,349,7,Undirected,1
340,348,7,Undirected,1
340,351,7,Undirected,1
353,348,7,Undirected,1
353,351,7,Undirected,1
352,340,7,Undirected,1
347,350,7,Undirected,1
349,350,7,Undirected,1
352,349,7,Undirected,1
340,347,7,Undirected,1
340,350,7,Undirected,1
348,351,7,Undirected,1
353,347,7,Undirected,1
353,350,7,Undirected,1
347,349,7,Undirected,1
350,351,7,Undirected,1
352,348,7,Undirected,1
352,351,7,Undirected,1
348,350,7,Undirected,1
353,340,7,Undirected,1
353,349,7,Undirected,1
340,349,7,Undirected,1
354,351,8,Undirected,1
325,351,8,Undirected,1
354,325,8,Undirected,1
325,351,9,Undirected,1
325,351,10,Undirected,1
68,69,15,Undirected,1
66,68,15,Undirected,1
66,70,15,Undirected,1
68,70,15,Undirected,1
69,70,15,Undirected,1
66,69,15,Undirected,1
66,70,16,Undirected,1
68,69,17,Undirected,1
66,68,17,Undirected,1
66,71,17,Undirected,1
68,71,17,Undirected,1
69,71,17,Undirected,1
66,69,17,Undirected,1
69,72,18,Undirected,1
134,135,18,Undirected,1
135,72,18,Undirected,1
66,135,18,Undirected,1
66,134,18,Undirected,1
69,135,18,Undirected,1
134,72,18,Undirected,1
69,134,18,Undirected,1
66,69,18,Undirected,1
66,72,18,Undirected,1
66,70,19,Undirected,1
73,66,19,Undirected,1
73,70,19,Undirected,1
69,70,19,Undirected,1
66,69,19,Undirected,1
73,69,19,Undirected,1
74,69,20,Undirected,1
137,74,20,Undirected,1
66,74,20,Undirected,1
137,66,20,Undirected,1
66,69,20,Undirected,1
137,69,20,Undirected,1
69,77,21,Undirected,1
69,74,21,Undirected,1
261,76,21,Undirected,1
74,76,21,Undirected,1
66,69,21,Undirected,1
66,75,21,Undirected,1
66,261,21,Undirected,1
69,76,21,Undirected,1
261,75,21,Undirected,1
74,75,21,Undirected,1
75,77,21,Undirected,1
66,77,21,Undirected,1
66,74,21,Undirected,1
69,75,21,Undirected,1
69,261,21,Undirected,1
74,77,21,Undirected,1
261,74,21,Undirected,1
75,76,21,Undirected,1
76,77,21,Undirected,1
261,77,21,Undirected,1
66,76,21,Undirected,1
66,78,22,Undirected,1
261,69,22,Undirected,1
66,261,22,Undirected,1
261,78,22,Undirected,1
66,77,22,Undirected,1
69,78,22,Undirected,1
69,77,22,Undirected,1
77,78,22,Undirected,1
261,77,22,Undirected,1
66,69,22,Undirected,1
69,77,23,Undirected,1
66,69,23,Undirected,1
66,77,23,Undirected,1
66,84,24,Undirected,1
130,77,24,Undirected,1
66,77,24,Undirected,1
69,139,24,Undirected,1
69,84,24,Undirected,1
