source,target,Character 1,Character 2,type,weight,startPage,category
119,120,Richard's Childhood Gang,"""white boys who lived beyond the tracks.""",Directed,1,1,Exchange
120,119,"""white boys who lived beyond the tracks.""",Richard's Childhood Gang,Directed,1,1,Exchange
121,118,"""kind neighbor""",Richard Wright,Directed,1,2,Exchange
118,123,Richard Wright,Richard Wright's Mother,Directed,1,2,Exchange
122,118,Doctor,Richard Wright,Directed,1,2,Exchange
120,119,"""white boys who lived beyond the tracks.""",Richard's Childhood Gang,Directed,1,2,Exchange
123,118,Richard Wright's Mother,Richard Wright,Directed,1,2,Exchange
118,121,Richard Wright,"""kind neighbor""",Directed,1,2,Exchange
119,120,Richard's Childhood Gang,"""white boys who lived beyond the tracks.""",Directed,1,2,Exchange
118,122,Richard Wright,Doctor,Directed,1,2,Exchange
127,118,Boss of the optical company,Richard Wright,Directed,1,3,Exchange
123,118,Richard Wright's Mother,Richard Wright,Directed,1,3,Exchange
118,127,Richard Wright,Boss of the optical company,Directed,1,3,Exchange
118,123,Richard Wright,Richard Wright's Mother,Directed,1,3,Exchange
129,127,Pease,Boss of the optical company,Directed,1,4,Exchange
127,129,Boss of the optical company,Pease,Directed,1,4,Exchange
130,118,Morrie,Richard Wright,Directed,1,4,Exchange
130,127,Morrie,Boss of the optical company,Directed,1,4,Exchange
127,130,Boss of the optical company,Morrie,Directed,1,4,Exchange
127,118,Boss of the optical company,Richard Wright,Directed,1,4,Exchange
118,130,Richard Wright,Morrie,Directed,1,4,Exchange
118,127,Richard Wright,Boss of the optical company,Directed,1,4,Exchange
129,118,Pease,Richard Wright,Directed,1,5,Exchange
118,129,Richard Wright,Pease,Directed,1,5,Exchange
130,118,Morrie,Richard Wright,Directed,1,5,Exchange
118,130,Richard Wright,Morrie,Directed,1,5,Exchange
118,129,Richard Wright,Pease,Directed,1,6,Exchange
130,118,Morrie,Richard Wright,Directed,1,6,Exchange
118,130,Richard Wright,Morrie,Directed,1,6,Exchange
129,118,Pease,Richard Wright,Directed,1,6,Exchange
131,118,"""the folks at home"" (7)",Richard Wright,Directed,1,7,Exchange
133,134,Clothing Store Boss' Son,Woman in the Clothing store,Directed,1,7,Exchange
118,129,Richard Wright,Pease,Directed,1,7,Exchange
118,131,Richard Wright,"""the folks at home"" (7)",Directed,1,7,Exchange
134,132,Woman in the Clothing store,Boss of Clothing Store,Directed,1,7,Exchange
134,135,Woman in the Clothing store,Police officer outside clothing store,Directed,1,7,Exchange
118,130,Richard Wright,Morrie,Directed,1,7,Exchange
135,134,Police officer outside clothing store,Woman in the Clothing store,Directed,1,7,Exchange
132,133,Boss of Clothing Store,Clothing Store Boss' Son,Directed,1,7,Exchange
134,133,Woman in the Clothing store,Clothing Store Boss' Son,Directed,1,7,Exchange
130,118,Morrie,Richard Wright,Directed,1,7,Exchange
129,118,Pease,Richard Wright,Directed,1,7,Exchange
132,134,Boss of Clothing Store,Woman in the Clothing store,Directed,1,7,Exchange
133,132,Clothing Store Boss' Son,Boss of Clothing Store,Directed,1,7,Exchange
118,168,Richard Wright,White boys in Car (8),Directed,1,8,Exchange
118,209,Richard Wright,"""one fellow"" (8)",Directed,1,8,Exchange
133,118,Clothing Store Boss' Son,Richard Wright,Directed,1,8,Exchange
208,118,Fellow Negro Porters,Richard Wright,Directed,1,8,Exchange
211,118,Main boy (8),Richard Wright,Directed,1,8,Exchange
138,118,White boy with Whiskey (9),Richard Wright,Directed,1,8,Exchange
209,118,"""one fellow"" (8)",Richard Wright,Directed,1,8,Exchange
118,132,Richard Wright,Boss of Clothing Store,Directed,1,8,Exchange
118,208,Richard Wright,Fellow Negro Porters,Directed,1,8,Exchange
168,118,White boys in Car (8),Richard Wright,Directed,1,8,Exchange
132,118,Boss of Clothing Store,Richard Wright,Directed,1,8,Exchange
118,133,Richard Wright,Clothing Store Boss' Son,Directed,1,8,Exchange
118,212,Richard Wright,Reluctant boy (9),Directed,1,8,Exchange
118,138,Richard Wright,White boy with Whiskey (9),Directed,1,8,Exchange
118,211,Richard Wright,Main boy (8),Directed,1,8,Exchange
138,118,White boy with Whiskey (9),Richard Wright,Directed,1,9,Exchange
118,168,Richard Wright,White boys in Car (8),Directed,1,9,Exchange
211,118,Main boy (8),Richard Wright,Directed,1,9,Exchange
212,211,Reluctant boy (9),Main boy (8),Directed,1,9,Exchange
118,138,Richard Wright,White boy with Whiskey (9),Directed,1,9,Exchange
168,118,White boys in Car (8),Richard Wright,Directed,1,9,Exchange
118,212,Richard Wright,Reluctant boy (9),Directed,1,9,Exchange
118,211,Richard Wright,Main boy (8),Directed,1,9,Exchange
170,118,Policeman 1 (10),Richard Wright,Directed,1,10,Exchange
211,118,Main boy (8),Richard Wright,Directed,1,10,Exchange
118,138,Richard Wright,White boy with Whiskey (9),Directed,1,10,Exchange
118,211,Richard Wright,Main boy (8),Directed,1,10,Exchange
168,118,White boys in Car (8),Richard Wright,Directed,1,10,Exchange
118,168,Richard Wright,White boys in Car (8),Directed,1,10,Exchange
118,212,Richard Wright,Reluctant boy (9),Directed,1,10,Exchange
118,217,Richard Wright,Policeman 2 (10),Directed,1,10,Exchange
118,170,Richard Wright,Policeman 1 (10),Directed,1,10,Exchange
138,118,White boy with Whiskey (9),Richard Wright,Directed,1,10,Exchange
175,177,"""One of the bell-boys""",Police after the bell-boy,Directed,1,11,Exchange
118,174,Richard Wright,"""thick-set man""",Directed,1,11,Exchange
174,118,"""thick-set man""",Richard Wright,Directed,1,11,Exchange
174,173,"""thick-set man""","""snowy-skinned Blonde"" (11)",Directed,1,11,Exchange
177,175,Police after the bell-boy,"""One of the bell-boys""",Directed,1,11,Exchange
183,118,White night-watchman,Richard Wright,Directed,1,12,Exchange
177,175,Police after the bell-boy,"""One of the bell-boys""",Directed,1,12,Exchange
181,171,Hotel Management,Bell-boys,Directed,1,12,Exchange
181,180,Hotel Management,Hall-boys,Directed,1,12,Exchange
118,183,Richard Wright,White night-watchman,Directed,1,12,Exchange
175,177,"""One of the bell-boys""",Police after the bell-boy,Directed,1,12,Exchange
182,183,The maid with Richard,White night-watchman,Directed,1,12,Exchange
118,182,Richard Wright,The maid with Richard,Directed,1,13,Exchange
118,183,Richard Wright,White night-watchman,Directed,1,13,Exchange
183,118,White night-watchman,Richard Wright,Directed,1,13,Exchange
118,210,Richard Wright,Librarian,Directed,1,14,Exchange
118,201,Richard Wright,White men in the elevator (15),Directed,1,15,Exchange
228,114,Buck,Big Boy,Directed,1,17,Exchange
230,115,Lester,Bobo,Directed,1,17,Exchange
114,115,Big Boy,Bobo,Directed,1,17,Exchange
230,114,Lester,Big Boy,Directed,1,17,Exchange
114,228,Big Boy,Buck,Directed,1,17,Exchange
115,228,Bobo,Buck,Directed,1,17,Exchange
228,115,Buck,Bobo,Directed,1,17,Exchange
115,230,Bobo,Lester,Directed,1,17,Exchange
228,230,Buck,Lester,Directed,1,17,Exchange
115,114,Bobo,Big Boy,Directed,1,17,Exchange
114,230,Big Boy,Lester,Directed,1,17,Exchange
230,228,Lester,Buck,Directed,1,17,Exchange
230,114,Lester,Big Boy,Directed,1,18,Exchange
10,115,God,Bobo,Directed,1,18,Exchange
10,114,God,Big Boy,Directed,1,18,Exchange
114,115,Big Boy,Bobo,Directed,1,18,Exchange
114,228,Big Boy,Buck,Directed,1,18,Exchange
10,230,God,Lester,Directed,1,18,Exchange
114,10,Big Boy,God,Directed,1,18,Exchange
230,228,Lester,Buck,Directed,1,18,Exchange
230,10,Lester,God,Directed,1,18,Exchange
115,10,Bobo,God,Directed,1,18,Exchange
115,230,Bobo,Lester,Directed,1,18,Exchange
115,114,Bobo,Big Boy,Directed,1,18,Exchange
115,228,Bobo,Buck,Directed,1,18,Exchange
114,230,Big Boy,Lester,Directed,1,18,Exchange
230,115,Lester,Bobo,Directed,1,18,Exchange
10,228,God,Buck,Directed,1,18,Exchange
228,10,Buck,God,Directed,1,18,Exchange
228,115,Buck,Bobo,Directed,1,18,Exchange
228,230,Buck,Lester,Directed,1,18,Exchange
228,114,Buck,Big Boy,Directed,1,18,Exchange
10,115,God,Bobo,Directed,1,19,Exchange
10,230,God,Lester,Directed,1,19,Exchange
230,114,Lester,Big Boy,Directed,1,19,Exchange
230,10,Lester,God,Directed,1,19,Exchange
114,115,Big Boy,Bobo,Directed,1,19,Exchange
115,10,Bobo,God,Directed,1,19,Exchange
115,228,Bobo,Buck,Directed,1,19,Exchange
115,114,Bobo,Big Boy,Directed,1,19,Exchange
228,115,Buck,Bobo,Directed,1,19,Exchange
228,114,Buck,Big Boy,Directed,1,19,Exchange
114,230,Big Boy,Lester,Directed,1,19,Exchange
228,230,Buck,Lester,Directed,1,19,Exchange
228,10,Buck,God,Directed,1,19,Exchange
10,228,God,Buck,Directed,1,19,Exchange
230,115,Lester,Bobo,Directed,1,19,Exchange
114,10,Big Boy,God,Directed,1,19,Exchange
230,228,Lester,Buck,Directed,1,19,Exchange
115,230,Bobo,Lester,Directed,1,19,Exchange
114,228,Big Boy,Buck,Directed,1,19,Exchange
10,114,God,Big Boy,Directed,1,19,Exchange
115,228,Bobo,Buck,Directed,1,20,Exchange
114,115,Big Boy,Bobo,Directed,1,20,Exchange
228,230,Buck,Lester,Directed,1,20,Exchange
228,114,Buck,Big Boy,Directed,1,20,Exchange
114,230,Big Boy,Lester,Directed,1,20,Exchange
114,228,Big Boy,Buck,Directed,1,20,Exchange
230,228,Lester,Buck,Directed,1,20,Exchange
230,115,Lester,Bobo,Directed,1,20,Exchange
115,230,Bobo,Lester,Directed,1,20,Exchange
230,114,Lester,Big Boy,Directed,1,20,Exchange
115,114,Bobo,Big Boy,Directed,1,20,Exchange
228,115,Buck,Bobo,Directed,1,20,Exchange
115,230,Bobo,Lester,Directed,1,21,Exchange
114,115,Big Boy,Bobo,Directed,1,21,Exchange
114,228,Big Boy,Buck,Directed,1,21,Exchange
114,230,Big Boy,Lester,Directed,1,21,Exchange
230,228,Lester,Buck,Directed,1,21,Exchange
228,230,Buck,Lester,Directed,1,21,Exchange
115,228,Bobo,Buck,Directed,1,21,Exchange
228,115,Buck,Bobo,Directed,1,21,Exchange
230,114,Lester,Big Boy,Directed,1,21,Exchange
230,115,Lester,Bobo,Directed,1,21,Exchange
115,114,Bobo,Big Boy,Directed,1,21,Exchange
228,114,Buck,Big Boy,Directed,1,21,Exchange
114,230,Big Boy,Lester,Directed,1,22,Exchange
114,228,Big Boy,Buck,Directed,1,22,Exchange
115,114,Bobo,Big Boy,Directed,1,22,Exchange
228,114,Buck,Big Boy,Directed,1,22,Exchange
228,115,Buck,Bobo,Directed,1,22,Exchange
115,228,Bobo,Buck,Directed,1,22,Exchange
115,230,Bobo,Lester,Directed,1,22,Exchange
230,228,Lester,Buck,Directed,1,22,Exchange
228,230,Buck,Lester,Directed,1,22,Exchange
230,115,Lester,Bobo,Directed,1,22,Exchange
114,115,Big Boy,Bobo,Directed,1,22,Exchange
230,114,Lester,Big Boy,Directed,1,22,Exchange
228,230,Buck,Lester,Directed,1,23,Exchange
230,114,Lester,Big Boy,Directed,1,23,Exchange
115,114,Bobo,Big Boy,Directed,1,23,Exchange
228,115,Buck,Bobo,Directed,1,23,Exchange
228,114,Buck,Big Boy,Directed,1,23,Exchange
114,228,Big Boy,Buck,Directed,1,23,Exchange
230,115,Lester,Bobo,Directed,1,23,Exchange
230,228,Lester,Buck,Directed,1,23,Exchange
115,228,Bobo,Buck,Directed,1,23,Exchange
115,230,Bobo,Lester,Directed,1,23,Exchange
114,115,Big Boy,Bobo,Directed,1,23,Exchange
114,230,Big Boy,Lester,Directed,1,23,Exchange
228,115,Buck,Bobo,Directed,1,24,Exchange
115,228,Bobo,Buck,Directed,1,24,Exchange
230,114,Lester,Big Boy,Directed,1,24,Exchange
114,228,Big Boy,Buck,Directed,1,24,Exchange
114,115,Big Boy,Bobo,Directed,1,24,Exchange
115,114,Bobo,Big Boy,Directed,1,24,Exchange
228,114,Buck,Big Boy,Directed,1,24,Exchange
115,230,Bobo,Lester,Directed,1,24,Exchange
230,228,Lester,Buck,Directed,1,24,Exchange
230,115,Lester,Bobo,Directed,1,24,Exchange
228,230,Buck,Lester,Directed,1,24,Exchange
114,230,Big Boy,Lester,Directed,1,24,Exchange
114,115,Big Boy,Bobo,Directed,1,25,Exchange
230,115,Lester,Bobo,Directed,1,25,Exchange
114,230,Big Boy,Lester,Directed,1,25,Exchange
230,228,Lester,Buck,Directed,1,25,Exchange
114,228,Big Boy,Buck,Directed,1,25,Exchange
230,114,Lester,Big Boy,Directed,1,25,Exchange
115,228,Bobo,Buck,Directed,1,25,Exchange
228,115,Buck,Bobo,Directed,1,25,Exchange
228,114,Buck,Big Boy,Directed,1,25,Exchange
228,230,Buck,Lester,Directed,1,25,Exchange
115,230,Bobo,Lester,Directed,1,25,Exchange
115,114,Bobo,Big Boy,Directed,1,25,Exchange
115,114,Bobo,Big Boy,Directed,1,26,Exchange
115,228,Bobo,Buck,Directed,1,26,Exchange
228,114,Buck,Big Boy,Directed,1,26,Exchange
228,115,Buck,Bobo,Directed,1,26,Exchange
228,230,Buck,Lester,Directed,1,26,Exchange
230,228,Lester,Buck,Directed,1,26,Exchange
115,230,Bobo,Lester,Directed,1,26,Exchange
230,115,Lester,Bobo,Directed,1,26,Exchange
114,230,Big Boy,Lester,Directed,1,26,Exchange
114,228,Big Boy,Buck,Directed,1,26,Exchange
230,114,Lester,Big Boy,Directed,1,26,Exchange
114,115,Big Boy,Bobo,Directed,1,26,Exchange
228,114,Buck,Big Boy,Directed,1,27,Exchange
115,230,Bobo,Lester,Directed,1,27,Exchange
230,115,Lester,Bobo,Directed,1,27,Exchange
114,115,Big Boy,Bobo,Directed,1,27,Exchange
114,230,Big Boy,Lester,Directed,1,27,Exchange
114,228,Big Boy,Buck,Directed,1,27,Exchange
115,228,Bobo,Buck,Directed,1,27,Exchange
115,114,Bobo,Big Boy,Directed,1,27,Exchange
228,115,Buck,Bobo,Directed,1,27,Exchange
228,230,Buck,Lester,Directed,1,27,Exchange
230,114,Lester,Big Boy,Directed,1,27,Exchange
230,228,Lester,Buck,Directed,1,27,Exchange
115,114,Bobo,Big Boy,Directed,1,28,Exchange
115,230,Bobo,Lester,Directed,1,28,Exchange
114,115,Big Boy,Bobo,Directed,1,28,Exchange
115,228,Bobo,Buck,Directed,1,28,Exchange
228,115,Buck,Bobo,Directed,1,28,Exchange
228,114,Buck,Big Boy,Directed,1,28,Exchange
228,230,Buck,Lester,Directed,1,28,Exchange
230,228,Lester,Buck,Directed,1,28,Exchange
230,115,Lester,Bobo,Directed,1,28,Exchange
230,114,Lester,Big Boy,Directed,1,28,Exchange
114,228,Big Boy,Buck,Directed,1,28,Exchange
114,230,Big Boy,Lester,Directed,1,28,Exchange
228,230,Buck,Lester,Directed,1,29,Exchange
115,230,Bobo,Lester,Directed,1,29,Exchange
114,230,Big Boy,Lester,Directed,1,29,Exchange
230,228,Lester,Buck,Directed,1,29,Exchange
115,228,Bobo,Buck,Directed,1,29,Exchange
228,114,Buck,Big Boy,Directed,1,29,Exchange
230,115,Lester,Bobo,Directed,1,29,Exchange
114,228,Big Boy,Buck,Directed,1,29,Exchange
115,114,Bobo,Big Boy,Directed,1,29,Exchange
230,114,Lester,Big Boy,Directed,1,29,Exchange
228,115,Buck,Bobo,Directed,1,29,Exchange
114,115,Big Boy,Bobo,Directed,1,29,Exchange
115,114,Bobo,Big Boy,Directed,1,30,Exchange
115,228,Bobo,Buck,Directed,1,30,Exchange
228,230,Buck,Lester,Directed,1,30,Exchange
228,115,Buck,Bobo,Directed,1,30,Exchange
117,232,Bertha,Jim Harvey,Directed,1,30,Exchange
117,114,Bertha,Big Boy,Directed,1,30,Exchange
230,228,Lester,Buck,Directed,1,30,Exchange
114,117,Big Boy,Bertha,Directed,1,30,Exchange
115,230,Bobo,Lester,Directed,1,30,Exchange
228,117,Buck,Bertha,Directed,1,30,Exchange
228,114,Buck,Big Boy,Directed,1,30,Exchange
230,117,Lester,Bertha,Directed,1,30,Exchange
232,230,Jim Harvey,Lester,Directed,1,30,Exchange
232,117,Jim Harvey,Bertha,Directed,1,30,Exchange
230,114,Lester,Big Boy,Directed,1,30,Exchange
114,230,Big Boy,Lester,Directed,1,30,Exchange
114,115,Big Boy,Bobo,Directed,1,30,Exchange
230,115,Lester,Bobo,Directed,1,30,Exchange
115,117,Bobo,Bertha,Directed,1,30,Exchange
114,228,Big Boy,Buck,Directed,1,30,Exchange
114,117,Big Boy,Bertha,Directed,1,31,Exchange
228,114,Buck,Big Boy,Directed,1,31,Exchange
228,115,Buck,Bobo,Directed,1,31,Exchange
230,114,Lester,Big Boy,Directed,1,31,Exchange
115,114,Bobo,Big Boy,Directed,1,31,Exchange
232,114,Jim Harvey,Big Boy,Directed,1,31,Exchange
232,117,Jim Harvey,Bertha,Directed,1,31,Exchange
230,117,Lester,Bertha,Directed,1,31,Exchange
117,114,Bertha,Big Boy,Directed,1,31,Exchange
115,228,Bobo,Buck,Directed,1,31,Exchange
114,115,Big Boy,Bobo,Directed,1,31,Exchange
114,230,Big Boy,Lester,Directed,1,31,Exchange
232,228,Jim Harvey,Buck,Directed,1,31,Exchange
114,232,Big Boy,Jim Harvey,Directed,1,31,Exchange
228,230,Buck,Lester,Directed,1,31,Exchange
114,228,Big Boy,Buck,Directed,1,31,Exchange
230,115,Lester,Bobo,Directed,1,31,Exchange
232,230,Jim Harvey,Lester,Directed,1,31,Exchange
115,232,Bobo,Jim Harvey,Directed,1,31,Exchange
228,117,Buck,Bertha,Directed,1,31,Exchange
117,232,Bertha,Jim Harvey,Directed,1,31,Exchange
