id_cont,Title,Level,Start Page_cont,End Page_cont,Narrator,Protagonist,Embed. Type,id_rel,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page_rel,End Page_rel,index
1,August,level 1 (section),3,16,[NULL],Alyona Golosovsky,[NULL],7,Exchange,Alyona Golosovsky,Sophia Golosovsky,1,August,3,16,
1,August,level 1 (section),3,16,[NULL],Alyona Golosovsky,[NULL],8,Knows,Alyona Golosovsky,Marina Alexandrovna,1,August,4,4,
1,August,level 1 (section),3,16,[NULL],Alyona Golosovsky,[NULL],9,Knows of,Alyona Golosovsky,Yegor Gusakov,1,August,5,5,
1,August,level 1 (section),3,16,[NULL],Alyona Golosovsky,[NULL],10,Knows,Alyona Golosovsky,Marina Alexandrovna,1,August,9,9,
1,August,level 1 (section),3,16,[NULL],Alyona Golosovsky,[NULL],11,Exchange,Alyona Golosovsky,Yegor Gusakov,1,August,9,15,
1,August,level 1 (section),3,16,[NULL],Alyona Golosovsky,[NULL],13,Exchange,Sophia Golosovsky,Yegor Gusakov,1,August,10,13,
1,August,level 1 (section),3,16,[NULL],Alyona Golosovsky,[NULL],14,Exchange,Alyona Golosovsky,Sophia Golosovsky,1,August,14,16,
1,August,level 1 (section),3,16,[NULL],Alyona Golosovsky,[NULL],15,Exchange,Yegor Gusakov,Sophia Golosovsky,1,August,15,15,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],16,Exchange,Olya/Olga,Diana,1,September,17,17,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],17,Knows,Olya/Olga,Valentina Nikolaevna,1,September,17,17,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],18,Knows,Olya/Olga,Olya's mother,1,September,17,21,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],19,Knows of,Olya/Olga,Sophia Golosovsky,0,September,17,17,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],20,Knows of,Olya/Olga,Alyona Golosovsky,0,September,17,17,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],21,Knows,Olya/Olga,Diana,1,September,18,18,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],22,Exchange,Olya/Olga,Diana,0,September,19,20,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],23,Knows,Olya/Olga,history teacher,1,September,18,18,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],24,Knows of,Olya/Olga,"""someone's girlfriend""",0,September,18,18,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],25,Knows,Olya/Olga,Classmate 1 (in photo),1,September,18,18,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],26,Knows,Olya/Olga,"A ""girl they knew"" (in photo)",1,September,18,19,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],27,Knows,Olya/Olga,Classmate 2 (in photo),1,September,19,19,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],28,Knows,Diana,"A ""girl they knew"" (in photo)",1,September,18,19,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],29,Knows,Diana,Classmate 1 (in photo),1,September,18,18,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],30,Knows,Diana,Classmate 2 (in photo),1,September,19,19,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],31,Knows,Olya/Olga,"""the kid who sat behind [Olya]""",1,September,20,21,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],32,Exchange,Olya/Olga,"""the nurse giving [Olya] an injection""",1,September,20,20,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],33,Exchange,Olya/Olga,grocery-store cashier,1,September,20,20,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],34,Exchange,Diana,Olya/Olga,1,September,21,21,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],35,Knows,Olya/Olga,Diana,1,September,21,26,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],36,Exchange,Valentina Nikolaevna,Olya/Olga,1,September,22,25,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],37,Knows of,Diana,"""a couple""",1,September,22,22,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],38,Knows,Diana,Classmate 1 (in photo),1,September,23,23,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],39,Knows,Valentina Nikolaevna,Diana,1,September,22,23,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],40,Knows of,Valentina Nikolaevna,Olya's mother,1,September,23,23,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],41,Knows,Olya/Olga,Olya's mother,1,September,24,26,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],43,Exchange,Valentina Nikolaevna,Diana,1,September,24,24,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],44,Knows of,Valentina Nikolaevna,Alyona Golosovsky,0,September,24,24,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],45,Knows of,Valentina Nikolaevna,Sophia Golosovsky,0,September,24,24,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],46,Knows of,Diana,Alyona Golosovsky,0,September,24,24,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],47,Knows of,Diana,Sophia Golosovsky,0,September,24,24,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],49,Knows of,Olya/Olga,Alyona Golosovsky,0,September,24,24,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],50,Knows of,Olya/Olga,Sophia Golosovsky,0,September,24,24,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],51,Knows of,Valentina Nikolaevna,migrants (generally),0,September,24,24,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],52,Knows of,Valentina Nikolaevna,Native peoples of Kamchatka,0,September,24,24,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],53,Knows of,Diana,migrants (generally),0,September,24,24,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],54,Knows of,Diana,Native peoples of Kamchatka,0,September,24,24,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],55,Knows of,Olya/Olga,migrants (generally),0,September,24,24,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],56,Knows of,Olya/Olga,Native peoples of Kamchatka,0,September,24,24,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],57,Knows of,Olya/Olga,Marina Alexandrovna,0,September,24,25,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],58,Knows of,Valentina Nikolaevna,Marina Alexandrovna,0,September,24,25,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],59,Knows of,Diana,Marina Alexandrovna,0,September,24,25,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],60,Exchange,Olya's mother,Diana,1,September,25,25,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],62,Knows of,Diana,Alyona Golosovsky,0,September,26,26,
2,September,level 1 (section),17,31,[NULL],Olya/Olga,[NULL],63,Knows of,Diana,Sophia Golosovsky,0,September,26,26,
