leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Valentina Nikolaevna",red,61,"Olya/Olga (30.5); Diana (22.3); Olya's mother (15.6); Valentina's Husband (name?) (15.1); Dr. Popkov (11.8)",30,211.0000,39.62,8,
"Ksyusha/Ksenia Adukanov",blue,51,"Ruslan (28.6); Chander (27.2); Alisa (26.8); The dance troupe (21.1); Margarita Anatolyevna (18.0)",7,444.0000,72.49,4,
"Marina Alexandrovna",yellow,43,"Alyona Golosovsky (63.9); Sophia Golosovsky (61.5); Yegor Gusakov (34.8); Eva (31.6); Petya (30.5)",32,639.0000,100.00,1,
"Lada",magenta,37,"Kristina (24.2); Masha/Mashenka Zakotnova (22.6); Kristina's cousin (15.2); Kristina's boyfriend (11.8); Masha's parents (11.8)",28,160.0000,32.43,0,
"Oksana",green,37,"Katya/Ekaterina (31.9); Max/Maxim (27.6); Malysh (Oksana's dog) (19.2); Anton (17.2); the kidnapper (15.5)",22,220.0000,40.89,6,
"Natasha/Natalia",cyan,32,"Alla Innokentevna (54.3); Lilia Solodikova (43.4); Anfisa (33.3); Denis (31.2); Lev (26.5)",12,430.0000,70.52,3,
"Chegga/Sergei Adukanov",purple,24,"Nadia/Nadezhda (44.8); Mila/Ludmila (27.1); Baba / Nadia's Mother (22.3); Nadia's father (19.5); Slava Bychkov (17.3)",8,312.0000,53.87,2,
"Revmira",orange,24,"Artyom (19.6); Gleb (13.7); Inna (Artyom's Teammate's Wife) (12.4); Revmira's Father (11.8); Revmira's Mother (11.8)",16,164.0000,32.99,7,
"Kolya/Nikolai Danilovich / Lieutenant Ryakhovsky",salmon,14,"Zoya (32.6); Fedya (18.0); Dima (17.6); Sasha/Alexandra (16.1); Tatyana Yurievna (13.5)",17,250.0000,45.13,9,
"dancers (218)",,9,"Nurgenek Festival Attendees (14.4); a native craftsman (11.6); volunteer (221) (11.6); Russians (generally??) (11.4); boy (221) (11.3)",359,44.0000,16.07,5,
