leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Marie Beaudoin",blue,34,"Sylvie Beaudoin (74.2); Johnny Beaudoin (32.7); Slutty Christy (24.9); Michelle (23.1); Helen Mckay (20.5)",11,201.0000,97.82,154,
"Bing/Bernard Espiritu",salmon,33,"Edna Espiritu (57.6); Tita Mae (19.6); Estheticians at Edna's salon (18.3); Hakim (17.0); children in the community (15.2)",28,206.0000,100.00,111,
"Victor",cyan,22,"Lady Roy (19.6); Cindy (17.0); The police (17.0); Pamela Roy (15.7); White people (13.1)",96,31.0000,23.54,207,
"Laura Mitkowski",red,20,"Cory Mitkowski (41.9); Clive (17.4); Ivana (16.1); Mrs. Kamal (16.1); Jessica (Laura's Mom) (14.4)",3,94.0000,51.07,140,
"Hina Hassani",yellow,12,"Jane Fulton (31.0); Evalyn Chau (17.0); ""the literary centre's regulars"" (132) (13.5); Family Doctor (Hina's friend) (13.5); Ryan Hoffman (13.5)",5,170.0000,84.27,182,
"Clementine (orangutan)",orange,7,"Clementine's siblings (13.5); Other animals (at the zoo) (13.5); Zookeepers (12.6); Painted Box Turtles (11.7); Visitors (of the zoo) (11.7)",106,8.0000,13.50,224,
"Elder Fay",,6,"Bing's Class (12.6); Mrs. Rhodes (11.7); Aiden Chan (10.9); Cole Hester (10.9); Levy (10.9)",295,10.0000,14.37,115,
"the cashier (dollar store)",,6,"the manager (dollar store) (13.5); ""the lady in front of us"" (80) (12.6); ""the rest of the line"" (80) (12.6); Mr. George (12.6); ""a man with a basket of party favours"" (79) (11.7)",115,8.0000,13.50,195,
"Clara Jane Donohue",,5,"Edward Donohue (22.2); Wendy Donohue (20.5); Uncle Olly (19.6); Jason (11.7)",7,43.0000,28.79,113,
"Winsum",,4,"Lorna (16.1); Melvin (13.5); person on the phone with Winsum (11.7)",121,30.0000,23.11,216,
"Residents of the Galloway Shelter",,3,"""abusive partners"" (10.9); ""angry drug dealers"" (10.9)",216,6.0000,12.62,180,
"Aunt (who took away the woman's kids)",,3,"Kids (of the woman who collapsed) (10.9); Woman (Michelle sees collapse) (10.9)",225,4.0000,11.75,220,
"""some man wearing a UFC bandana"" (79)",,2,"""white lady wearing a muumuu"" (78) (10.9)",113,2.0000,10.87,75,
"Autistic child (in video)",,2,"Caregiver (in video) (10.9)",368,2.0000,10.87,88,
"Babies",,2,"Filipinos (10.9)",244,2.0000,10.87,121,
"""parents"" (of children in Landau's class)",,2,"Mrs Landau (10.9)",179,2.0000,10.87,158,
"Parker",,2,"Parker's mom (10.9)",17,2.0000,10.87,170,
"Five Women (holding certificates)",,2,"Photographer (10.9)",371,4.0000,11.75,174,
"Brown family",,2,"Ravinder Kaur (10.9)",308,2.0000,10.87,178,
"""Mitchell next door"" (72)",,2,"Richard (10.9)",94,2.0000,10.87,181,
"People in the East Point Bird Sanctuary",,2,"Wives (of homosexuals) (10.9)",262,2.0000,10.87,219,
"""a cop"" (118)",,1,,183,0.0000,10.00,0,
"""a crowd of people"" (125)",,1,,187,0.0000,10.00,1,
"""a few folks"" (84)",,1,,128,0.0000,10.00,2,
"""a flurry of children"" (60)",,1,,78,0.0000,10.00,3,
"""a parent"" (131)",,1,,199,0.0000,10.00,4,
"""a teacher"" (87)",,1,,132,0.0000,10.00,5,
"""a white lady"" at the nail salon (68)",,1,,91,0.0000,10.00,6,
"""a young girl named Samantha"" (108)",,1,,162,0.0000,10.00,7,
"""Ada, the palm reader"" (74)",,1,,101,0.0000,10.00,8,
"""all the girls on the playground"" (113)",,1,,168,0.0000,10.00,9,
"""all the parents"" (61)",,1,,82,0.0000,10.00,10,
"""Brothers""(141)",,1,,388,0.0000,10.00,11,
"""Children""(141)",,1,,390,0.0000,10.00,12,
"""chubby white boy with red hair"" (77)",,1,,110,0.0000,10.00,13,
"""Cousins"" (141)",,1,,387,0.0000,10.00,14,
"""Daddies"" (141)",,1,,391,0.0000,10.00,15,
"""each student"" (117)",,1,,178,0.0000,10.00,16,
"""families with lighter skin"" (113)",,1,,169,0.0000,10.00,17,
"""fat kids"" (108)",,1,,164,0.0000,10.00,18,
"""Fathers"" (141)",,1,,386,0.0000,10.00,19,
"""four gangly teens"" (84)",,1,,126,0.0000,10.00,20,
"""grade three classmates"" (24)",,1,,19,0.0000,10.00,21,
"""her mother in law"" (36)",,1,,33,0.0000,10.00,22,
"""Hilda""",,1,,266,0.0000,10.00,23,
"""his friends who came over"" (72)",,1,,95,0.0000,10.00,24,
"""his grandma"" (78)",,1,,111,0.0000,10.00,25,
"""hungry people"" (57)",,1,,75,0.0000,10.00,26,
"""Indian kids"" (26)",,1,,22,0.0000,10.00,27,
"""Kids"" (at the Woodbine Racetrack) (138)",,1,,215,0.0000,10.00,28,
