leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Bing/Bernard Espiritu",salmon,86,"Edna Espiritu (80.7); children in the community (35.3); parents in the community (35.0); Mrs. Finnegan (23.3); Bing's Dad (18.8)",28,558.0000,91.38,4,
"Sylvie Beaudoin",blue,68,"Marie Beaudoin (78.7); Johnny Beaudoin (70.0); Jonathon Beaudoin (23.9); Michelle (18.9); Mr. George (18.8)",10,617.0000,100.00,3,
"Laura Mitkowski",red,60,"Cory Mitkowski (56.8); Mrs. Rhodes (18.2); Jessica (Laura's Mom) (15.6); Mrs. Kamal (15.1); Mrs Landau (13.9)",3,385.0000,66.10,2,
"Hina Hassani",yellow,43,"Jane Fulton (42.6); Helen Mckay (38.8); Fern Donahue (38.6); Evan Roy (37.2); Tasha Roy (37.2)",5,491.0000,81.59,8,
"The police",cyan,41,"Victor (18.9); Cindy (15.6); Eunice's puppies (15.6); Travis (15.6); Eunice (Cindy's dog) (14.5)",59,86.0000,22.42,1,
"Slutty Christy",orange,31,"Clementine (orangutan) (17.7); Roy (Christy's boyfriend) (17.0); the orangutan's mother (in story) (14.4); ""the zookeeper"" (in story) (108) (12.8); ""a young girl named Samantha"" (108) (12.2)",25,82.0000,21.83,7,
"Clara Jane Donohue",magenta,31,"Clive (18.3); Santa (18.3); Winsum (17.2); Edward Donohue (17.0); Lorna (16.1)",7,71.0000,20.23,10,
"Rouge Hill Parents",,6,"Children in Pearson Memorial Junior Public School (10.6); Girl (projecting a presentation) (10.6); Rouge Hill Secretary (10.6); School-aged-children (10.6); Tammy (10.6)",313,10.0000,11.31,6,
"""the literary centre's regulars"" (132)",,6,"Micah the martian (12.0); ""a parent"" (131) (10.7); ""a toddler"" (131) (10.7); ""the band Kiss"" (131) (10.7); the band Kiss (10.7)",208,40.0000,15.70,9,
"Bob Marley",,4,"Brown family (10.3); Elders (10.3); Ravinder Kaur (10.3)",306,3.0000,10.29,0,
"Five Women (holding certificates)",,2,"Photographer (10.0)",371,1.0000,10.00,5,
