leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Gabriel Balboa",red,51,"Emi (91.5); Buzzworm (86.7); Kerry the Technician (21.7); Manzanar Murakami (18.9); Unnamed members of L.A. Underclass (17.7)",69,223.0000,100.00,198,
"Arcangel/El Gran Mojado",magenta,47,"Rodriguez (18.9); Northern People (16.5); Bus passengers (15.7); border guard (12.4); people in car jam (12.4)",70,136.0000,64.89,389,
"Rafaela Cortés",orange,24,"Bobby Ngu (46.7); Sol (39.1); Doña Maria (30.2); The Orange (24.5); Hernando (Dona Maria's son) (17.3)",66,155.0000,72.56,415,
"Chief",salmon,9,"Mayor of L.A. (12.8); Brother in a '78 Pontiac (11.6); Mother with two year old (11.6); one of the entourage (11.6); Another brother 3 (11.2)",840,7.0000,12.83,108,
"El Gran Mojado",yellow,5,"Audience/Crowd (15.7); cockfight crowd (14.0); someone in cockfight crowd (11.6); SUPERNAFTA (10.8)",419,19.0000,17.67,166,
"Audience Members",,5,"Guest on the right (16.5); Guest in the middle (14.8); Guest on the left (14.8); Smokey Pick-n-save and Pollyanna (12.0)",474,17.0000,16.86,218,
"Corazon Juarez",,4,"airport anouncer (11.6); hospital aide (11.6); man with briefcase (10.8)",95,10.0000,14.04,126,
"Japan America Theatre worker",,3,"Chris (10.8); Qris (10.8)",719,4.0000,11.61,248,
"Robert McNeil",,3,"The Greek audience (11.6); The Jubilee Choir (11.6)",687,4.0000,11.61,511,
"Beast",,2,"Beauty (10.8)",682,2.0000,10.81,48,
"Andrei Codrescu",,2,"Central Library attendees (10.8)",698,2.0000,10.81,94,
"Cisco",,2,"Cisco's dealer (10.8)",190,2.0000,10.81,115,
"fan 1",,2,"fan 2 (10.8)",784,2.0000,10.81,184,
"AQMD",,2,"L.A. citizens (10.8)",614,2.0000,10.81,274,
"Lover One",,2,"Lover Two (10.8)",620,2.0000,10.81,301,
"Cadillac Occupant",,2,"Mara Sadat (10.8)",503,2.0000,10.81,313,
"Gawkers",,2,"Market sellers (205) (10.8)",705,2.0000,10.81,322,
"Driver of red Porsche",,2,"Passenger in red Porsche (10.8)",269,2.0000,10.81,385,
"Japanese American actors",,2,"Santa Anita Racetrack crowd (10.8)",710,2.0000,10.81,442,
"Talk Radio Stations",,2,"Talk Show Tiffany (11.6)",391,4.0000,11.61,493,
"Homeless trader",,2,"The NewsNow Van (10.8)",608,2.0000,10.81,516,
"Julio Iglesias",,2,"Thousands of Iglesias fans (10.8)",685,2.0000,10.81,534,
"Stomp performers",,2,"Wadsworth audience (10.8)",720,2.0000,10.81,561,
"City Bureaucrats",,2,"Woman at Neighbourhood meeting (11.6)",248,4.0000,11.61,580,
"""A brother""",,1,,494,0.0000,10.00,0,
"""Celestials""",,1,,515,0.0000,10.00,1,
"""Colored People"" (Abstract)",,1,,341,0.0000,10.00,2,
"""commenter""",,1,,772,0.0000,10.00,3,
"""Everybody down south""",,1,,413,0.0000,10.00,4,
"""local aborigines""",,1,,769,0.0000,10.00,5,
"""Mexicans and centroamericanos""",,1,,517,0.0000,10.00,6,
"""People in the way""",,1,,250,0.0000,10.00,7,
"""Poor Indian types""",,1,,510,0.0000,10.00,8,
"""Some real estate person""",,1,,346,0.0000,10.00,9,
"""The Doctor""",,1,,316,0.0000,10.00,10,
"""The gays at the end of the bar""",,1,,371,0.0000,10.00,11,
"""The guy with the turban""",,1,,372,0.0000,10.00,12,
"""They"" (The gov't)",,1,,762,0.0000,10.00,13,
