leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Gabriel Balboa",red,51,"Emi (91.5); Buzzworm (86.6); Kerry the Technician (21.4); Manzanar Murakami (18.5); Unnamed members of L.A. Underclass (17.3)",69,223.0000,100.00,7,
"Arcangel/El Gran Mojado",magenta,47,"Rodriguez (18.5); Northern People (16.1); Bus passengers (15.3); border guard (12.0); people in car jam (12.0)",70,136.0000,64.73,16,
"Rafaela Cortés",orange,24,"Bobby Ngu (46.5); Sol (38.8); Doña Maria (29.9); The Orange (24.2); Hernando (Dona Maria's son) (16.9)",66,155.0000,72.43,17,
"Chief",salmon,9,"Mayor of L.A. (12.4); Brother in a '78 Pontiac (11.2); Mother with two year old (11.2); one of the entourage (11.2); Another brother 3 (10.8)",840,7.0000,12.43,14,
"El Gran Mojado",yellow,5,"Audience/Crowd (15.3); cockfight crowd (13.6); someone in cockfight crowd (11.2); SUPERNAFTA (10.4)",419,19.0000,17.30,5,
"Audience Members",,5,"Guest on the right (16.1); Guest in the middle (14.5); Guest on the left (14.5); Smokey Pick-n-save and Pollyanna (11.6)",474,17.0000,16.49,8,
"Corazon Juarez",,4,"airport anouncer (11.2); hospital aide (11.2); man with briefcase (10.4)",95,10.0000,13.65,4,
"Japan America Theatre worker",,3,"Chris (10.4); Qris (10.4)",719,4.0000,11.22,9,
"Robert McNeil",,3,"The Greek audience (11.2); The Jubilee Choir (11.2)",687,4.0000,11.22,20,
"Beast",,2,"Beauty (10.4)",682,2.0000,10.41,0,
"Andrei Codrescu",,2,"Central Library attendees (10.4)",698,2.0000,10.41,1,
"Cisco",,2,"Cisco's dealer (10.4)",190,2.0000,10.41,2,
"fan 1",,2,"fan 2 (10.4)",784,2.0000,10.41,6,
"AQMD",,2,"L.A. citizens (10.4)",614,2.0000,10.41,10,
"Lover One",,2,"Lover Two (10.4)",620,2.0000,10.41,11,
"Cadillac Occupant",,2,"Mara Sadat (10.4)",503,2.0000,10.41,12,
"Gawkers",,2,"Market sellers (205) (10.4)",705,2.0000,10.41,13,
"Driver of red Porsche",,2,"Passenger in red Porsche (10.4)",269,2.0000,10.41,15,
"Japanese American actors",,2,"Santa Anita Racetrack crowd (10.4)",710,2.0000,10.41,18,
"Talk Radio Stations",,2,"Talk Show Tiffany (11.2)",391,4.0000,11.22,19,
"Homeless trader",,2,"The NewsNow Van (10.4)",608,2.0000,10.41,21,
"Julio Iglesias",,2,"Thousands of Iglesias fans (10.4)",685,2.0000,10.41,22,
"Stomp performers",,2,"Wadsworth audience (10.4)",720,2.0000,10.41,23,
"City Bureaucrats",,2,"Woman at Neighbourhood meeting (11.2)",248,4.0000,11.22,24,
"Cockfighters",,1,,541,4.0000,11.22,3,
