leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Buzzworm",blue,204,"Manzanar Murakami (32.8); The homeless (abstract) (17.8); Margarita (12.9); ""Homey on the other end"" (12.6); Talk Radio Stations (12.1)",87,632.0000,84.35,13,
"Gabriel Balboa",red,192,"Emi (72.4); Unnamed members of L.A. Underclass (21.3); Kerry the Technician (20.5); Corazon Juarez (15.9); Luey the Cameraman (15.1)",69,765.0000,100.00,8,
"Rafaela Cortés",orange,141,"Bobby Ngu (60.6); Sol (40.6); Doña Maria (28.7); The Orange (21.1); Hernando (Dona Maria's son) (20.2)",66,502.0000,69.06,18,
"Arcangel/El Gran Mojado",magenta,117,"Bus passengers (15.6); Northern People (14.8); people in car jam (12.0); Cantina waiter (11.6); border guard (11.4)",70,349.0000,51.06,2,
"El Gran Mojado",yellow,24,"SUPERNAFTA (16.9); Audience/Crowd (14.8); El Gran Chingón (12.1); La Chingada (12.1); La Raza Cósmica (12.1)",419,59.0000,16.94,24,
"Placido Domingo",,5,"Dorothy Buffum Chandler (10.5); Opera crowd (10.5); Peter Sellers (10.5); Rossini (10.4)",674,6.0000,10.71,20,
"Shaquille O'Neal",,5,"Chicago Bulls (10.9); Forum crowd (10.9); Scottie Pippen (10.9); The Lakers (10.9)",268,9.0000,11.06,21,
"Rose Bowl crowd",,5,"UCLA team (10.9); USC team (10.9); Bruin mascot (10.7); sweaty trojan horse rider (10.7)",660,8.0000,10.94,30,
"Motorcyclist in a pink suit and pink helmet",,4,"A rubbie (or two) (10.2); Heaven's Devils (10.2); Hell's Angels (10.2)",616,9.0000,11.06,15,
"Beast",,3,"Beauty (10.5); Shubert crowd (10.5)",682,4.0000,10.47,0,
"fan 1",,3,"fan 2 (10.5); fan 2's mom (10.5)",784,4.0000,10.47,7,
"Hollywood Bowl audience",,3,"Hollywood Bowl Orchestra (10.5); John Mauceri (10.5)",691,4.0000,10.47,9,
"Hideo Nomo",,3,"Nomo fans (10.5); The Dodgers (10.5)",667,4.0000,10.47,16,
"Chris",,3,"Japan America Theatre worker (10.5); Qris (10.5)",717,4.0000,10.47,17,
"Sin Yang Chang",,3,"Sin Yang Chang's wife (10.4); Steven Spielberg (10.2)",712,3.0000,10.35,23,
"Robert McNeil",,3,"The Greek audience (10.5); The Jubilee Choir (10.5)",687,4.0000,10.47,27,
"Japanese American actors",,3,"Santa Anita Racetrack crowd (10.4); undocumenteds/illegals/aliens (10.4)",710,3.0000,10.35,29,
"Boxing match attendees",,2,"Bud Girls (10.2)",673,2.0000,10.24,1,
"Andrei Codrescu",,2,"Central Library attendees (10.2)",698,2.0000,10.24,3,
"Chicanos",,2,"César Chávez (10.1)",702,1.0000,10.12,5,
"4-H demonstrators",,2,"L.A. County Fair attendees (10.2)",708,2.0000,10.24,10,
"King Tut",,2,"LACMA attendees (10.1)",696,1.0000,10.12,11,
"Gawkers",,2,"Market sellers (205) (10.2)",705,2.0000,10.24,12,
"Andy Warhol",,2,"MOCA attendees (10.1)",694,1.0000,10.12,14,
"Oscar awards crowd",,2,"Richard Sakai (10.2)",680,2.0000,10.24,19,
"dinner attendees",,2,"several Republican presidential candidates (10.2)",716,2.0000,10.24,22,
"Sports Arena crowd",,2,"The Clippers (10.2)",664,2.0000,10.24,26,
"Julio Iglesias",,2,"Thousands of Iglesias fans (10.2)",685,2.0000,10.24,28,
"Stomp performers",,2,"Wadsworth audience (10.2)",720,2.0000,10.24,32,
"Chinese housewives",,1,,684,2.0000,10.24,4,
"E.T.",,1,,138,0.0000,10.00,6,
"Surfers",,1,,700,0.0000,10.00,25,
"Volleyball teams",,1,,704,2.0000,10.24,31,
