leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Gabriel Balboa",red,228,"Buzzworm (84.8); Emi (81.7); Manzanar Murakami (49.3); Unnamed members of L.A. Underclass (42.6); The homeless (abstract) (29.1)",69,763.0000,100.00,1,
"Rafaela Cortés",orange,125,"Bobby Ngu (61.3); Sol (59.4); Xiayue (31.6); Doña Maria (31.2); Hernando (Dona Maria's son) (29.6)",66,562.0000,76.29,4,
"Arcangel/El Gran Mojado",magenta,124,"The Orange (28.2); Bus passengers (17.0); Che Guevara (17.0); Archbishop Romero (15.7); Sandino (15.7)",70,310.0000,46.57,5,
"Margarita",blue,97,"Talk Radio Stations (16.0); Bloods (15.2); Crips (15.2); Buzzworm's Grandmother (14.0); The kid who survived / dies (13.8)",251,59.0000,16.96,2,
"El Gran Mojado",yellow,38,"SUPERNAFTA (18.7); Audience/Crowd (17.0); cockfight crowd (12.7); CIA (11.4); Cockfighters (11.3)",419,100.0000,21.80,7,
"migrants",cyan,37,"Americans (abstract) (18.1); ""Celestials"" (16.1); Barbie (15.8); Dorothy Buffum Chandler (15.8); Shaquille O'Neal (15.4)",443,82.0000,19.67,12,
"undocumenteds/illegals/aliens",,34,"Surfers (14.7); 4-H demonstrators (13.9); Andrei Codrescu (13.9); Andy Warhol (13.9); Central Library attendees (13.9)",450,58.0000,16.84,8,
"Mayor of L.A.",,26,"Chief (12.2); Politicos (12.2); Viet Cong (12.2); bad-mouth baby rappers (11.3); Black men (abstract) (11.3)",530,30.0000,13.54,3,
"Hiro (The Sushimaker)",,21,"Car Owners and Passengers (abstract) (13.4); Japanophile Woman (13.2); Chicana who looks Persian (12.6); White guy who looks Cherokee/Navajo (12.6); ""The gays at the end of the bar"" (11.5)",353,45.0000,15.31,11,
"Wally Amos (Famous Amos)",,12,"Douglas MacArthur (11.5); Griffith J. Griffith (11.5); Henry Huntington (Huntington Beach) (11.5); Saint Fernando (11.5); St. Ana (11.5)",368,21.0000,12.48,6,
"The Dead Boy's Crew",,5,"coroner (10.6); Mother of the dead boy (10.6); Reclaim Our Children (10.6); The dead boy's brother (10.6)",305,9.0000,11.06,10,
"E.T.",,1,,138,0.0000,10.00,0,
"Surfers",,1,,700,0.0000,10.00,9,
