leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Quentin Compson III",blue,48,"Caddy Compson (70.0); Jason Compson III (34.3); Versh Gibson (27.6); Shreve (23.2); Spoade (19.9)",1444,395.0000,92.87,80,
"Jason Compson IV",red,35,"Caroline Bascomb Compson (64.8); Miss Quentin Compson (25.7); Earl (17.8); Maury Bascomb (16.3); Uncle Job (13.4)",1434,429.0000,100.00,132,
"Benjamin Compson",yellow,17,"Dilsey Gibson (73.8); Luster Gibson (46.7); T.P. (23.4); Frony Gibson (19.2); Roskus Gibson (16.1)",1443,317.0000,76.50,8,
"Church-goers",green,4,"Reverend Shegog (12.1); Woman (soprano) (10.8); Choir (10.4)",1532,18.0000,13.78,127,
"""n*****s""",,1,,1538,0.0000,10.00,0,
"Santy Claus",,1,,1449,0.0000,10.00,1,
"""the soldier""",,1,,1488,0.0000,10.00,2,
"Damuddy",,1,,1494,0.0000,10.00,3,
"Sis Beulah Clay",,1,,1498,0.0000,10.00,4,
"Satan",,1,,1499,0.0000,10.00,5,
"Miss Quentin""s suitors",,1,,1676,0.0000,10.00,6,
"Mr. Burgess",,1,,1486,0.0000,10.00,7,
"Luster""s father",,1,,1678,0.0000,10.00,9,
"Teachers",,1,,1501,0.0000,10.00,10,
"Charles Stuart Compson",,1,,1503,0.0000,10.00,11,
"Jesus",,1,,1497,0.0000,10.00,12,
"Saint Francis",,1,,1510,0.0000,10.00,13,
"Students of Harvard",,1,,1513,0.0000,10.00,14,
"Southern men",,1,,1515,0.0000,10.00,15,
"Dalton Ames"" mother",,1,,1517,0.0000,10.00,16,
"Dalton Ames"" father",,1,,1518,0.0000,10.00,17,
"George Washington",,1,,1519,0.0000,10.00,18,
"Police",,1,,1521,0.0000,10.00,19,
"Giuseppe Garibaldi",,1,,1524,0.0000,10.00,20,
"Christopher Columbus",,1,,1525,0.0000,10.00,21,
"Jeweller",,1,,1539,0.0000,10.00,22,
"""a n***** """,,1,,1541,0.0000,10.00,23,
"Southerners",,1,,1542,0.0000,10.00,24,
"Northerners",,1,,1543,0.0000,10.00,25,
"""a gentleman""",,1,,1544,0.0000,10.00,26,
"White people",,1,,1545,0.0000,10.00,27,
"""a grandparent""",,1,,1546,0.0000,10.00,28,
"""troublesome children""",,1,,1549,0.0000,10.00,29,
"""country folks""",,1,,1550,0.0000,10.00,30,
"Hernando de Soto",,1,,1553,0.0000,10.00,31,
"Students",,1,,1555,0.0000,10.00,32,
"""women in the car""",,1,,1557,0.0000,10.00,33,
"""men in work-clothes""",,1,,1558,0.0000,10.00,34,
"""man naked to the waist""",,1,,1559,0.0000,10.00,35,
"""man in a straw hat""",,1,,1560,0.0000,10.00,36,
"Crew (that Quentin watches)",,1,,1576,0.0000,10.00,37,
"Two men (that Quentin watches)",,1,,1579,0.0000,10.00,38,
"Oxford students",,1,,1580,0.0000,10.00,39,
"God",,1,,1468,0.0000,10.00,40,
"""folks at the boathouse""",,1,,1581,0.0000,10.00,41,
"""policeman""",,1,,1582,0.0000,10.00,42,
"""Gerald""s n*****s""",,1,,1584,0.0000,10.00,43,
"""Husbands and fathers in Kentucky""",,1,,1586,0.0000,10.00,44,
"""some misfit Maingault or Mortemar""",,1,,1587,0.0000,10.00,45,
"""lodge-keeper""s daughter""",,1,,1588,0.0000,10.00,46,
"""pimple-faced infant"" (that Caddy met)",,1,,1589,0.0000,10.00,47,
"""n****r women""",,1,,1590,0.0000,10.00,48,
"Young Lochinvar",,1,,1592,0.0000,10.00,49,
"Byron",,1,,1593,0.0000,10.00,50,
"""country girls""",,1,,1594,0.0000,10.00,51,
"""country people""",,1,,1595,0.0000,10.00,52,
"""women""",,1,,1598,0.0000,10.00,53,
"Uncle Tom",,1,,1600,0.0000,10.00,54,
"Abraham Lincoln",,1,,1602,0.0000,10.00,55,
"""dead and departed professors""",,1,,1603,0.0000,10.00,56,
"""vet""runs""",,1,,1604,0.0000,10.00,57,
"""ladies",,1,,1605,0.0000,10.00,58,
"Deacon""s son-in-law",,1,,1606,0.0000,10.00,59,
"""young fellows""",,1,,1607,0.0000,10.00,60,
"""chauffeur""",,1,,1608,0.0000,10.00,61,
"""people"" (waiting for the trolley)",,1,,1609,0.0000,10.00,62,
"""miners""",,1,,1611,0.0000,10.00,63,
"""proctor"" (that Mrs. Bland went to)",,1,,1612,0.0000,10.00,64,
"Gerald Bland""s servant",,1,,1613,0.0000,10.00,65,
"Sawmill husband",,1,,1614,0.0000,10.00,66,
"Herbert Head""s friend (in Havana)",,1,,1615,0.0000,10.00,67,
"""hicks""",,1,,1616,0.0000,10.00,68,
"Herbert Head""s sons",,1,,1617,0.0000,10.00,69,
"""little widow"" (in Cambridge)",,1,,1618,0.0000,10.00,70,
"Galahad",,1,,1619,0.0000,10.00,71,
"""man"" (with a parrot)",,1,,1620,0.0000,10.00,72,
"""cousins""",,1,,1621,0.0000,10.00,73,
"""manicure girls""",,1,,1622,0.0000,10.00,74,
"""old man"" (eating something)",,1,,1623,0.0000,10.00,75,
"""[D]am Squirts"" (Quentin runs around with)",,1,,1454,0.0000,10.00,76,
"""man"" (who mutilated himself)",,1,,1627,0.0000,10.00,77,
"""man"" (with a $25 horse and wagon)",,1,,1631,0.0000,10.00,78,
"""fellows"" (scaring all the fish away)",,1,,1633,0.0000,10.00,79,
"Doc Peabody",,1,,1636,0.0000,10.00,81,
"""man"" (who showed Quentin the station)",,1,,1642,0.0000,10.00,82,
"""people"" (who follow Quentin and Anse)",,1,,1651,0.0000,10.00,83,
"Miss Holmes",,1,,1653,0.0000,10.00,84,
"Euboeleus",,1,,1656,0.0000,10.00,85,
"Gerald Bland""s grandfather",,1,,1657,0.0000,10.00,86,
"Wilkie",,1,,1658,0.0000,10.00,87,
"""man"" (watching Quentin)",,1,,1659,0.0000,10.00,88,
"""Gerald""s women""",,1,,1585,0.0000,10.00,89,
"""girl"" (with Gerald Bland)",,1,,1652,0.0000,10.00,90,
"Mike",,1,,1661,0.0000,10.00,91,
"""wench"" (who Gerald stood up)",,1,,1662,0.0000,10.00,92,
