leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Octavio Gomez",green,31,"Calvin Johnson (83.8); Carlos (69.4); Charles (68.5); Tony Loneman (54.1); Daniel Gonzales (30.3)",77,201.0000,100.00,5,
"Jacquie Red Feather",red,24,"Opal Viola Victoria Bear Shield (89.2); Harvey (62.7); Victoria (Vicky) (24.9); ""two [wearing] baseball caps"" (20.4); Old guy (20.4)",82,194.0000,96.85,3,
"Blue",blue,13,"Edwin Black (61.8); Karen (20.4); Powwow Committee (18.1); Geraldine (16.8); Paul (15.9)",88,139.0000,72.10,2,
"Orvil Red Feather",yellow,13,"Loother Red Feather (60.0); Lony Red Feather (59.0); Powwow Dancers (18.5); Police Officers (15.9); Security Guard (15.9)",83,127.0000,66.70,6,
"Dene Oxendene",orange,12,"Lucas (22.1); Norma (16.8); ""black guy...with a white beard"" (grant judge) (13.1); ""Old white lady"" (grant judge) (13.1); ""An Indian...woman"" (grant judge) (12.3)",67,107.0000,57.70,1,
"Thomas Frank",magenta,12,"Bobby Big Medicine (15.9); Drum Groups (15.9); Thomas Frank's Father (13.1); Bat (12.3); DeLonna (12.3)",89,54.0000,33.85,13,
"Indigenous people",cyan,11,"Colonizers/colonists (13.1); Metacomet/ King Philip (12.3); Benjamin Church (10.4); Colonel John Chivington (10.4); Families (10.4)",351,10.0000,14.05,4,
"John",,7,"Phil (19.0); A couple of John's friends (18.5); Corporate Tech Nerds (18.5); Hipsters (18.5); Squatters (18.5)",311,22.0000,19.45,7,
"Husband (in the Rolling Head story)",,6,"Daughter (in the Rolling Head story) (11.4); Rolling Head (11.4); Son (in the Rolling Head story) (11.4); water monster (11.4); Wife (in the Rolling Head story) (11.4)",341,8.0000,13.15,14,
"Someone else on the yacht",,4,"Hired thugs (11.4); Someone on the yacht (11.4); People drowning (10.4)",377,6.0000,12.25,9,
"Texas Rangers (government)",,3,"Joaquin Murieta (10.4); Three Fingered Jack (10.4)",338,4.0000,11.35,11,
"The Indians",,3,"Columbus (10.4); The white men (10.4)",135,4.0000,11.35,12,
"""another white woman""",,2,"""some crazy white woman"" (10.4)",282,2.0000,10.45,0,
"Oakland Athletics",,2,"San Francisco Giants (10.4)",130,2.0000,10.45,8,
"Bears",,2,"Teddy Roosevelt (10.4)",177,2.0000,10.45,10,
