leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"Blue",blue,64,"Edwin Black (55.0); Bill Davis (25.7); Karen (21.9); Paul (19.7); Geraldine (17.9)",88,259.0000,61.34,11,
"Opal Viola Victoria Bear Shield",red,56,"Jacquie Red Feather (80.2); Harvey (48.7); Victoria (Vicky) (33.2); Ronald (20.3); Alcatraz (19.9)",85,454.0000,100.00,7,
"Octavio Gomez",green,49,"Calvin Johnson (57.2); Charles (44.5); Carlos (42.7); Tony Loneman (35.4); Daniel Gonzales (34.8)",77,353.0000,79.98,14,
"Dene Oxendene",orange,27,"Lucas (23.5); Norma (17.9); ""black guy...with a white beard"" (grant judge) (12.2); ""Old white lady"" (grant judge) (12.2); ""middle-aged white lady"" (2) (grant judge) (12.0)",67,190.0000,47.67,2,
"Orvil Red Feather",yellow,24,"Lony Red Feather (56.4); Loother Red Feather (56.4); Jamie Red Feather (19.9); Trickster Spider (Veho) (16.7); People at the Powwow (15.7)",83,265.0000,62.53,8,
"Thomas Frank",magenta,22,"Powwow Committee (20.1); Thomas Frank's Father (17.5); Thomas Frank's Mother (15.0); Thomas Frank's Sisters (13.6); God (13.2)",89,167.0000,43.11,12,
"Indigenous people",cyan,20,"Colonizers/colonists (14.0); Metacomet/ King Philip (12.0); Massasoit (11.2); Benjamin Church (10.8); John Alderman (10.8)",351,32.0000,16.34,5,
"Someone else on the yacht",,8,"Someone on the yacht (11.4); Hired thugs (10.8); People drowning (10.8); Someone's father (10.8); Children (10.4)",377,7.0000,11.39,10,
"Husband (in the Rolling Head story)",,6,"Wife (in the Rolling Head story) (11.6); Daughter (in the Rolling Head story) (11.2); Son (in the Rolling Head story) (11.2); Rolling Head (10.8); water monster (10.8)",341,8.0000,11.59,3,
"Indian Head (''test pattern Indian"")",,5,"""unknown artist"" (10.4); Americans (10.4); Mel Gibson (10.4); Mexicans (10.2)",223,7.0000,11.39,4,
"Joaquin Murieta",,4,"Texas Rangers (government) (10.8); Three Fingered Jack (10.8); John Rollin Ridge (10.2)",337,5.0000,10.99,13,
"Muslims",,2,"Saddam Hussein (10.4)",369,2.0000,10.40,9,
"Plymouth court",,2,"Wamsutta (10.4)",329,2.0000,10.40,15,
"Victims",,2,"Watchers (10.8)",382,4.0000,10.79,16,
"""Pig-brained men""",,1,,164,0.0000,10.00,0,
"""the white man""",,1,,187,0.0000,10.00,1,
"Older white woman",,1,,273,0.0000,10.00,6,
