leader_label,assigned_color,community_size,other_large_nodes,leader_id,leader_strength,leader_size,modularity_class,notes
"God",blue,76,"Taylor (52.6); ""white folks"" (abstract) (42.4); Taylor's congregation (39.9); Mayor Bolton (34.1); Smith (31.7)",10,1148.0000,100.00,30,
"Mann",magenta,63,"Lulu (33.4); Peewee (30.9); Grannie (30.4); The Baby (30.0); Heartfield (27.4)",256,421.0000,43.01,22,
"Jim Crow",red,63,"Richard Wright (19.4); Co-workers at Memphis optical company (12.6); Bell-boys (12.4); Catholic co-worker (12.1); Main boy (8) (12.0)",124,120.0000,19.41,25,
"Sue",green,34,"Johnny-Boy (32.4); ""white and black Communists"" (223) (28.0); Sheriff Bradley (25.9); Jesus Christ (25.8); sheriff's men (25.8)",144,302.0000,33.68,20,
"Big Boy",cyan,26,"Bobo (33.1); Bertha (28.3); Jim Harvey (28.0); Lynch Mob / White friends of the Harveys (27.4); Buck (27.0)",114,309.0000,34.22,14,
"Sarah",yellow,16,"Silas (18.8); Ruth (16.7); gramophone salesman (14.8); Tom (12.9); ""white men"" (abstract) (12.7)",3,123.0000,19.64,28,
"""a crowd"" (of demonstrators)",,1,,80,0.0000,10.00,0,
"""a janitah""",,1,,103,0.0000,10.00,1,
"""bad n*****s""",,1,,84,0.0000,10.00,2,
"""black and white soldiers""",,1,,17,0.0000,10.00,3,
"""black soldier""",,1,,18,0.0000,10.00,4,
"""everbody"" (victims of war)",,1,,7,0.0000,10.00,5,
"""fellow negro porters"" (8)",,1,,136,0.0000,10.00,6,
"""five or six thousand of us""",,1,,35,0.0000,10.00,7,
"""Miz Harvey""",,1,,104,0.0000,10.00,8,
"""n*****s""",,1,,155,0.0000,10.00,9,
"""the n*****""",,1,,33,0.0000,10.00,10,
"""the white man""",,1,,32,0.0000,10.00,11,
"""white men in glistening raincoats""",,1,,156,0.0000,10.00,12,
"""white woman"" (accuser of black soldier)",,1,,19,0.0000,10.00,13,
"Boss of delivery company",,1,,213,0.0000,10.00,15,
"children in the church",,1,,78,0.0000,10.00,16,
"farm hire",,1,,15,0.0000,10.00,17,
"figure in nightmare",,1,,26,0.0000,10.00,18,
"Heartfield's folks",,1,,284,0.0000,10.00,19,
"Lead White Boy from the car",,1,,137,0.0000,10.00,21,
"One of the four soldiers",,1,,322,0.0000,10.00,23,
"people on sidewalks",,1,,112,0.0000,10.00,24,
"Roman Catholic Library-goer",,1,,185,0.0000,10.00,26,
"Sally (The cow)",,1,,266,0.0000,10.00,27,
"Shadrach, Meshach, and Abednego",,1,,73,0.0000,10.00,29,
"The Librarian",,1,,186,0.0000,10.00,31,
"The maid's baby",,1,,178,0.0000,10.00,32,
"Will",,1,,116,0.0000,10.00,33,
"“wicked men”",,1,,75,0.0000,10.00,34,
