id_cont,Title,Level,Start Page_cont,End Page_cont,Narrator,Protagonist,Embed. Type,id_rel,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page_rel,End Page_rel,index
1,Prologue: you are here,level 1 (section),1,14,[NULL],[NULL],[NULL],1,Knows,Essun,Uche,1,Prologue: you are here,1,1,
1,Prologue: you are here,level 1 (section),1,14,[NULL],[NULL],[NULL],2,Knows,The Fulcrum,The Emperor,1,Prologue: you are here,3,3,
1,Prologue: you are here,level 1 (section),1,14,[NULL],[NULL],[NULL],3,Knows,The Fulcrum,The Emperor's daughter,1,Prologue: you are here,3,3,
1,Prologue: you are here,level 1 (section),1,14,[NULL],[NULL],[NULL],4,Knows,The Emperor,The Emperor's daughter,1,Prologue: you are here,3,3,
1,Prologue: you are here,level 1 (section),1,14,[NULL],[NULL],[NULL],5,Exchange,"""group of young women""","""group of young women""",1,Prologue: you are here,4,4,
1,Prologue: you are here,level 1 (section),1,14,[NULL],[NULL],[NULL],6,Exchange,"""group of young women""",Alabaster,1,Prologue: you are here,4,4,
1,Prologue: you are here,level 1 (section),1,14,[NULL],[NULL],[NULL],7,Exchange,Alabaster,Antimony,1,Prologue: you are here,4,6,
1,Prologue: you are here,level 1 (section),1,14,[NULL],[NULL],[NULL],8,Knows,Alabaster,The Fulcrum,1,Prologue: you are here,6,6,
1,Prologue: you are here,level 1 (section),1,14,[NULL],[NULL],[NULL],9,Knows,Essun,Uche,1,Prologue: you are here,9,10,
1,Prologue: you are here,level 1 (section),1,14,[NULL],[NULL],[NULL],10,Knows,Essun,Nassun,1,Prologue: you are here,10,10,
1,Prologue: you are here,level 1 (section),1,14,[NULL],[NULL],[NULL],11,Knows,Nassun,Uche,1,Prologue: you are here,10,10,
1,Prologue: you are here,level 1 (section),1,14,[NULL],[NULL],[NULL],12,Knows,Jija,Uche,1,Prologue: you are here,10,10,
1,Prologue: you are here,level 1 (section),1,14,[NULL],[NULL],[NULL],13,Knows,Tirimo's scouts,Tirimo's scouts,1,Prologue: you are here,11,12,
1,Prologue: you are here,level 1 (section),1,14,[NULL],[NULL],[NULL],14,Exchange,Rask,Tirimo's scouts,1,Prologue: you are here,11,11,
