id_cont,Title,Level,Start Page_cont,End Page_cont,Narrator,Protagonist,Embed. Type,id_rel,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page_rel,End Page_rel
2,The Midnight Duel,level 1 (section),107,120,[NULL],[NULL],[NULL],1,Knows,Harry Potter,Dudley Dursley,1,The Midnight Duel,107,107
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],4,Exchange,Vernon Dursley,Petunia Dursley,1,The Boy Who Lived,8,8
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],5,Exchange,Petunia Dursley,Dudley Dursley,1,The Boy Who Lived,7,8
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],6,Exchange,Vernon Dursley,Dudley Dursley,1,The Boy Who Lived,8,8
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],7,Knows,Petunia Dursley,Lily Potter,1,The Boy Who Lived,7,7
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],8,Knows,Lily Potter,James Potter,1,The Boy Who Lived,7,7
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],9,Knows,Harry Potter,Lily Potter,1,The Boy Who Lived,7,7
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],10,Knows,Harry Potter,James Potter,1,The Boy Who Lived,7,7
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],11,Knows,Petunia Dursley,Neighbours (of the Dursleys),1,The Boy Who Lived,7,7
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],12,Knows,Harry Potter,Voldemort,1,Through the Trapdoor,191,191
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],13,Knows,Vernon Dursley,Minerva McGonagall,1,The Boy Who Lived,8,8
9,Through the Trapdoor,level 1 (section),191,208,[NULL],[NULL],[NULL],14,Knows,Harry Potter,Fluffy,1,Through the Trapdoor,191,194
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],15,Knows,Vernon Dursley,People in cloaks,0,The Boy Who Lived,8,9
1,The Boy Who Lived,level 1 (section),7,18,[NULL],[NULL],[NULL],16,Exchange,People in cloaks,People in cloaks,1,The Boy Who Lived,8,9
