id_cont,Title,Level,Start Page_cont,End Page_cont,Narrator,Protagonist,Embed. Type,id_rel,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page_rel,End Page_rel,index
1,SOLO,level 1 (section),1,1,[NULL],[NULL],[NULL],1,Exchange,Warren Wolde,Doctor Cordelia Lochren,1,SOLO,1,1,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],22,Knows of,Evelina Harp,Severine Milk,0,The Plague of Doves,5,8,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],26,Knows of,Evelina Harp,German Settlers,0,The Plague of Doves,5,5,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],27,Knows of,Evelina Harp,Norwegian Settlers,0,The Plague of Doves,5,5,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],28,Knows of,Evelina Harp,French Settlers,0,The Plague of Doves,5,5,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],29,Exchange,Severine Milk,Severine Milk's Parishioners,1,The Plague of Doves,5,5,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],30,Knows of,Severine Milk's Parishioners,German Settlers,1,The Plague of Doves,5,5,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],31,Knows of,Severine Milk's Parishioners,Norwegian Settlers,1,The Plague of Doves,5,5,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],32,Exchange,Evelina's Ancestors,French Settlers,1,The Plague of Doves,5,5,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],33,Knows,Severine Milk,Seraph Milk (Mooshum),1,The Plague of Doves,6,8,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],34,Exchange,Seraph Milk (Mooshum),Evelina Harp,1,The Plague of Doves,6,9,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],35,Knows,Evelina Harp,Clemence Harp,1,The Plague of Doves,6,8,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],36,Knows,Seraph Milk (Mooshum),Clemence Harp,1,The Plague of Doves,6,6,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],37,Knows,Evelina Harp,Joseph Harp,1,The Plague of Doves,6,9,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],38,Exchange,Seraph Milk (Mooshum),Joseph Harp,1,The Plague of Doves,6,9,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],39,Knows,Edward Harp,Evelina Harp,1,The Plague of Doves,6,9,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],40,Knows,Edward Harp,Joseph Harp,1,The Plague of Doves,6,8,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],41,Exchange,Clemence Harp,Seraph Milk (Mooshum),1,The Plague of Doves,7,7,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],42,Exchange,Severine Milk,Severine Milk's Parishioners,1,The Plague of Doves,7,7,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],43,Knows of,Evelina Harp,Severine Milk's Parishioners,0,The Plague of Doves,5,5,
10,The Plague of Doves,level 2 (sub-section),5,20,Evelina Harp,[NULL],[NULL],44,Knows of,Evelina Harp,Severine Milk's Parishioners,0,The Plague of Doves,7,8,
