id_cont,Title,Level,Start Page_cont,End Page_cont,Narrator,Protagonist,Embed. Type,id_rel,Type of Relationship,Character 1,Character 2,Is Reciprocal?,Narrative Container,Start Page_rel,End Page_rel,index
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],186,Exchange,Tony Loneman,Mario,1,Tony Loneman (I),15,15,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],187,Exchange,Tony Loneman,Maxine,1,Tony Loneman (I),15,15,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],188,Knows,Tony Loneman,Tony Loneman's Mother,1,Tony Loneman (I),15,16,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],189,Exchange,Tony Loneman,Karen,1,Tony Loneman (I),17,17,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],190,Knows,Tony Loneman,Mario,1,Tony Loneman (I),17,17,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],191,Exchange,Tony Loneman,Maxine,1,Tony Loneman (I),17,18,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],192,Knows of,Tony Loneman,MF Doom,0,Tony Loneman (I),18,18,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],193,Exchange,Tony Loneman,Tony Loneman's Mother,1,Tony Loneman (I),19,19,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],194,Knows of,Tony Loneman,Tony Loneman's Father,0,Tony Loneman (I),19,19,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],195,Exchange,Tony Loneman,Maxine,1,Tony Loneman (I),19,19,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],196,Exchange,Tony Loneman,Maxine,1,Tony Loneman (I),20,21,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],197,Knows of,Tony Loneman,Louise Erdrich,0,Dene Oxendene (I),20,20,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],198,Knows of,Maxine,Louise Erdrich,0,Tony Loneman (I),20,21,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],200,Exchange,Tony Loneman,"""white boy in the Kangol hat""",1,Tony Loneman (I),21,21,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],201,Exchange,Tony Loneman,Carlos,1,Tony Loneman (I),21,21,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],202,Knows,Tony Loneman,Octavio Gomez,1,Tony Loneman (I),21,22,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],203,Exchange,Tony Loneman,Octavio Gomez,1,Tony Loneman (I),22,22,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],204,Knows,Octavio Gomez,Josefina,1,Tony Loneman (I),22,22,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],205,Knows of,Tony Loneman,Josefina,0,Tony Loneman (I),22,22,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],206,Knows,Tony Loneman,Maxine,1,Tony Loneman (I),22,22,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],207,Exchange,Tony Loneman,Octavio Gomez,1,Tony Loneman (I),23,26,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],208,Knows,Tony Loneman,Maxine,1,Tony Loneman (I),23,23,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],209,Knows,Tony Loneman,Maxine,1,Tony Loneman (I),24,24,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],210,Knows,Dene Oxendene,Kid on the bus,1,Dene Oxendene (I),28,28,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],211,Knows of,Octavio Gomez,Big Oakland Powwow,0,Tony Loneman (I),24,24,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],212,Knows of,Tony Loneman,Big Oakland Powwow,0,Tony Loneman (I),24,24,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],213,Knows of,Octavio Gomez,Big Oakland Powwow,0,Tony Loneman (I),25,26,
82,Tony Loneman (I),level 2 (sub-section),15,26,Tony Loneman,Tony Loneman,[NULL],214,Knows of,Tony Loneman,Big Oakland Powwow,0,Tony Loneman (I),25,26,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],215,Knows,Dene Oxendene,Kevin Farley,1,Dene Oxendene (I),29,29,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],216,Knows of,Dene Oxendene,Radiohead,0,Dene Oxendene (I),29,29,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],217,Knows,Dene Oxendene,Lucas,1,Dene Oxendene (I),29,30,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],218,Exchange,Dene Oxendene,Norma,1,Dene Oxendene (I),30,31,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],219,Exchange,Norma,Lucas,1,Dene Oxendene (I),30,31,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],220,Exchange,Dene Oxendene,Lucas,1,Dene Oxendene (I),30,33,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],221,Knows of,Lucas,Stanley Kubrick,0,Dene Oxendene (I),31,31,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],222,Knows,Lucas,Opal Viola Victoria Bear Shield,1,Dene Oxendene (I),32,32,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],223,Knows of,Dene Oxendene,Opal Viola Victoria Bear Shield,0,Dene Oxendene (I),32,32,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],224,Knows,Lucas,Norma,1,Dene Oxendene (I),32,32,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],225,Knows,Dene Oxendene,Norma,1,Dene Oxendene (I),33,33,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],226,Exchange,Dene Oxendene,Norma,1,Dene Oxendene (I),34,36,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],227,Exchange,Dene Oxendene,Lucas,1,Dene Oxendene (I),36,37,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],228,Exchange,Dene Oxendene,Rob,1,Dene Oxendene (I),37,39,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],229,Knows of,Rob,Gertrude Stein,0,Dene Oxendene (I),38,38,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],230,Knows of,Dene Oxendene,Gertrude Stein,0,Dene Oxendene (I),38,39,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],231,Exchange,Dene Oxendene,"""youngish Hispanic guy"" (grant judge)",1,Dene Oxendene (I),39,41,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],232,Exchange,Dene Oxendene,"""Old white lady"" (grant judge)",1,Dene Oxendene (I),39,41,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],233,Exchange,Dene Oxendene,"""middle-aged white lady"" (2) (grant judge)",1,Dene Oxendene (I),39,41,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],234,Exchange,Dene Oxendene,"""middle-aged white lady"" (1) (grant judge)",1,Dene Oxendene (I),39,41,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],235,Exchange,Dene Oxendene,"""middle-aged black guy"" (2) (grant judge)",1,Dene Oxendene (I),39,41,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],236,Exchange,Dene Oxendene,"""black guy...with a white beard"" (grant judge)",1,Dene Oxendene (I),39,41,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],237,Exchange,Dene Oxendene,"""An older guy who's...Native"" (grant judge)",1,Dene Oxendene (I),39,41,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],238,Exchange,Dene Oxendene,"""An Indian...woman"" (grant judge)",1,Dene Oxendene (I),39,41,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],239,Exchange,"""An older guy who's...Native"" (grant judge)",Dene Oxendene,1,Dene Oxendene (I),40,40,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],240,Exchange,"""black guy...with a white beard"" (grant judge)",Dene Oxendene,1,Dene Oxendene (I),41,42,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],241,Exchange,"""Old white lady"" (grant judge)",Dene Oxendene,1,Dene Oxendene (I),42,42,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],242,Exchange,Dene Oxendene,Norma,1,Dene Oxendene (I),43,43,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],243,Knows,Dene Oxendene,Lucas,1,Dene Oxendene (I),43,44,
83,Dene Oxendene (I),level 2 (sub-section),27,44,[NULL],Dene Oxendene,[NULL],244,Knows,Norma,Lucas,1,Dene Oxendene (I),43,44,
100,Opal Viola Victoria Bear Shield (I),level 2 (sub-section),45,61,Opal Viola Victoria Bear Shield,Opal Viola Victoria Bear Shield,[NULL],245,Knows,Opal Viola Victoria Bear Shield,Jacquie Red Feather,1,Opal Viola Victoria Bear Shield (I),45,45,
100,Opal Viola Victoria Bear Shield (I),level 2 (sub-section),45,61,Opal Viola Victoria Bear Shield,Opal Viola Victoria Bear Shield,[NULL],246,Exchange,Victoria (Vicky),Opal Viola Victoria Bear Shield,1,Opal Viola Victoria Bear Shield (I),45,46,
100,Opal Viola Victoria Bear Shield (I),level 2 (sub-section),45,61,Opal Viola Victoria Bear Shield,Opal Viola Victoria Bear Shield,[NULL],247,Exchange,Victoria (Vicky),Jacquie Red Feather,1,Opal Viola Victoria Bear Shield (I),45,46,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],249,Knows,Bill Davis,Karen,1,Bill Davis (II),82,82,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],250,Knows,Bill Davis,Edwin Black,1,Bill Davis (II),82,84,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],251,Exchange,Bill Davis,Karen,1,Bill Davis (II),83,84,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],252,Knows of,Bill Davis,Vet on the bus,0,Bill Davis (II),84,84,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],253,Knows of,Bill Davis,Vida Blue,0,Bill Davis (II),85,85,
84,Bill Davis (II),level 2 (sub-section),81,87,[NULL],Bill Davis,[NULL],254,Knows of,Bill Davis,Catfish Hunter,0,Bill Davis (II),85,85,
