source,target,Character 1,Character 2,type,weight,startPage,category,Narrator
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,3,Exchange,[NULL]
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,3,Exchange,[NULL]
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,4,Exchange,[NULL]
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,4,Exchange,[NULL]
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,5,Exchange,[NULL]
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,5,Exchange,[NULL]
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,6,Exchange,[NULL]
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,6,Exchange,[NULL]
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,7,Exchange,[NULL]
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,7,Exchange,[NULL]
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,8,Exchange,[NULL]
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,8,Exchange,[NULL]
31,6,Yegor Gusakov,Alyona Golosovsky,Directed,1,9,Exchange,[NULL]
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,9,Exchange,[NULL]
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,9,Exchange,[NULL]
6,31,Alyona Golosovsky,Yegor Gusakov,Directed,1,9,Exchange,[NULL]
31,6,Yegor Gusakov,Alyona Golosovsky,Directed,1,10,Exchange,[NULL]
5,31,Sophia Golosovsky,Yegor Gusakov,Directed,1,10,Exchange,[NULL]
6,31,Alyona Golosovsky,Yegor Gusakov,Directed,1,10,Exchange,[NULL]
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,10,Exchange,[NULL]
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,10,Exchange,[NULL]
31,5,Yegor Gusakov,Sophia Golosovsky,Directed,1,10,Exchange,[NULL]
5,31,Sophia Golosovsky,Yegor Gusakov,Directed,1,11,Exchange,[NULL]
6,31,Alyona Golosovsky,Yegor Gusakov,Directed,1,11,Exchange,[NULL]
31,6,Yegor Gusakov,Alyona Golosovsky,Directed,1,11,Exchange,[NULL]
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,11,Exchange,[NULL]
31,5,Yegor Gusakov,Sophia Golosovsky,Directed,1,11,Exchange,[NULL]
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,11,Exchange,[NULL]
5,31,Sophia Golosovsky,Yegor Gusakov,Directed,1,12,Exchange,[NULL]
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,12,Exchange,[NULL]
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,12,Exchange,[NULL]
31,6,Yegor Gusakov,Alyona Golosovsky,Directed,1,12,Exchange,[NULL]
6,31,Alyona Golosovsky,Yegor Gusakov,Directed,1,12,Exchange,[NULL]
31,5,Yegor Gusakov,Sophia Golosovsky,Directed,1,12,Exchange,[NULL]
31,5,Yegor Gusakov,Sophia Golosovsky,Directed,1,13,Exchange,[NULL]
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,13,Exchange,[NULL]
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,13,Exchange,[NULL]
6,31,Alyona Golosovsky,Yegor Gusakov,Directed,1,13,Exchange,[NULL]
31,6,Yegor Gusakov,Alyona Golosovsky,Directed,1,13,Exchange,[NULL]
5,31,Sophia Golosovsky,Yegor Gusakov,Directed,1,13,Exchange,[NULL]
31,6,Yegor Gusakov,Alyona Golosovsky,Directed,1,14,Exchange,[NULL]
6,31,Alyona Golosovsky,Yegor Gusakov,Directed,1,14,Exchange,[NULL]
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,14,Exchange,[NULL]
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,14,Exchange,[NULL]
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,15,Exchange,[NULL]
6,31,Alyona Golosovsky,Yegor Gusakov,Directed,1,15,Exchange,[NULL]
5,31,Sophia Golosovsky,Yegor Gusakov,Directed,1,15,Exchange,[NULL]
31,5,Yegor Gusakov,Sophia Golosovsky,Directed,1,15,Exchange,[NULL]
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,15,Exchange,[NULL]
31,6,Yegor Gusakov,Alyona Golosovsky,Directed,1,15,Exchange,[NULL]
5,6,Sophia Golosovsky,Alyona Golosovsky,Directed,1,16,Exchange,[NULL]
6,5,Alyona Golosovsky,Sophia Golosovsky,Directed,1,16,Exchange,[NULL]
25,29,Diana,Olya/Olga,Directed,1,17,Exchange,[NULL]
29,25,Olya/Olga,Diana,Directed,1,17,Exchange,[NULL]
29,25,Olya/Olga,Diana,Directed,1,19,Exchange,[NULL]
44,29,"""the nurse giving [Olya] an injection""",Olya/Olga,Directed,1,20,Exchange,[NULL]
29,25,Olya/Olga,Diana,Directed,1,20,Exchange,[NULL]
43,29,grocery-store cashier,Olya/Olga,Directed,1,20,Exchange,[NULL]
29,44,Olya/Olga,"""the nurse giving [Olya] an injection""",Directed,1,20,Exchange,[NULL]
29,43,Olya/Olga,grocery-store cashier,Directed,1,20,Exchange,[NULL]
29,25,Olya/Olga,Diana,Directed,1,21,Exchange,[NULL]
25,29,Diana,Olya/Olga,Directed,1,21,Exchange,[NULL]
30,29,Valentina Nikolaevna,Olya/Olga,Directed,1,22,Exchange,[NULL]
29,30,Olya/Olga,Valentina Nikolaevna,Directed,1,22,Exchange,[NULL]
29,30,Olya/Olga,Valentina Nikolaevna,Directed,1,23,Exchange,[NULL]
30,29,Valentina Nikolaevna,Olya/Olga,Directed,1,23,Exchange,[NULL]
29,30,Olya/Olga,Valentina Nikolaevna,Directed,1,24,Exchange,[NULL]
25,30,Diana,Valentina Nikolaevna,Directed,1,24,Exchange,[NULL]
30,25,Valentina Nikolaevna,Diana,Directed,1,24,Exchange,[NULL]
30,29,Valentina Nikolaevna,Olya/Olga,Directed,1,24,Exchange,[NULL]
30,29,Valentina Nikolaevna,Olya/Olga,Directed,1,25,Exchange,[NULL]
29,30,Olya/Olga,Valentina Nikolaevna,Directed,1,25,Exchange,[NULL]
33,25,Olya's mother,Diana,Directed,1,25,Exchange,[NULL]
25,33,Diana,Olya's mother,Directed,1,25,Exchange,[NULL]
29,25,Olya/Olga,Diana,Directed,1,26,Exchange,[NULL]
30,25,Valentina Nikolaevna,Diana,Directed,1,26,Exchange,[NULL]
25,29,Diana,Olya/Olga,Directed,1,26,Exchange,[NULL]
25,30,Diana,Valentina Nikolaevna,Directed,1,26,Exchange,[NULL]
50,29,a vendor,Olya/Olga,Directed,1,27,Exchange,[NULL]
29,50,Olya/Olga,a vendor,Directed,1,27,Exchange,[NULL]
50,29,a vendor,Olya/Olga,Directed,1,28,Exchange,[NULL]
29,50,Olya/Olga,a vendor,Directed,1,28,Exchange,[NULL]
17,29,Kolya/Nikolai Danilovich / Lieutenant Ryakhovsky,Olya/Olga,Directed,1,29,Exchange,[NULL]
29,17,Olya/Olga,Kolya/Nikolai Danilovich / Lieutenant Ryakhovsky,Directed,1,29,Exchange,[NULL]
29,17,Olya/Olga,Kolya/Nikolai Danilovich / Lieutenant Ryakhovsky,Directed,1,30,Exchange,[NULL]
17,29,Kolya/Nikolai Danilovich / Lieutenant Ryakhovsky,Olya/Olga,Directed,1,30,Exchange,[NULL]
23,24,Max/Maxim,Katya/Ekaterina,Directed,1,32,Exchange,[NULL]
24,23,Katya/Ekaterina,Max/Maxim,Directed,1,32,Exchange,[NULL]
24,23,Katya/Ekaterina,Max/Maxim,Directed,1,33,Exchange,[NULL]
23,24,Max/Maxim,Katya/Ekaterina,Directed,1,33,Exchange,[NULL]
65,24,"Katya's ""girlfriends""",Katya/Ekaterina,Directed,1,34,Exchange,[NULL]
24,22,Katya/Ekaterina,Oksana,Directed,1,34,Exchange,[NULL]
24,65,Katya/Ekaterina,"Katya's ""girlfriends""",Directed,1,34,Exchange,[NULL]
22,24,Oksana,Katya/Ekaterina,Directed,1,34,Exchange,[NULL]
22,24,Oksana,Katya/Ekaterina,Directed,1,35,Exchange,[NULL]
23,24,Max/Maxim,Katya/Ekaterina,Directed,1,35,Exchange,[NULL]
24,23,Katya/Ekaterina,Max/Maxim,Directed,1,35,Exchange,[NULL]
24,22,Katya/Ekaterina,Oksana,Directed,1,35,Exchange,[NULL]
23,24,Max/Maxim,Katya/Ekaterina,Directed,1,36,Exchange,[NULL]
24,23,Katya/Ekaterina,Max/Maxim,Directed,1,36,Exchange,[NULL]
22,24,Oksana,Katya/Ekaterina,Directed,1,36,Exchange,[NULL]
24,22,Katya/Ekaterina,Oksana,Directed,1,36,Exchange,[NULL]
23,73,Max/Maxim,pregnant colleague,Directed,1,37,Exchange,[NULL]
23,75,Max/Maxim,the Nalychevo group,Directed,1,37,Exchange,[NULL]
23,22,Max/Maxim,Oksana,Directed,1,37,Exchange,[NULL]
24,22,Katya/Ekaterina,Oksana,Directed,1,37,Exchange,[NULL]
23,72,Max/Maxim,boring colleague/supervisor (36/37),Directed,1,37,Exchange,[NULL]
73,23,pregnant colleague,Max/Maxim,Directed,1,37,Exchange,[NULL]
22,24,Oksana,Katya/Ekaterina,Directed,1,37,Exchange,[NULL]
22,23,Oksana,Max/Maxim,Directed,1,37,Exchange,[NULL]
72,23,boring colleague/supervisor (36/37),Max/Maxim,Directed,1,37,Exchange,[NULL]
75,23,the Nalychevo group,Max/Maxim,Directed,1,37,Exchange,[NULL]
75,23,the Nalychevo group,Max/Maxim,Directed,1,38,Exchange,[NULL]
22,72,Oksana,boring colleague/supervisor (36/37),Directed,1,38,Exchange,[NULL]
23,72,Max/Maxim,boring colleague/supervisor (36/37),Directed,1,38,Exchange,[NULL]
72,22,boring colleague/supervisor (36/37),Oksana,Directed,1,38,Exchange,[NULL]
23,75,Max/Maxim,the Nalychevo group,Directed,1,38,Exchange,[NULL]
72,23,boring colleague/supervisor (36/37),Max/Maxim,Directed,1,38,Exchange,[NULL]
24,23,Katya/Ekaterina,Max/Maxim,Directed,1,39,Exchange,[NULL]
23,24,Max/Maxim,Katya/Ekaterina,Directed,1,39,Exchange,[NULL]
23,24,Max/Maxim,Katya/Ekaterina,Directed,1,40,Exchange,[NULL]
24,23,Katya/Ekaterina,Max/Maxim,Directed,1,40,Exchange,[NULL]
24,23,Katya/Ekaterina,Max/Maxim,Directed,1,41,Exchange,[NULL]
